Position,RatingTier,StatCheck,StatValue,StatTier,SkillPoint,StatHigh,StatLow
HB,tier_0,RBScrimmageYardsPer300Touches,1600-7500,tier_0,2,7501,1600
HB,tier_0,RBScrimmageYardsPer300Touches,1450-1599,tier_1,0,1600,1450
HB,tier_0,RBScrimmageYardsPer300Touches,1250-1449,tier_2,-3,1450,1250
HB,tier_0,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-5,1250,1100
HB,tier_0,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-9,1100,1000
HB,tier_0,RBScrimmageYardsPer300Touches,0-999,tier_5,-12,1000,0
HB,tier_0,RBScrimmageTDsPerGame,0.85-5.00,tier_0,2,5.01,0.85
HB,tier_0,RBScrimmageTDsPerGame,0.75-0.84,tier_1,0,0.85,0.75
HB,tier_0,RBScrimmageTDsPerGame,0.50-0.74,tier_2,-1,0.75,0.50
HB,tier_0,RBScrimmageTDsPerGame,0.30-0.49,tier_3,-3,0.5,0.30
HB,tier_0,RBScrimmageTDsPerGame,0.13-0.29,tier_4,-5,0.3,0.13
HB,tier_0,RBScrimmageTDsPerGame,0.00-0.12,tier_5,-8,0.13,0.00
HB,tier_0,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_0,RUSHFUMBLES,1,tier_1,-1,1,1
HB,tier_0,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_0,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_0,RUSHFUMBLES,4-5,tier_4,-3,6,4
HB,tier_0,RUSHFUMBLES,6-25,tier_5,-4,26,6
HB,tier_1,RBScrimmageYardsPer300Touches,1600-7500,tier_0,3,7501,1600
HB,tier_1,RBScrimmageYardsPer300Touches,1450-1599,tier_1,1,1600,1450
HB,tier_1,RBScrimmageYardsPer300Touches,1250-1449,tier_2,-2,1450,1250
HB,tier_1,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-4,1250,1100
HB,tier_1,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-8,1100,1000
HB,tier_1,RBScrimmageYardsPer300Touches,0-999,tier_5,-10,1000,0
HB,tier_1,RBScrimmageTDsPerGame,0.85-5.00,tier_0,3,5.01,0.85
HB,tier_1,RBScrimmageTDsPerGame,0.75-0.84,tier_1,1,0.85,0.75
HB,tier_1,RBScrimmageTDsPerGame,0.50-0.74,tier_2,-1,0.75,0.50
HB,tier_1,RBScrimmageTDsPerGame,0.30-0.49,tier_3,-2,0.5,0.30
HB,tier_1,RBScrimmageTDsPerGame,0.13-0.29,tier_4,-4,0.3,0.13
HB,tier_1,RBScrimmageTDsPerGame,0.00-0.12,tier_5,-6,0.13,0.00
HB,tier_1,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_1,RUSHFUMBLES,1,tier_1,-1,1,1
HB,tier_1,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_1,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_1,RUSHFUMBLES,4-5,tier_4,-3,6,4
HB,tier_1,RUSHFUMBLES,6-25,tier_5,-4,26,6
HB,tier_2,RBScrimmageYardsPer300Touches,1600-7500,tier_0,4,7501,1600
HB,tier_2,RBScrimmageYardsPer300Touches,1450-1599,tier_1,2,1600,1450
HB,tier_2,RBScrimmageYardsPer300Touches,1250-1449,tier_2,-1,1450,1250
HB,tier_2,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-3,1250,1100
HB,tier_2,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-6,1100,1000
HB,tier_2,RBScrimmageYardsPer300Touches,0-999,tier_5,-8,1000,0
HB,tier_2,RBScrimmageTDsPerGame,0.85-5.00,tier_0,4,5.01,0.85
HB,tier_2,RBScrimmageTDsPerGame,0.75-0.84,tier_1,2,0.85,0.75
HB,tier_2,RBScrimmageTDsPerGame,0.50-0.74,tier_2,0,0.75,0.50
HB,tier_2,RBScrimmageTDsPerGame,0.30-0.49,tier_3,-2,0.5,0.30
HB,tier_2,RBScrimmageTDsPerGame,0.13-0.29,tier_4,-3,0.3,0.13
HB,tier_2,RBScrimmageTDsPerGame,0.00-0.12,tier_5,-5,0.13,0.00
HB,tier_2,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_2,RUSHFUMBLES,1,tier_1,-1,1,1
HB,tier_2,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_2,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_2,RUSHFUMBLES,4-5,tier_4,-3,6,4
HB,tier_2,RUSHFUMBLES,6-25,tier_5,-4,26,6
HB,tier_3,RBScrimmageYardsPer300Touches,1600-7500,tier_0,5,7501,1600
HB,tier_3,RBScrimmageYardsPer300Touches,1450-1599,tier_1,3,1600,1450
HB,tier_3,RBScrimmageYardsPer300Touches,1250-1449,tier_2,0,1450,1250
