FullName,Position,TeamName,SkillPointOff
Aaron Anderson,WR,PIT,-3
Aaron Redding,TE,CLE,1
Abu Sama III,HB,KC,8
Adonai Mitchell,WR,CHI,4
Akylin Dear,HB,DAL,6
Alvin Henderson,HB,JAX,4
Amare Thomas,WR,CLE,0
Amon-Ra St. Brown,WR,DET,5
Andre Greene Jr,WR,PHI,-6
Anthony Carrie,HB,GB,-6
Anthony Evans III,WR,KC,6
Antonio Williams,WR,BAL,0
Barion Brown,WR,SF,3
Beaux Collins,WR,DAL,-4
Ben Brackett,HB,SEA,-4
Benjamin Brahmer,TE,IND,-5
Bijan Robinson,HB,CLE,1
Bo Jackson,HB,HOU,1
Brandon Aiyuk,WR,SF,-3
Brandon Inniss,WR,IND,-2
Brayden Winslow,TE,PHI,-2
Brett Norfleet,TE,CAR,-3
Brian Thomas Jr,WR,MIA,5
Brice Rutledge,TE,CIN,-6
Brock Bowers,TE,LAC,0
Bryant Wesco,WR,DEN,1
Bryce Colbert,HB,LV,-6
CJ Donaldson Jr,HB,SEA,1
Caden Durham,HB,GB,-2
Caden Prieskorn,TE,MIA,1
Caleb Burton III,WR,SEA,-2
Caleb Cunningham,WR,DAL,-2
Caleb Williams,WR,BUF,2
Calvin Russell,WR,LV,-2
Calvin Taylor,WR,BAL,-2
Cam Driscoll,WR,NYG,0
Cam McCoy,HB,NYG,-6
Cameron Begalle,WR,SEA,-2
Cameron Hayes,WR,CAR,-1
Cecil Price,TE,JAX,3
Cederian Morgan,WR,CHI,5
Cedric Baxter,HB,MIN,-2
CeeDee Lamb,WR,TEN,8
Chris Henry Jr,WR,NYJ,1
Chris Olave,WR,TB,9
Chris Ryans,HB,LAR,1
Christian Kirk,WR,ATL,-7
Cole Kmet,TE,DAL,-6
Cordale Russell,WR,NE,-2
Da'Saahn Brame,TE,SEA,1
Dae Dae Hunter,HB,CAR,1
Dakorien Moore,WR,LV,3
Dallan Hayden,HB,DET,-5
Dalton Kincaid,TE,BUF,-2
Damarius Yates,HB,DAL,-1
Dante Barone,TE,LV,-2
Dante Dowdell,HB,PHI,8
Darien Williams,WR,NYJ,-1
Darren Harris,HB,WAS,-5
Darrius Clemons,WR,MIN,1
Davian Groce,HB,TB,-4
David Washington Jr,WR,DET,-2
De'Angelo Booker,WR,MIA,-1
DeAndre Moore Jr,WR,KC,-2
DeAngelo McKee,WR,DEN,-3
DeVonta Smith,WR,CHI,-5
Derek Meadows,WR,NE,-1
Deshay McNeil,WR,TEN,0
Deshonne Redeaux,HB,WAS,-6
Devin Mockobee,HB,TB,-3
Dierre Hill,HB,ARI,-4
Dontayvion Wicks,WR,IND,3
Drake London,WR,CIN,0
Drelon Miller,WR,CIN,0
Durell Robinson,HB,CHI,11
Elic Ayomanor,WR,GB,2
Elijah Arroyo,TE,DEN,-3
Elyiss Williams,TE,NO,4
Emeka Egbuka,WR,DET,-2
Garrett Wilson,WR,CAR,-5
Gatlin Bair,WR,WAS,0
George Pickens,WR,BUF,3
Gideon Davidson,HB,LAC,-2
Harlem Berry,HB,NO,0
Holden Staes,TE,ATL,0
Isaiah Likely,TE,TB,-5
J.J. McMichael,TE,NYJ,-3
JT Lindsey,HB,GB,5
Ja'Marr Chase,WR,CIN,-1
Jack Velling,TE,BAL,8
Jaden Hamm,TE,PIT,1
Jaeden Skeete,WR,LAC,1
Jai'Den Thomas,HB,DEN,-3
Jaime Ffrench,WR,NE,3
Jaivian Thomas,HB,NYJ,1
Jaleel Odenigbo,HB,KC,-6
Jalen McMillian,WR,LAR,1
Jalin Conyers,TE,NYG,2
Jamarion Miller,HB,WAS,3
Jambres Dubar,HB,NYJ,2
James Peoples,HB,BAL,-1
Jaxon Smith-Njigba,WR,SEA,4
Jayden Reed,WR,WAS,-3
Jaydn Ott,HB,IND,3
Jaylen Waddle,WR,KC,1
Jeremiah Smith,WR,NYJ,7
Jerome Myles,WR,SF,5
Jerrick Gibson,HB,LV,6
Jimmy Horn Jr.,WR,NO,2
Joe Kennard,WR,BUF,5
John Brown,HB,LAC,-4
Johntay Cook II,WR,BAL,6
JonAnthony Hall,WR,GB,1
Jonathan Brooks,HB,NE,4
Jordan Marshall,HB,DET,-6
Jordin Thomas,HB,BUF,-1
Jordon Gidron,WR,SEA,-3
Josh Crawford,HB,ATL,-1
Josh Cuevas,TE,CHI,1
Josh Downs,WR,PHI,-5
Joshua Smith,WR,NO,-4
Jovantae Barnes,HB,NO,-5
Justin Jefferson,WR,DAL,5
Ka'Morreun Pimpton,TE,NE,1
Kaleb Edwards,TE,PIT,13
Kaliq Lockett,WR,MIA,-1
Kameron Davis,HB,SF,1
Kamron Mikell,WR,HOU,1
Karmello English,WR,TB,-1
Keisean Henderson,WR,GB,-4
Kendre Harrison,TE,KC,3
Keon Coleman,WR,IND,2
Keonde Henry,WR,LAR,-2
Kevin Riley,HB,DEN,1
Keyan Burnett,TE,WAS,-2
Khalil Shakir,WR,TEN,6
Kiandrea Barker,HB,IND,8
Kyle Pitts,TE,MIN,-7
LaMarcus Clinton,HB,NYG,-1
Ladd McConkey,WR,NYG,-2
