FullName,Position,TeamName,SkillPointOL
Ajani Cornelius,RG,DET,6
Alai Kalaniuvalu,C,SF,0
Alex Birchmeier,LG,NO,-3
Aliou Bah,RG,ARI,2
Andrew Babalola,RT,MIA,-4
Andrew Page,C,CLE,1
Andrew Raym,C,CIN,-8
Andrew Sprague,RT,CLE,3
Andrew Thomas,LT,PHI,2
Andrew Vorhees,LG,MIA,-5
Anton Harrison,LT,TEN,-1
Ashton Beers,LT,HOU,7
Austin Corbett,RG,TB,-6
Austin Gilmore,LG,WAS,0
Beaux Limmer,C,WAS,2
Ben Christman,LG,ARI,-1
Billy Schrauth,LG,MIA,12
Bo McGhee,LG,TB,12
Brandon Baker,LT,TB,-7
Braxton Jones,LT,IND,-4
Broderick Jones,LT,PIT,-1
Bryce Foster,C,CAR,2
Caleb Siech,RT,LV,1
Cam Robinson,LT,KC,-4
Cam'Ron Johnson,LG,LV,-2
Cayden Sweatt,C,PHI,-1
Charles Cross,LT,SEA,1
Chase Bisontis,RG,LAR,1
Chauncey Gooden,C,TB,-6
Chris Lindstrom,RG,ATL,-7
Christian Darrisaw,LT,MIN,-1
Cole Hutson,LG,BAL,-5
Connor Lew,C,ARI,2
Connor Williams,C,NYG,4
Cooper Beebee,LG,JAX,1
Cooper Cousins,RT,SEA,-5
Creed Humphrey,C,KC,-1
DJ Campbell,RG,CLE,-5
Darnell Wright,RT,CHI,6
David Sanders Jr,LT,ATL,3
Daymond McCleod,LT,CAR,-4
Delmar Glaze,RT,LAC,10
Devin Harper,RG,PIT,-7
Dominic Rulli,C,MIA,-4
Donte Harris,C,SEA,1
Douglas Utu,C,PIT,-7
Drew Azzopardi,LT,NO,1
Duane Fenderson,RT,BAL,-9
E.J. Harris,RG,SEA,5
Ed Ingram,LG,NE,-4
Elgton Jenkins,LG,LAR,5
Elijah Paige,LT,HOU,5
Elijah Pritchett,LT,NYG,1
Elishah Jackett,LT,NYG,-1
Emmett Charles,C,IND,3
Eugene Brooks,RG,NYG,-9
Ezra Cleveland,RG,JAX,2
Francis Mauigoa,RT,JAX,8
Garrett Schwiebert,LG,DEN,1
Graham Barton,RG,WAS,-1
