Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
0,WR,Dontayvion,Wicks,Dontayvion Wicks,IND,5,0,1,0,865,47,1012,328,True,0,1,0,0,74,0,0,7,5,0,1,0,0,0,0,8,16,16,1,9,0,Dontayvion,Wicks,WicksDontayvion_22772,3019.0,3017.0,7.0,29.0,9.0,Signed,Star,77.0,0.0,0.0,IND,tier_4,859.6837944664032,1680.8000000000002,0.5,7.905138339920948,0.20974781765276432,IND,3.0
8,QB,Jack,Rowe,Jack Rowe,DAL,0,0,0,0,0,0,22,0,True,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,10,0,Jack,Rowe,JackRowe_30641,3499.0,3497.0,0.0,22.0,10.0,Signed,Normal,62.0,0.0,0.0,DAL,tier_6,0.0,,0.0,0.0,0.0,,
18,HB,Akylin,Dear,Akylin Dear,DAL,732,0,2,287,126,17,489,105,True,0,146,0,0,18,0,5,7,75,0,13,0,0,0,0,2,14,4,0,10,8,Akylin,Dear,AkylinDear_29222,1831.0,1829.0,1.0,23.0,10.0,Signed,Star,83.0,0.0,0.0,DAL,tier_3,1754.601226993865,1449.6585365853657,0.7142857142857143,20.449897750511248,0.04336043360433604,DAL,6.0
34,QB,Will,Levis,Will Levis,DAL,15,507,0,0,0,0,222,0,True,46,10,75,2,0,0,0,7,5,23,0,0,0,1,3,0,16,2,0,10,0,Will,Levis,LevisWill_22687,1714.0,1712.0,7.0,31.0,10.0,Signed,Normal,67.0,0.0,0.0,DAL,tier_6,67.56756756756756,450.0,0.0,0.0,0.0,,
39,QB,DJ,Uiagalelei,DJ Uiagalelei,SEA,49,4907,0,0,0,0,1078,0,True,389,20,659,15,0,0,0,7,6,68,0,0,0,49,30,0,16,16,4,27,1,DJ,Uiagalelei,,396.0,394.0,5.0,29.0,27.0,Signed,Star,74.0,0.0,0.0,SEA,tier_5,45.45454545454545,735.0,0.0625,0.9276437847866419,0.0,,
40,QB,Eli,Holstein,Eli Holstein,CHI,0,0,0,0,0,0,21,0,True,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,Eli,Holstein,,2536.0,2534.0,2.0,24.0,0.0,Signed,Normal,62.0,0.0,0.0,CHI,tier_6,0.0,,0.0,0.0,0.0,,
75,TE,Ka'Morreun,Pimpton,Ka'Morreun Pimpton,NE,0,0,1,0,257,24,880,124,True,0,0,0,0,24,0,0,7,0,0,1,0,0,0,0,4,14,11,0,21,0,Ka'Morreun,Pimpton,,3186.0,3184.0,3.0,26.0,21.0,Signed,Normal,66.0,0.0,0.0,NE,tier_6,292.04545454545456,1542.0,0.2857142857142857,4.545454545454545,0.07475548122023053,NE,1.0
81,TE,Dalton,Kincaid,Dalton Kincaid,BUF,0,0,1,0,604,40,1012,296,True,0,0,0,0,53,0,0,7,0,0,7,0,0,0,0,4,16,16,0,2,0,Dalton,Kincaid,KincaidDalton_22823,1615.0,1613.0,7.0,30.0,2.0,Signed,Superstar,88.0,0.0,0.0,BUF,tier_2,596.8379446640316,1641.056603773585,0.25,3.952569169960474,0.14289093920037851,BUF,-2.0
85,TE,Brice,Rutledge,Brice Rutledge,CIN,0,0,4,0,427,24,1098,149,True,0,0,0,0,39,0,0,7,0,0,1,0,0,0,0,2,16,16,0,1,0,Brice,Rutledge,BriceRutledge_30116,92.0,90.0,0.0,21.0,1.0,Signed,Normal,76.0,0.0,0.0,CIN,tier_4,388.8888888888889,1576.6153846153843,0.125,1.8214936247723132,0.09865988909426987,CIN,-6.0
97,WR,Ja'Marr,Chase,Ja'Marr Chase,CIN,15,0,2,0,1131,33,901,474,True,0,4,0,0,91,0,0,7,7,0,10,0,0,0,0,5,14,14,0,1,0,Ja'Marr,Chase,ChaseJaMarr_21586,491.0,489.0,9.0,30.0,1.0,Signed,XFactor,90.0,0.0,0.0,CIN,tier_1,1271.9200887902332,1761.7263157894738,0.35714285714285715,5.549389567147614,0.2986532875627146,CIN,-1.0
99,HB,Bijan,Robinson,Bijan Robinson,CLE,640,0,0,193,309,42,585,235,True,0,153,0,0,40,0,5,7,63,0,17,0,0,0,0,2,13,13,0,4,6,Bijan,Robinson,RobinsonBijan_22690,2393.0,2391.0,7.0,28.0,4.0,Signed,Superstar,83.0,0.0,0.0,CLE,tier_3,1622.2222222222222,1225.3678756476684,0.6153846153846154,13.675213675213675,0.09512448531958287,CLE,1.0
105,QB,Ty,Simpson,Ty Simpson,ATL,0,0,0,0,0,0,3,0,True,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,13,0,Ty,Simpson,SimpsonTy_430,430.0,428.0,3.0,25.0,13.0,Signed,Normal,62.0,0.0,0.0,ATL,tier_6,0.0,,0.0,0.0,0.0,,
108,QB,Drake,Maye,Drake Maye,LAR,0,10,0,0,0,0,80,0,True,1,0,3,0,0,0,0,7,0,10,0,0,0,0,0,0,16,0,0,23,0,Drake,Maye,MayeDrake_259,3199.0,3197.0,6.0,28.0,23.0,Signed,Normal,67.0,0.0,0.0,LAR,tier_6,0.0,,0.0,0.0,0.0,,
133,QB,Cameron,Mays,Cameron Mays,CIN,0,0,0,0,0,0,1,0,True,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,Cameron,Mays,CameronMays_30516,263.0,261.0,0.0,22.0,1.0,Signed,Normal,63.0,0.0,0.0,CIN,tier_6,0.0,,0.0,0.0,0.0,,
136,WR,Quincy,Porter,Quincy Porter,PHI,0,0,0,0,1034,51,1077,395,True,0,0,0,0,78,0,0,7,0,0,0,0,0,0,0,7,16,16,0,12,0,Quincy,Porter,QuincyPorter_28433,942.0,940.0,2.0,24.0,12.0,Signed,Normal,79.0,0.0,0.0,PHI,tier_4,960.0742804085422,1908.923076923077,0.4375,6.49953574744661,0.27354497354497354,PHI,1.0
