Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
2,P,Eddie,Czaplicki,Eddie Czaplicki,WAS,0,3978,4268,0,90,30,92,0,51,7,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,1,16,Eddie,Czaplicki,,1157.0,1155.0,5.0,28.0,25.0,Signed,Star,80.0,0.0,0.0,WAS,tier_3,,,,0.13333333333333333,47.422222222222224,0.9320524835988754,WAS,0
11,K,Jai,Patel,Jai Patel,IND,0,0,0,1,0,0,129,34,0,7,70,False,0,0,20,32,0,8,4,4,4,0,4,3,18,57,16,9,51,7,4,0,16,Jai,Patel,PatelJai_608,894.0,892.0,3.0,25.0,9.0,Signed,Superstar,78.0,0.0,0.0,IND,tier_4,0.9,0.9411764705882353,0.9166666666666666,,,,IND,-2
26,K,Griffin,Kell,Griffin Kell,TB,0,0,0,0,0,0,131,36,0,7,73,False,0,0,23,35,0,10,6,4,3,0,4,3,23,58,16,5,42,10,6,0,16,Griffin,Kell,,3462.0,3460.0,6.0,29.0,5.0,Signed,Star,74.0,0.0,0.0,TB,tier_5,1.0,0.9722222222222222,1.0,,,,TB,8
27,K,Dominic,Zvada,Dominic Zvada,CHI,0,0,0,0,0,0,166,40,0,7,85,False,0,0,34,40,0,10,14,6,4,0,5,4,31,58,16,0,46,10,12,0,16,Dominic,Zvada,,704.0,702.0,4.0,26.0,0.0,Signed,Normal,80.0,0.0,0.0,CHI,tier_3,0.9117647058823529,1.0,0.9166666666666666,,,,CHI,-2
30,P,Michael,Kern,Michael Kern,TB,0,3765,3966,0,87,27,87,0,48,7,1,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,1,16,Michael,Kern,MichaelKern_29713,1881.0,1879.0,1.0,24.0,5.0,Signed,Normal,73.0,0.0,0.0,TB,tier_5,,,,0.18518518518518517,45.58620689655172,0.9493192133131618,TB,-1
33,P,Aidan,Flintoft,Aidan Flintoft,MIA,0,2768,3012,0,64,24,135,0,50,7,68,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,11,41,0,0,0,16,Aidan,Flintoft,,690.0,688.0,3.0,26.0,11.0,Signed,Normal,79.0,0.0,0.0,MIA,tier_4,,,,0.25,47.0625,0.9189907038512616,MIA,-3
37,K,Alex,McPherson,Alex McPherson,NE,0,0,0,1,0,0,60,36,0,7,0,False,0,0,27,35,0,12,6,8,1,0,7,1,23,61,15,21,0,9,6,0,16,Alex,McPherson,McPhersonAlex_494,1838.0,1836.0,3.0,26.0,21.0,Signed,Normal,79.0,0.0,0.0,NE,tier_4,0.8518518518518519,0.9722222222222222,0.8333333333333334,,,,NE,-6
51,K,Harrison,Butker,Harrison Butker,KC,0,0,0,1,0,0,157,52,0,7,87,False,0,0,19,52,0,7,8,3,1,0,3,1,18,57,16,8,55,6,8,0,16,Harrison,Butker,ButkerHarrison_12863,402.0,400.0,13.0,35.0,8.0,Signed,Star,85.0,0.0,0.0,KC,tier_2,0.9473684210526315,1.0,0.9333333333333333,,,,KC,2
54,P,Ryan,Rehkow,Ryan Rehkow,BAL,0,3356,3651,0,81,32,76,0,50,7,3,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,16,Ryan,Rehkow,,2414.0,2412.0,5.0,29.0,24.0,Signed,Normal,72.0,0.0,0.0,BAL,tier_5,,,,0.09375,45.074074074074076,0.9192002191180498,BAL,0
56,P,Drew,Miller,Drew Miller,LAR,0,2941,3068,0,68,25,71,0,47,7,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,16,Drew,Miller,DrewMiller_2963266,175.0,173.0,1.0,24.0,23.0,Signed,Normal,71.0,0.0,0.0,LAR,tier_5,,,,0.12,45.11764705882353,0.9586049543676662,LAR,2
