Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
23,LG,Trey,Zuhn III,Trey Zuhn III,DAL,12,0,3,822,False,12,10,0,7,Trey,Zuhn III,,2076.0,2074.0,4.0,27.0,10.0,Signed,Normal,79.0,0.0,0.0,DAL,tier_4,3.6496350364963503,DAL,2
28,RG,Parker,Wesevich,Parker Wesevich,ATL,7,0,1,525,False,14,13,0,7,Parker,Wesevich,ParkerWesevich_3016,1976.0,1974.0,0.0,22.0,13.0,Signed,Star,83.0,0.0,0.0,ATL,tier_3,1.9047619047619047,ATL,1
38,RT,Logan,Taylor,Logan Taylor,KC,16,3,8,1107,False,16,8,0,7,Logan,Taylor,,229.0,227.0,4.0,27.0,8.0,Signed,Superstar,94.0,0.0,0.0,KC,tier_1,7.226738934056007,KC,-2
47,C,Donte,Harris,Donte Harris,SEA,13,0,6,945,False,14,27,0,7,Donte,Harris,DonteHarris_30337,339.0,337.0,0.0,22.0,27.0,Signed,Normal,67.0,0.0,0.0,SEA,tier_6,6.349206349206349,SEA,1
48,C,Juice,Scruggs,Juice Scruggs,TEN,14,0,8,1002,False,14,29,0,7,Juice,Scruggs,ScruggsJuice_22877,2504.0,2502.0,7.0,30.0,29.0,Signed,Normal,76.0,0.0,0.0,TEN,tier_4,7.984031936127744,TEN,-4
60,LG,Malachi,Goodman,Malachi Goodman,CAR,16,1,7,1142,False,16,20,0,7,Malachi,Goodman,MalachiGoodman_29126,3470.0,3468.0,1.0,24.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,6.129597197898424,CAR,-4
61,C,Chauncey,Gooden,Chauncey Gooden,TB,10,6,7,672,False,11,5,0,7,Chauncey,Gooden,ChaunceyGooden_29612,1324.0,1322.0,1.0,23.0,5.0,Signed,Normal,72.0,0.0,0.0,TB,tier_5,10.416666666666666,TB,-6
63,C,Bryce,Foster,Bryce Foster,CAR,16,2,4,1196,False,16,20,0,7,Bryce,Foster,,419.0,417.0,5.0,27.0,20.0,Signed,Star,78.0,0.0,0.0,CAR,tier_4,3.3444816053511706,CAR,2
72,LG,Cooper,Beebee,Cooper Beebee,JAX,14,0,2,917,False,14,16,0,7,Cooper,Beebee,,3304.0,3302.0,6.0,29.0,16.0,Signed,Superstar,91.0,0.0,0.0,JAX,tier_1,2.1810250817884405,JAX,1
73,LG,Landon,Dickerson,Landon Dickerson,NYJ,14,0,3,1029,False,14,17,0,7,Landon,Dickerson,DickersonLandon_21642,703.0,701.0,9.0,31.0,17.0,Signed,Superstar,82.0,0.0,0.0,NYJ,tier_3,2.9154518950437316,NYJ,1
