FullName,Position,TeamName,SkillPointKick
Aaron Brackins,K,NYG,1
Alan Brackett,P,MIN,0
Alec McPherson,K,NO,-3
Alex McPherson,K,GB,2
Alex Saunders,K,DET,-2
Andrew Richardson,P,TEN,-3
B.J. Polk,P,BUF,0
Bernard Donaldson,K,SF,0
Brandon Collins,P,CHI,1
Braxton King,P,CLE,-6
Brett Wittman,P,LAC,-2
Bryan Talley,K,ATL,1
Bryce McFerson,P,IND,1
Caleb Zeigler,P,DAL,-1
Carter Abraham,P,CIN,0
Charlie Copeland,K,JAX,6
Chase Cook,K,NE,-5
Chris Edwards,P,NO,1
Chris Ross,K,LAR,-2
Clyde Darby,P,DET,-2
Colin Hartman,K,HOU,1
Connor Smith,P,CAR,-1
Curtis Monroe,P,LAR,1
Damon Wilcox,P,SEA,4
Daniel Lee,P,PIT,-1
Darren McLane,K,PHI,-4
David Brown,K,MIN,-2
Dennis Abraham,K,CLE,-1
Devin Tanley,K,BAL,-1
Ethan Moczulski,K,CIN,-5
Gary Paulson,P,NYJ,1
Grant Wade,K,CAR,1
Isaiah Hamilton,K,CHI,-1
James Williams,K,DEN,1
Joe Curtis,K,LV,2
Johnny Webster,K,LAC,-2
Joshua Conwell,P,PHI,-3
Kai Kroeger,P,SF,2
Kirk Moreland,K,DAL,-1
Kolton Hall,P,MIA,5
Luke Reisner,P,BAL,1
Matt Walker,K,WAS,3
Michael Perez,K,SEA,-1
Michael Smith,K,TB,-7
Michael Turk,P,TB,1
Mikal Childress,P,JAX,1
Nathan Dibert,K,MIA,0
Nick Weber,P,ARI,4
Owen Roth,P,NYG,0
Paul Robbins,P,ATL,3
Peter Williams,P,WAS,-1
Preston Gervasi,P,HOU,2
Rhett Bush,P,NE,-3
Ryan Blanchard,K,IND,0
Scott Groves,K,KC,0
Spencer Olsen,K,TEN,0
TJ Clifford,K,BUF,0
Tim Columbus,P,LV,-1
Toby Mahone,P,DEN,3
Tommy Rich,K,ARI,-1
Tommy Townsend,P,GB,0
Trey Ortiz,K,PIT,-5
Ty Dillon,K,NYJ,6
Tyler Perkins,P,KC,0
