FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-1
Andrew Mevis,K,JAX,-3
Andy Lee,P,ARI,3
Arryn Siposs,P,PHI,0
Austin Seibert,K,DET,7
Blake Gillikin,P,NO,2
Braden Mann,P,NYJ,-2
Bradley Pinion,P,BUF,0
Brandon McManus,K,DEN,0
Brett Kern,P,TEN,-4
Bryan Anger,P,DAL,-2
Cade York,K,CLE,1
Cairo Santos,K,CHI,-1
Cameron Dicker,P,LAR,3
Cameron Johnston,P,HOU,-1
Chris Boswell,K,PIT,3
Corey Bojorquez,P,CLE,-2
Daniel Carlson,K,LV,-3
Dom Maggio,P,ATL,-1
Dustin Hopkins,K,LAC,5
Evan McPherson,K,CIN,0
Graham Gano,K,NYG,-3
Greg Joseph,K,MIN,4
Greg Zuerlein,K,NYJ,2
Harrison Butker,K,KC,0
J.K. Scott,P,LAC,0
Jack Fox,P,DET,1
Jake Bailey,P,NE,-5
Jake Camarda,P,TB,2
Jake Elliott,K,PHI,2
Jamie Gillan,P,NYG,2
Jason Myers,K,SEA,8
Jason Sanders,K,MIA,0
Joey Slye,K,WAS,-10
Johnny Hekker,P,CAR,-4
Jordan Berry,P,MIN,-5
Jordan Stout,P,BAL,2
Josh Lambo,K,DAL,2
Justin Tucker,K,BAL,1
Ka'imi Fairbairn,K,HOU,0
Kevin Huber,P,CIN,0
Logan Cooke,P,JAX,2
Mason Crosby,K,GB,3
Matt Araiza,P,BUF,2
Matt Gay,K,LAR,0
Matt Prater,K,ARI,4
Michael Dickson,P,SEA,2
Mitch Wishnowsky,P,SF,1
Nick Folk,K,NE,3
Pat O'Donnell,P,GB,2
Pressley Harvin III,P,PIT,3
Randy Bullock,K,TEN,-2
Rigoberto Sanchez,P,IND,-2
Robbie Gould,K,SF,-10
Rodrigo Blankenship,K,IND,-6
Ryan Succop,K,TB,3
Sam Martin,P,DEN,0
Thomas Morstead,P,MIA,0
Tommy Townsend,P,KC,3
Trenton Gill,P,CHI,1
Tress Way,P,WAS,1
Tyler Bass,K,BUF,0
Wil Lutz,K,NO,3
Younghoe Koo,K,ATL,2
Zane Gonzalez,K,CAR,-7
