FullName,Position,TeamName,SkillPointOff
Alani Hurst-Dixon,TE,HOU,7
Alec Hoffmann,WR,TB,2
Alex Diehl,WR,ATL,2
Alex Nance,WR,TEN,6
Alex Slaughter,TE,WAS,-1
Andre Greene Jr,WR,NO,-5
Andrew Bailey,WR,DET,-1
Andy Peterson,WR,SF,2
Armani Boykin,TE,KC,1
Armani Verrett,HB,HOU,5
Barry Raymond,HB,TEN,-4
Benji Beachum,TE,LAR,1
Brayden Llyod Jr,WR,LAR,-2
Brayden Stewart,HB,MIA,3
Brendan LaPierre,WR,MIN,14
Brett Thomas,TE,PIT,-6
Brian Pettis,HB,TB,-4
Britton Forbes,WR,WAS,6
Bryan Sellers,HB,IND,2
Bryce O'Neal,WR,JAX,0
Bryce Thurston,WR,KC,-4
CJ Ivory,WR,WAS,-3
Caleb Simpson,WR,TB,-9
Calvin Avant,WR,CLE,-3
Carl Hill,TE,CAR,-3
Chase Flynn,WR,MIN,0
Chris Adkins,TE,BAL,3
Chris Davenport,WR,KC,2
Chuck Jones,WR,MIA,0
Clark McMillian,HB,LV,-1
Connor Weston,TE,MIN,-7
Corren Rutherford,HB,NYG,-2
Cory Schilling,TE,LV,10
D'Andre Massey,WR,JAX,0
D.J. Peters,HB,NO,4
DaShaun Burgess Jr,TE,PHI,6
Dalton Stockton,TE,ARI,1
Damion Turner,WR,ATL,0
Danny Barber,WR,LAC,1
Darnell Reese,WR,DEN,-4
Darrius Levingston,WR,LAC,-4
David Teague,WR,NE,-5
DeAndre Jennings,WR,NYG,5
DeMarcus Boston Jr,HB,CAR,4
DeMarcus Thomas,WR,DEN,-2
DeShawn Thomas,HB,CIN,5
Deion Chamblin,HB,PIT,-5
Deshaun Boothe,WR,NYG,-5
Desmond McLaughlin,WR,LAR,8
Devin Leach,WR,TB,0
Devin Morrison,TE,NYG,-1
Devonta Cooper,HB,PHI,-3
Dionte Hobson,WR,DET,3
Donavan Sullivan,TE,DAL,3
Donovan Meriweather,TE,CHI,1
Donte Potts,WR,PHI,7
Donte Woodard,HB,ATL,5
Dorian Johnson,WR,PIT,-2
Doug Blumberg,TE,KC,1
Dudley Tolbert,WR,MIN,2
Dwight Gooden,TE,NYG,-4
Earl Branson,WR,CHI,2
Eric Fowler,WR,ARI,-1
Eric Geathers,WR,WAS,2
Eric Wallace,HB,ATL,-3
Forrest Walden,TE,WAS,1
Gio Brown,HB,WAS,-5
Glenn Garvin,WR,LV,1
Grant Borden,TE,LAC,1
Isaiah Bryson,TE,IND,-2
Isaiah DeVoe Jr,WR,DAL,-1
JJ Moss,WR,DEN,-1
JaMarcus Shelby,TE,DAL,4
JaMichael Brackett,TE,MIA,3
JaMichael Mullins,HB,ARI,-1
Jacoby Owens,WR,NYJ,-1
Jaedon Hayes,HB,IND,3
Jake Heenan,TE,MIN,-5
Jaleel Redmon,WR,CIN,1
Jamaal Jones,WR,PHI,3
Jarrick Patton,WR,DEN,2
Javonti Felix,WR,BAL,1
Jaylen Austin,HB,NE,5
Jelani Monroe-Eaton,HB,SF,-5
Jerod Felder Jr,WR,NE,2
