Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
242,WR,Pofele,Ashlock,Pofele Ashlock,CAR,0,0,0,0,823,26,1032,154,True,0,0,0,0,73,0,0,7,0,0,0,0,0,0,0,4,16,16,0,20,0,Pofele,Ashlock,,1983.0,1981.0,4.0,26.0,20.0,Signed,Normal,83.0,0.0,0.0,CAR,tier_3,797.4806201550388,1623.4520547945206,0.25,3.875968992248062,0.25872367180132033,CAR,0.0
243,HB,Abu,Sama III,Abu Sama III,BAL,1024,0,1,467,72,27,444,86,True,0,221,0,0,11,0,11,7,31,0,57,0,0,0,0,0,14,14,1,24,3,Abu,Sama III,,3133.0,3131.0,4.0,26.0,24.0,Signed,Normal,86.0,0.0,0.0,BAL,tier_2,2468.4684684684685,1368.8275862068965,0.21428571428571427,6.756756756756757,0.02493506493506494,BAL,-5.0
303,HB,Braylen,Russell,Braylen Russell,CLE,788,0,2,323,160,19,473,167,True,0,202,0,0,24,0,8,7,33,0,41,0,0,0,0,0,13,13,3,4,10,Braylen,Russell,,1277.0,1275.0,3.0,26.0,4.0,Signed,Normal,77.0,0.0,0.0,CLE,tier_4,2004.2283298097252,1147.9646017699115,0.7692307692307693,21.141649048625794,0.05125535578424699,CLE,1.0
388,WR,Bryant,Wesco,Bryant Wesco,DEN,0,0,3,0,1371,35,1083,245,True,0,0,0,0,110,0,0,7,0,0,0,0,0,0,0,9,16,16,0,3,0,Bryant,Wesco,,1470.0,1468.0,4.0,26.0,3.0,Signed,Normal,84.0,0.0,0.0,DEN,tier_3,1265.927977839335,1794.7636363636361,0.5625,8.310249307479225,0.3675603217158177,DEN,8.0
415,TE,Jack,Velling,Jack Velling,BAL,0,0,4,0,497,74,1016,201,True,0,0,0,0,42,0,0,7,0,0,2,0,0,0,0,3,14,14,0,24,0,Jack,Velling,,113.0,111.0,5.0,28.0,24.0,Signed,Star,81.0,0.0,0.0,BAL,tier_3,489.1732283464567,1704.0,0.21428571428571427,2.952755905511811,0.17212121212121212,BAL,-2.0
416,QB,Brock,Vandagriff,Brock Vandagriff,BAL,0,115,0,0,0,0,101,0,True,13,0,20,0,0,0,0,7,0,33,0,0,0,1,2,0,16,2,0,24,0,Brock,Vandagriff,,1467.0,1465.0,5.0,28.0,24.0,Signed,Normal,68.0,0.0,0.0,BAL,tier_6,0.0,,0.0,0.0,0.0,,
419,WR,Antonio,Williams,Antonio Williams,BAL,0,0,15,0,464,26,741,77,True,0,0,0,0,41,0,0,7,0,0,0,0,0,0,0,6,16,16,0,24,0,Antonio,Williams,,383.0,381.0,6.0,27.0,24.0,Signed,Normal,74.0,0.0,0.0,BAL,tier_5,626.1808367071525,1629.658536585366,0.375,8.097165991902834,0.1406060606060606,BAL,0.0
424,QB,Ryder,Lyons,Ryder Lyons,BAL,214,3185,0,66,0,0,1011,0,True,293,47,455,15,0,0,2,7,35,77,8,0,0,37,27,0,16,16,5,24,0,Ryder,Lyons,RyderLyons_29210,2532.0,2530.0,2.0,23.0,24.0,Signed,Star,81.0,0.0,0.0,BAL,tier_3,211.67161226508406,1365.9574468085107,0.0,0.0,0.0,,
426,TE,Luke,Reynolds,Luke Reynolds,ATL,21,0,10,11,322,25,891,111,True,0,3,0,0,33,0,0,7,15,0,2,0,0,0,0,1,13,12,0,13,0,Luke,Reynolds,,1891.0,1889.0,4.0,25.0,13.0,Signed,Star,73.0,0.0,0.0,ATL,tier_5,384.9607182940517,1463.0,0.07692307692307693,1.122334455667789,0.11104166217643383,ATL,-4.0
459,WR,Rome,Odunze,Rome Odunze,ATL,0,0,0,0,1142,61,961,260,True,0,0,0,0,86,0,0,7,0,0,0,0,0,0,0,2,16,16,0,13,0,Rome,Odunze,,3210.0,3208.0,7.0,29.0,13.0,Signed,Star,86.0,0.0,0.0,ATL,tier_2,1188.3454734651405,1912.1860465116276,0.125,2.081165452653486,0.3199775847576352,ATL,0.0
