FullName,Position,TeamName,SkillPointOff
Aaron Anderson,WR,TEN,-3
Aaron Redding,TE,CLE,3
Abu Sama III,HB,BAL,-5
Adonai Mitchell,WR,CHI,-5
Alex Stephenson,HB,PIT,0
Alvin Henderson,HB,JAX,2
Amare Thomas,WR,CLE,6
Amon-Ra St. Brown,WR,DET,5
Andrew Wright,WR,KC,0
Anthony Evans III,WR,KC,-4
Anthony Lynch,WR,LAC,5
Anthony Rogers,HB,JAX,3
Antoine Richardson,HB,IND,-7
Antonio Williams,WR,BAL,0
Barion Brown,WR,SF,2
Beaux Collins,WR,DAL,-1
Benjamin Brahmer,TE,IND,1
Bijan Robinson,HB,NYJ,-4
Blake Bolden,TE,NYG,-4
Bo Jackson,HB,HOU,-2
Brady Lloyd,WR,IND,4
Brandon Billingsley,HB,TB,1
Brayden Winslow,TE,PHI,-1
Braylen Russell,HB,CLE,1
Breece Hall,HB,CIN,0
Brett Norfleet,TE,CAR,0
Brevin Doll,HB,DAL,-3
Brian Bonner,HB,MIN,-1
Brian Thomas Jr,WR,MIA,0
Brice Rutledge,TE,CIN,0
Brock Bowers,TE,LAC,2
Brock Harris,TE,NE,-1
Bryant Wesco,WR,DEN,8
CJ Donaldson Jr,HB,SEA,-1
Caden Durham,HB,ATL,-5
Caden Prieskorn,TE,MIA,0
Caleb Cunningham,WR,DAL,6
Caleb Williams,WR,BUF,1
Callum Mills,WR,NO,-2
Calvin Russell,WR,LV,-4
Cam Driscoll,WR,NYG,-3
Cam McCoy,HB,NYG,0
Cameron Begalle,WR,SEA,0
Cameron Hayes,WR,CAR,4
Cederian Morgan,WR,CHI,-6
CeeDee Lamb,WR,TEN,-4
Chris Henry Jr,WR,NYJ,1
Chris Olave,WR,NO,6
Chris Ryans,HB,LAR,-4
Cordale Russell,WR,NE,1
Cortez Mills,WR,DEN,-1
Dalton Kincaid,TE,BUF,4
Damarius Yates,HB,DAL,0
Dante Dowdell,HB,PHI,3
Darien Williams,WR,NYJ,7
Davian Groce,HB,TB,-3
David Washington Jr,WR,DET,1
Daylon Singleton,WR,ATL,-2
DeAndre Moore Jr,WR,BUF,-1
DeAngelo McKee,WR,DEN,-3
DeVonta Smith,WR,CHI,11
Derek Meadows,WR,NE,-1
Derrick Clinton,WR,MIA,-6
Deshay McNeil,WR,TEN,3
Deshonne Redeaux,HB,WAS,-7
Drake London,WR,TB,-6
Durell Robinson,HB,CAR,3
Elic Ayomanor,WR,WAS,3
Elijah Arroyo,TE,DEN,-3
Elyiss Williams,TE,NO,2
Emeka Egbuka,WR,DET,-6
Ezekiel Burton,WR,PHI,3
Gabe Woods,HB,KC,4
Gatlin Bair,WR,WAS,3
George Burhenn,TE,DAL,-1
Gideon Davidson,HB,LAC,5
Harlem Berry,HB,NO,-1
Harper Stevenson,WR,DET,2
Hykeem Williams,WR,CIN,-1
Isaiah Augustave,HB,LV,5
Isaiah Likely,TE,TB,3
J.Michael Sturdivant,WR,BUF,5
Ja'Marr Chase,WR,SF,1
Jabari Brady,WR,ARI,-6
Jabree Wallace-Coleman,HB,CLE,4
Jack Velling,TE,BAL,-2
Jackson Lacy,WR,HOU,6
Jaden Hamm,TE,PIT,-2
Jaden Platt,TE,SEA,-4
Jahmyr Gibbs,HB,HOU,2
Jaime Ffrench,WR,NE,-1
Jaleel Odenigbo,HB,KC,-4
Jalen Brown,WR,MIN,3
Jalen Buckley,HB,CHI,5
Jalen McMillian,WR,LAR,13
Jalin Conyers,TE,NYG,0
