FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,-3
Aaron Rudd,K,NO,1
Aeeron Burrell,K,PHI,6
Aidan Flintoft,P,MIA,2
Andres Borregales,K,PIT,1
Blake Grupe,K,NYG,7
Brad Wilson,K,CLE,3
Bradley Green,P,SEA,0
Bret Kovacs,K,DET,8
Brett Thorson,P,JAX,1
Brock Taylor,K,NYJ,-1
Bryce McFerson,P,GB,0
CJ Cole,P,NYG,-1
Cam Little,K,MIA,-1
Cameron Dicker,K,LAC,-1
Conor Talty,K,LAR,3
Danny Donnell,P,DEN,0
Dean Janikowski,K,NE,-1
Decam Duley,P,ATL,-2
Dominic Zvada,K,CHI,-12
Drew Miller,P,LAR,-4
Dustin Hopkins,K,SF,-5
Dylan Joyce,P,SF,-1
Eddie Czaplicki,P,WAS,1
Eddy Pineiro,K,CAR,-5
Garrett Jackson,P,PIT,4
Griffin Kell,K,TB,-3
Jack Browning,K,ATL,6
Jai Patel,K,BUF,5
Jake Bailey,P,CAR,0
Jamie Gillan,P,LAC,-1
Jared Zirkel,K,CIN,-3
Joey Matthews,K,SEA,6
Joshua Karty,K,DEN,-3
Ka'imi Fairbairn,K,WAS,-4
Kurt Otto,P,NO,-2
Kyle Lemmermann,K,GB,-2
Levy McNally,K,TEN,3
Mason Fletcher,P,BUF,-2
Mason Shipley,K,HOU,0
Michael Kern,P,TB,1
Mitchell Lake,P,ARI,0
Palmer Williams,P,DAL,-1
Pat Williams,K,LV,-1
Peyton Woodring,K,KC,1
Pressley Harvin III,P,CIN,-2
Quentin Giguere,K,IND,-2
Riley Norton,P,NE,-2
Riley Thompson,P,CLE,-1
Ryan Lynn,P,MIN,-3
Ryland Lyles,P,PHI,-1
Ryland Stromberg,K,BAL,-4
Thad Mitchell,P,NYJ,-3
Tommy Doman,P,CHI,3
Tommy Townsend,P,BAL,1
Tory Taylor,P,IND,-1
Trevor Lawrence,P,DET,1
Tristan Alvano,K,DAL,-1
Tyler Kinsman,P,TEN,4
Tyler White,P,KC,-2
Tyson Fredrickson,K,MIN,-4
Will Ferrin,K,ARI,-5
Will Reichard,K,JAX,-5
Will Stein,P,HOU,1
