Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
0,FS,Chace,Biddle,Chace Biddle,NE,True,0,22,847,0,45,42,57,0,7,24,13,0,2,0,0,1,0,21,1,0,0,0,13,13,Chace,Biddle,,3460.0,3458.0,5.0,26.0,21.0,Signed,Normal,76.0,0.0,0.0,NE,tier_4,1.1806375442739079,1.1806375442739079,2.3612750885478158,2.3612750885478158,120.4250295159386,1.1806375442739079,2.833530106257379,1.7692307692307692,NE,-2
1,FS,Eddie,Willis,Eddie Willis,NE,True,0,9,503,0,12,11,23,0,7,7,9,0,1,0,0,1,0,21,0,0,0,0,16,3,Eddie,Willis,EddieWillis_30723,3390.0,3388.0,1.0,24.0,21.0,Signed,Normal,65.0,0.0,0.0,NE,tier_6,0.0,0.0,1.9880715705765406,1.9880715705765406,69.58250497017893,1.9880715705765406,1.3916500994035785,0.375,NE,-3
2,RE,Dasan,Brown,Dasan Brown,NE,True,0,0,338,0,10,9,16,0,7,1,0,0,0,0,0,0,0,21,3,0,1,0,16,1,Dasan,Brown,DasanBrown_30642,1760.0,1758.0,1.0,24.0,21.0,Signed,Normal,70.0,0.0,0.0,NE,tier_5,14.792899408284024,16.272189349112427,0.0,11.834319526627219,76.92307692307693,0.0,0.2958579881656805,0.0625,NE,-5
3,LOLB,Quincy,Thurman,Quincy Thurman,NE,True,0,0,478,0,11,14,21,1,7,10,0,0,0,0,0,0,0,21,2,0,4,0,16,15,Quincy,Thurman,QuincyThurman_30537,2730.0,2728.0,1.0,25.0,21.0,Signed,Normal,66.0,0.0,0.0,NE,tier_6,20.920502092050206,25.10460251046025,0.0,12.552301255230125,66.94560669456067,0.0,2.092050209205021,0.625,NE,5
4,DT,Kobie,Whitehead,Kobie Whitehead,NE,True,0,0,319,0,4,14,19,1,7,0,0,0,0,0,0,0,0,21,7,0,3,0,16,1,Kobie,Whitehead,KobieWhitehead_3056,2612.0,2610.0,1.0,23.0,21.0,Signed,Normal,68.0,0.0,0.0,NE,tier_6,40.75235109717868,45.45454545454545,0.0,31.34796238244514,72.10031347962382,0.0,0.0,0.0,NE,0
5,LE,Adonis,Woodson,Adonis Woodson,NE,True,13,0,596,1,12,15,30,0,7,0,0,0,0,0,0,0,0,21,7,2,6,0,16,3,Adonis,Woodson,AdonisWoodson_30223,3386.0,3384.0,1.0,24.0,21.0,Signed,Star,73.0,0.0,0.0,NE,tier_5,31.879194630872487,36.91275167785235,5.033557046979865,21.812080536912752,70.46979865771812,0.0,0.0,0.0,NE,4
6,DT,Bryan,Harrington,Bryan Harrington,NE,True,0,0,393,0,12,15,19,1,7,0,0,0,0,0,0,1,0,21,6,0,8,0,13,1,Bryan,Harrington,BryanHarrington_30123,924.0,922.0,1.0,23.0,21.0,Signed,Normal,72.0,0.0,0.0,NE,tier_5,55.97964376590331,66.15776081424936,0.0,38.16793893129771,78.88040712468194,2.544529262086514,0.0,-0.07692307692307693,NE,5
7,SS,Zelus,Hicks,Zelus Hicks,NE,True,18,8,1227,1,54,45,66,1,7,42,8,0,1,0,0,1,0,21,0,3,0,0,16,16,Zelus,Hicks,ZelusHicks_2921,3436.0,3434.0,2.0,23.0,21.0,Signed,Normal,75.0,0.0,0.0,NE,tier_4,0.0,0.0,4.074979625101874,0.8149959250203749,97.799511002445,0.8149959250203749,3.4229828850855744,2.5625,NE,1
9,LE,Anthony,Jones,Anthony Jones,NE,True,0,0,701,0,19,33,38,0,7,0,0,0,0,0,0,0,0,21,13,0,5,0,16,16,Anthony,Jones,AnthonyJones_2913,3643.0,3641.0,2.0,23.0,21.0,Signed,Superstar,80.0,0.0,0.0,NE,tier_3,32.810271041369475,36.37660485021398,0.0,25.677603423680456,81.31241084165478,0.0,0.0,0.0,NE,-4
10,ROLB,Dasan,McCullough,Dasan McCullough,NE,True,9,0,1163,1,36,67,96,1,7,49,0,0,0,0,0,1,0,21,2,1,1,0,15,15,Dasan,McCullough,,1960.0,1958.0,6.0,28.0,21.0,Signed,Normal,79.0,0.0,0.0,NE,tier_4,3.4393809114359417,3.869303525365434,1.7196904557179709,3.4393809114359417,113.49957007738607,0.8598452278589854,4.213241616509028,3.2,NE,-1
12,CB,Jaylen,Mbakwe,Jaylen Mbakwe,NE,True,0,2,1146,0,12,26,38,0,7,22,2,0,1,0,0,9,0,21,1,0,0,0,16,16,Jaylen,Mbakwe,,861.0,859.0,3.0,26.0,21.0,Signed,Normal,80.0,0.0,0.0,NE,tier_3,0.8726003490401396,0.8726003490401396,0.8726003490401396,8.726003490401396,43.63001745200698,7.853403141361256,1.9197207678883073,0.8125,NE,-2
