FullName,Position,TeamName,SkillPointOL
Ajani Cornelius,RG,DET,-3
Al Russell,C,ATL,4
Alai Kalaniuvalu,C,SF,-3
Alex Birchmeier,LG,NO,3
Aliou Bah,RG,ARI,-5
Anderson Kopp,LG,NE,4
Andre Westbrook,RG,KC,0
Andrew Babalola,RT,MIA,0
Andrew Chamblee,LT,DAL,6
Andrew Page,C,CLE,-7
Andrew Sprague,RT,CLE,2
Andrew Thomas,LT,PHI,5
Anton Harrison,LT,TEN,10
Ashton Beers,LT,HOU,6
Austin Gilmore,LG,WAS,-3
Avery Gach,LG,JAX,2
Ben Christman,LG,ARI,4
Ben Ross,LT,LAR,-5
Billy Schrauth,LG,PHI,4
Bo McGhee,LG,TB,-1
Brandon Baker,LT,TB,0
Broderick Jones,LT,PIT,4
Bryan McDaniel,LT,GB,3
Bryce Foster,C,CAR,-2
Caleb Siech,RT,LV,4
Calvin Clements,LT,CHI,-10
Cam'Ron Johnson,LG,LV,2
Cameron Herron,C,TEN,1
Carson Hinzman,C,LV,-4
Channing Day,RG,DAL,1
Charles Cross,LT,LAC,-5
Chase Bisontis,RG,LAR,6
Chauncey Gooden,C,TB,-2
Chauncey Posey,LT,SEA,1
Chris Lindstrom,RG,ATL,-5
Christian Darrisaw,LT,MIN,-7
Cole Hutson,LG,BAL,2
Connor Williams,C,NYG,8
Cooper Beebee,LG,JAX,-2
Creed Humphrey,C,KC,-4
Curt Peralta,LG,CHI,-5
DJ Campbell,RG,CLE,-4
Darius Woodbury,RG,LV,6
Darnell Wright,RT,CHI,8
David Porter,C,PHI,6
Delmar Glaze,RT,LAC,6
Dennis Rhett,LG,DEN,1
Donte Harris,C,SEA,3
Douglas Utu,C,PIT,2
Drew Dalman,C,NYG,1
Duane Fenderson,RT,BAL,1
E.J. Harris,RG,SEA,-3
Ekene Ogboko,RT,DAL,-7
Elgton Jenkins,LG,SF,-4
Elijah Paige,LT,HOU,-6
Elijah Pritchett,LT,NYG,1
Elishah Jackett,LT,NYG,10
Emmett Charles,C,IND,-4
Erik Hartwig,RG,MIA,5
Eugene Brooks,RG,NYG,-5
Ezra Cleveland,RG,SF,-4
Ezra Dotson-Oyetade,C,CHI,-3
Francis Mauigoa,RT,JAX,-6
Frank Ragnow,C,DET,-5
Garrett Dellinger,RG,CAR,-10
Garrett Schwiebert,LG,DEN,1
Graham Barton,RG,WAS,2
Grant Brix,RT,WAS,-4
Greg Murray,LT,DEN,1
Guerby Lambert,RT,PIT,2
Hardy Watts,C,ARI,1
Harris Sewell,LG,LAC,1
Ifeatu Obogbule,RG,IND,-4
Immanuel Iheanacho,RT,LAR,-1
Isendre Ahfua,RG,MIN,-1
J'ven Williams,LT,LV,-2
JC Latham,RT,NYJ,-4
JP Benzschawel,RT,GB,5
JacQawn McRoy,RT,ARI,-1
Jack Lange,RT,BUF,2
