FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,HOU,-5
Aaron Brackins,K,NYG,0
Alan Brackett,P,MIN,1
Alec McPherson,K,NO,-7
Alex McPherson,K,GB,2
Alex Saunders,K,IND,1
Andrew Richardson,P,LAC,1
Bernard Donaldson,K,MIN,4
Braden Mann,P,NO,0
Braxton King,P,CLE,1
Brett Wittman,P,WAS,-6
Bryan Talley,K,TEN,-2
Bryce McFerson,P,LV,1
Cade York,K,HOU,3
Caleb Zeigler,P,DAL,-1
Carter Abraham,P,CIN,0
Chase Cook,K,NE,2
Chris Edwards,P,BUF,0
Chris Ross,K,TB,3
Clyde Darby,P,DET,-1
Clyde Weatherspoon,K,PIT,-5
Colin Hartman,K,CLE,-8
Connor Smith,P,CAR,4
Curtis Monroe,P,LAR,0
Damon Wilcox,P,SEA,1
Daniel Lee,P,PIT,-2
Darren McLane,K,PHI,-5
David Foster,P,IND,-3
Dennis Abraham,K,JAX,2
Devin Tanley,K,BAL,-1
Ethan Moczulski,K,LAR,-5
Evan McPherson,K,CIN,-7
Gabe Brkic,K,DEN,-2
Gary Paulson,P,NYJ,-2
Grant Wade,K,CAR,-5
Isaiah Hamilton,K,CHI,1
James Williams,K,ATL,2
Joe Curtis,K,LV,1
Johnny Webster,K,LAC,4
Joshua Conwell,P,PHI,3
Kai Kroeger,P,TB,0
Kirk Moreland,K,DAL,1
Kolton Hall,P,MIA,1
Luke Reisner,P,BAL,0
Matt Walker,K,WAS,-7
Michael Perez,K,SEA,-2
Michael Smith,K,ARI,-6
Michael Turk,P,TEN,3
Mikal Childress,P,JAX,0
Nathan Dibert,K,MIA,-2
Nick Weber,P,ARI,1
Owen Roth,P,NYG,0
Paul Robbins,P,ATL,1
Peter Williams,P,CHI,3
Rhett Bush,P,SF,-4
Scott Groves,K,KC,-5
Shane Barker,K,SF,-4
TJ Clifford,K,BUF,-6
Toby Mahone,P,DEN,-2
Tommy Rich,K,NYJ,4
Tommy Townsend,P,GB,0
Trevor Hardy,P,NE,-5
Ty Dillon,K,DET,-4
Tyler Perkins,P,KC,-2
