FullName,Position,TeamName,SkillPointKick
Aaron Brackins,K,JAX,-6
Adam Andrews,P,KC,-2
Alan Brackett,P,ATL,1
Alex Saunders,K,SEA,-1
Andrew Jones,P,CIN,-1
Andrew Richardson,P,CLE,1
B.J. Polk,P,NO,1
Bernard Donaldson,K,DET,0
Brandon Collins,P,MIA,-1
Brandon Watson,K,IND,-1
Brian Davis,P,NE,5
Brian Harris,P,LV,0
Brian Jackson,K,ATL,-8
Bryan Talley,K,NE,1
Bryce McFerson,P,TEN,2
Caleb Zeigler,P,ARI,2
Carter Abraham,P,TB,1
Charlie Copeland,K,LV,-2
Chris Edwards,P,HOU,4
Chris Ross,K,CIN,0
Connor Smith,P,WAS,-1
Damon Wilcox,P,CHI,0
Daniel Lee,P,LAC,1
David Brown,K,CHI,-8
David Sutherland,K,DAL,0
Devin Tanley,K,BAL,0
Dorian Reece,P,PHI,1
Elijah Barton,K,MIA,2
Grant Wade,K,PIT,-5
Joe Caplan,P,JAX,1
Joe Curtis,K,BUF,1
Joey Hoke,K,WAS,1
Johnny Webster,K,LAR,0
Kirk Moreland,K,MIN,0
Kolton Hall,P,BAL,-4
Kyle Bauman,K,NYJ,1
Logan Lynch,P,LAR,0
Luke Reisner,P,NYG,-1
Martin Woodard,P,DAL,-5
Mason Boston,K,SF,0
Matt Walker,K,CAR,-4
Matthew Fletcher,P,DEN,-2
Michael Hartman,K,NO,3
Michael Perez,K,HOU,1
Mikal Childress,P,BUF,0
Nate Foster,K,KC,-3
Nick Weber,P,SEA,-1
Owen Roth,P,DET,-1
Paul Robbins,P,SF,-2
Peter Lockbaum,P,GB,1
Peter Masters,P,IND,2
Preston Gervasi,P,MIN,2
Rhett Bush,P,CAR,-7
Russell Miller,K,PHI,4
Ryan Blanchard,K,ARI,1
Scott Groves,K,LAC,-8
TJ Clifford,K,CLE,-1
Tanner Sitton,K,TB,-1
Toby Mahone,P,PIT,-3
Tommy Rich,K,DEN,-2
Trey Ortiz,K,GB,1
Ty Dillon,K,TEN,3
Tyler Perkins,P,NYJ,-1
Will Dillard,K,NYG,2
