FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LAC,1
Adam Williams,P,NE,3
Alan Brackett,P,CIN,2
Aldrick Rosas,K,NO,-4
Alec McPherson,K,JAX,9
Alex McPherson,K,CIN,2
Austin Seibert,K,MIA,-3
Blake Gillikin,P,DET,3
Braden Mann,P,PIT,-3
Brandon Wright,P,MIA,1
Bryce McFerson,P,CAR,0
Cade York,K,CAR,-1
Chase Cook,K,CLE,7
Colin Hartman,K,IND,1
Corey Bojorquez,P,CHI,-2
Craig Jacobs,K,NYG,-6
Daniel Lee,P,TB,2
Ethan Moczulski,K,HOU,-4
Evan McPherson,K,ARI,-2
Gabe Brkic,K,NYJ,0
Gary Paulson,P,BAL,4
Harrison Butker,K,LAC,2
Hunter Niswander,P,KC,0
Isaiah Hamilton,K,MIN,0
Jack Fox,P,ARI,-1
Jack Podlesny,K,DAL,-5
Jack Stone,K,GB,-1
Jake Bailey,P,DEN,-1
Jake Camarda,P,NYJ,4
James Williams,K,TEN,-4
Jamie Gillan,P,TEN,3
Joey Slye,K,KC,0
Johnny Hekker,P,CLE,1
Johnny Webster,K,BAL,-4
Jordy Sandy,P,LV,2
Joshua Conwell,P,PHI,1
Justin Rohrwasser,K,PIT,2
Justin Tucker,K,ATL,0
Ka'imi Fairbairn,K,BUF,-4
Kai Keawe,P,WAS,-4
Kai Kroeger,P,SEA,1
Matt Stern,P,ATL,-2
Matt Walker,K,SEA,-3
Matthew Wright,K,TB,-4
Michael Dickson,P,IND,-1
Michael Turk,P,HOU,3
Nathan Dibert,K,LAR,-4
Nathan Porter,K,SF,7
Nick Sciba,K,WAS,-6
Parker Lewis,K,DEN,-4
Pressley Harvin III,P,BUF,1
Rigoberto Sanchez,P,JAX,-3
Riley Rogers,K,PHI,2
Ryan Bujcevski,P,SF,-1
Shane Barker,K,NE,9
Ted McCoy,K,LV,7
Tom Hutton,P,NYG,-2
Tommy Townsend,P,LAR,2
Tory Taylor,P,NO,1
Trevor Hardy,P,MIN,1
Tucker Day,P,GB,-3
Tyler Bass,K,CHI,5
Tyler Perkins,P,DAL,-2
Younghoe Koo,K,DET,-4
