Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
10,P,Rigoberto,Sanchez,Rigoberto Sanchez,TEN,0,2864,3031,0,67,26,149,0,46,6,79,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,29,56,0,0,0,15,Rigoberto,Sanchez,2306.0,2304.0,29.0,Signed,78.0,3.0,0.0,TEN,tier_4,,,,0.07692307692307693,45.23880597014925,0.9449026723853514,TEN,3
13,K,Ethan,Moczulski,Ethan Moczulski,TEN,0,0,0,0,0,0,67,32,0,6,0,False,0,0,35,29,0,8,12,6,9,0,6,9,31,56,15,29,0,4,12,0,15,Ethan,Moczulski,795.0,793.0,29.0,Signed,77.0,0.0,0.0,TEN,tier_4,0.8857142857142857,0.90625,0.8,,,,TEN,0
14,K,Wil,Lutz,Wil Lutz,PHI,0,0,0,0,0,0,80,50,0,6,78,False,0,0,21,46,0,7,8,6,0,0,6,0,12,52,15,12,52,1,5,0,15,Wil,Lutz,1654.0,1652.0,12.0,Signed,78.0,0.0,9.0,PHI,tier_4,0.5714285714285714,0.92,0.4,,,,PHI,-9
27,K,Jack,Podlesny,Jack Podlesny,WAS,0,0,0,0,0,0,53,33,0,6,0,False,0,0,24,29,0,4,8,10,2,0,10,2,23,52,13,25,0,3,8,0,14,Jack,Podlesny,1128.0,1126.0,25.0,Signed,73.0,3.0,0.0,WAS,tier_5,0.9583333333333334,0.8787878787878788,0.9166666666666666,,,,WAS,3
31,P,Mitch,Wishnowsky,Mitch Wishnowsky,IND,0,2342,2598,0,59,21,131,0,45,6,69,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,9,43,0,0,1,15,Mitch,Wishnowsky,2914.0,2912.0,9.0,Signed,74.0,2.0,0.0,IND,tier_5,,,,0.09523809523809523,44.03389830508475,0.9014626635873749,IND,2
40,K,Zane,Gonzalez,Zane Gonzalez,MIN,0,0,0,0,0,0,116,27,0,6,64,False,0,0,28,26,0,9,9,10,0,0,10,0,23,57,15,30,33,5,8,0,15,Zane,Gonzalez,968.0,966.0,30.0,Signed,77.0,0.0,0.0,MIN,tier_4,0.8214285714285714,0.9629629629629629,0.7222222222222222,,,,MIN,0
43,K,Trey,Wolff,Trey Wolff,IND,0,160,173,1,4,0,70,30,44,6,5,False,0,0,31,26,0,10,9,6,6,0,6,6,26,54,15,9,5,5,9,0,15,Trey,Wolff,1499.0,1497.0,9.0,Signed,72.0,0.0,0.0,IND,tier_5,0.8387096774193549,0.8666666666666667,0.7368421052631579,,43.25,0.9248554913294798,IND,0
47,P,Ryan,Bujcevski,Ryan Bujcevski,DET,0,3316,3505,0,82,29,82,0,44,6,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,15,Ryan,Bujcevski,3743.0,3741.0,18.0,Signed,70.0,2.0,0.0,DET,tier_5,,,,0.10344827586206896,42.74390243902439,0.946077032810271,DET,2
48,K,Parker,Lewis,Parker Lewis,ARI,0,0,0,1,0,0,46,30,0,6,0,False,0,0,16,27,0,5,7,3,1,0,3,1,12,53,15,6,0,1,7,0,15,Parker,Lewis,2149.0,2147.0,6.0,Signed,70.0,0.0,2.0,ARI,tier_5,0.75,0.9,0.6666666666666666,,,,ARI,-2
50,P,Pressley,Harvin III,Pressley Harvin III,SF,0,2689,2947,0,66,20,150,0,51,6,87,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,14,57,0,0,0,15,Pressley,Harvin III,1108.0,1106.0,14.0,Signed,76.0,0.0,1.0,SF,tier_4,,,,0.15,44.65151515151515,0.9124533423820834,SF,-1
53,P,Jack,Fox,Jack Fox,BAL,0,2842,3086,0,68,26,147,0,46,6,78,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,24,62,0,0,1,15,Jack,Fox,858.0,856.0,24.0,Signed,78.0,2.0,0.0,BAL,tier_4,,,,0.038461538461538464,45.38235294117647,0.9209332469215813,BAL,2
