Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
18,LG,Harry,Miller,Harry Miller,NO,15,0,8,998,False,15,26,0,6,Harry,Miller,3394.0,3392.0,26.0,Signed,69.0,0.0,2.0,NO,tier_6,8.016032064128256,NO,-2
154,LT,Ronnie,Stanley,Ronnie Stanley,NO,15,0,7,1009,False,15,26,0,6,Ronnie,Stanley,2492.0,2490.0,26.0,Signed,84.0,4.0,0.0,NO,tier_3,6.937561942517344,NO,4
156,RG,Cesar,Ruiz,Cesar Ruiz,NO,15,0,1,1030,False,15,26,0,6,Cesar,Ruiz,2284.0,2282.0,26.0,Signed,88.0,3.0,0.0,NO,tier_2,0.970873786407767,NO,3
194,C,Erik,McCoy,Erik McCoy,NO,10,0,0,680,False,10,26,0,6,Erik,McCoy,1729.0,1727.0,26.0,Signed,82.0,8.0,0.0,NO,tier_3,0.0,NO,8
204,C,Luke,Wattenberg,Luke Wattenberg,DEN,15,0,6,973,False,15,3,0,6,Luke,Wattenberg,3489.0,3487.0,3.0,Signed,66.0,0.0,5.0,DEN,tier_6,6.166495375128468,DEN,-5
213,RG,Cade,Mays,Cade Mays,NYJ,15,0,4,1084,False,15,17,0,6,Cade,Mays,3367.0,3365.0,17.0,Signed,79.0,0.0,2.0,NYJ,tier_4,3.6900369003690034,NYJ,-2
219,LG,Cole,Schneider,Cole Schneider,DEN,15,0,5,998,False,15,3,0,6,Cole,Schneider,3496.0,3494.0,3.0,Signed,72.0,0.0,1.0,DEN,tier_5,5.01002004008016,DEN,-1
222,LT,Jordan,Mailata,Jordan Mailata,DEN,15,0,11,1034,False,15,3,0,6,Jordan,Mailata,1677.0,1675.0,3.0,Signed,74.0,0.0,0.0,DEN,tier_5,10.638297872340425,DEN,0
247,RG,Trai,Turner,Trai Turner,LAC,15,0,1,782,False,15,7,0,6,Trai,Turner,2681.0,2679.0,7.0,Signed,73.0,1.0,0.0,LAC,tier_5,1.278772378516624,LAC,1
254,LG,Ezra,Cleveland,Ezra Cleveland,DEN,15,0,4,1045,False,15,3,0,6,Ezra,Cleveland,472.0,470.0,3.0,Signed,68.0,1.0,0.0,DEN,tier_6,3.827751196172249,DEN,1
265,C,Josh,Myers,Josh Myers,LAC,15,0,7,1034,False,15,7,0,6,Josh,Myers,1909.0,1907.0,7.0,Signed,65.0,0.0,5.0,LAC,tier_6,6.7698259187620895,LAC,-5
298,LT,Rashawn,Slater,Rashawn Slater,LAC,15,0,15,1086,False,15,7,0,6,Rashawn,Slater,2402.0,2400.0,7.0,Signed,89.0,0.0,0.0,LAC,tier_2,13.812154696132596,LAC,0
308,C,Drake,Metcalf,Drake Metcalf,NYJ,15,0,0,1001,False,15,17,0,6,Drake,Metcalf,2817.0,2815.0,17.0,Signed,74.0,10.0,0.0,NYJ,tier_5,0.0,NYJ,10
354,RG,James,Daniels,James Daniels,BUF,15,0,2,952,False,15,2,0,6,James,Daniels,578.0,576.0,2.0,Signed,78.0,0.0,0.0,BUF,tier_4,2.100840336134454,BUF,0
357,LG,Yousef,Mugharbil,Yousef Mugharbil,BUF,15,0,4,932,False,15,2,0,6,Yousef,Mugharbil,554.0,552.0,2.0,Signed,75.0,0.0,0.0,BUF,tier_4,4.291845493562231,BUF,0
385,RT,Will,Campbell,Will Campbell,BUF,15,0,6,937,False,15,2,0,6,Will,Campbell,709.0,707.0,2.0,Signed,79.0,4.0,0.0,BUF,tier_4,6.4034151547492,BUF,4
412,LT,Spencer,Brown,Spencer Brown,BUF,15,0,17,890,False,15,2,0,6,Spencer,Brown,327.0,325.0,2.0,Signed,81.0,0.0,3.0,BUF,tier_3,19.10112359550562,BUF,-3
431,RT,Dare,Rosenthal,Dare Rosenthal,DEN,12,0,6,759,False,12,3,0,6,Dare,Rosenthal,3197.0,3195.0,3.0,Signed,68.0,0.0,0.0,DEN,tier_6,7.905138339920948,DEN,0
432,LT,Jacob,Hood,Jacob Hood,SEA,13,0,18,1054,False,15,27,0,6,Jacob,Hood,595.0,593.0,27.0,Signed,67.0,0.0,3.0,SEA,tier_6,17.077798861480076,SEA,-3
439,RG,Quinn,Meinerz,Quinn Meinerz,SEA,15,0,5,946,False,15,27,0,6,Quinn,Meinerz,1788.0,1786.0,27.0,Signed,83.0,0.0,4.0,SEA,tier_3,5.2854122621564485,SEA,-4
460,RT,Kelvin,Banks,Kelvin Banks,SEA,15,0,8,1021,False,15,27,0,6,Kelvin,Banks,376.0,374.0,27.0,Signed,78.0,1.0,0.0,SEA,tier_4,7.835455435847209,SEA,1
464,RG,Shaq,Mason,Shaq Mason,SEA,15,0,3,1021,False,15,27,0,6,Shaq,Mason,1704.0,1702.0,27.0,Signed,77.0,0.0,2.0,SEA,tier_4,2.9382957884427032,SEA,-2
