FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,3
Adam Williams,P,CIN,2
Aldrick Rosas,K,DEN,-7
Alec McPherson,K,CHI,1
Alex McPherson,K,LAR,9
Andre Szmyt,K,NE,0
Austin McNamara,P,CHI,-5
Austin Seibert,K,BAL,6
Blake Gillikin,P,ARI,2
Blake Mazza,K,SEA,-6
Braden Mann,P,DEN,3
Brandon Wright,P,MIA,2
Bryce McFerson,P,BUF,-2
Cade York,K,DAL,-6
Camden Lewis,K,JAX,-12
Chris Boswell,K,ATL,1
Corey Bojorquez,P,NYG,2
Craig Jacobs,K,NO,7
Dom Maggio,P,PIT,-5
Ethan Moczulski,K,TEN,0
Evan McPherson,K,LV,4
Gabe Brkic,K,SF,3
Harrison Butker,K,GB,1
Hunter Niswander,P,GB,3
Isaiah Hamilton,K,SEA,5
Issac Power,P,MIN,1
Jack Fox,P,BAL,2
Jack Podlesny,K,WAS,3
Jake Bailey,P,ATL,-3
Jake Camarda,P,CAR,0
James Williams,K,CIN,-1
Jamie Gillan,P,LAC,-1
Jason Sanders,K,BUF,2
Joey Slye,K,LAC,3
Johnny Hekker,P,CLE,2
Jordy Sandy,P,DAL,3
Josh Lambo,K,PIT,4
Justin Rohrwasser,K,CLE,2
Justin Tucker,K,KC,4
Ka'imi Fairbairn,K,TB,6
Kai Kroeger,P,NO,3
Matthew Wright,K,HOU,3
Michael Dickson,P,NE,-4
Michael Turk,P,HOU,2
Mitch Wishnowsky,P,IND,2
Nathan Dibert,K,NYG,4
Nathan Porter,K,MIA,-3
Nick Sciba,K,GB,2
Parker Lewis,K,ARI,-2
Peter Williams,P,JAX,-3
Pressley Harvin III,P,SF,-1
Rigoberto Sanchez,P,TEN,3
Ryan Bujcevski,P,DET,2
Sterling Hofrichter,P,PHI,2
Tom Hutton,P,WAS,1
Tommy Townsend,P,LAR,2
Tory Taylor,P,SEA,3
Trevor Hardy,P,KC,-3
Trey Wolff,K,IND,0
Tucker Day,P,NYJ,0
Tyler Bass,K,CAR,-3
Tyler Perkins,P,TB,-5
Wil Lutz,K,PHI,-9
Will Bettridge,K,DET,-10
Younghoe Koo,K,NYJ,-1
Zane Gonzalez,K,MIN,0
