FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LAC,0
Adam Williams,P,NYJ,2
Alan Brackett,P,CIN,1
Aldrick Rosas,K,MIN,-5
Alec McPherson,K,DEN,-2
Alex McPherson,K,CIN,0
Austin Seibert,K,MIA,0
Blake Gillikin,P,TB,-1
Braden Mann,P,IND,1
Brandon Wright,P,KC,4
Cade York,K,WAS,-5
Chase Cook,K,CLE,-6
Chris Ross,K,ARI,-2
Clyde Darby,P,ATL,-5
Colin Hartman,K,LAR,4
Corey Bojorquez,P,NE,-1
Damon Wilcox,P,DET,-4
Daniel Lee,P,NO,3
David Foster,P,HOU,-1
Dennis Abraham,K,BUF,-3
Devin Tanley,K,GB,6
Ethan Moczulski,K,HOU,-2
Evan McPherson,K,NO,-6
Gabe Brkic,K,NYJ,2
Gary Paulson,P,ARI,0
Harrison Butker,K,KC,4
Isaiah Hamilton,K,CAR,3
Jack Fox,P,SEA,1
Jack Podlesny,K,DAL,5
Jack Stone,K,DET,-1
Jake Bailey,P,BUF,3
Jake Camarda,P,CAR,1
James Williams,K,TEN,-1
Jamie Gillan,P,TEN,-1
Joe Fraser,K,JAX,7
Joey Slye,K,IND,-3
Johnny Webster,K,BAL,0
Jordy Sandy,P,DEN,-2
Joshua Conwell,P,PHI,5
Justin Rohrwasser,K,PIT,-4
Ka'imi Fairbairn,K,NE,-6
Kai Keawe,P,NYG,-2
Kai Kroeger,P,MIN,1
Matt Stern,P,LV,-2
Matt Walker,K,SEA,3
Matthew Wright,K,ATL,2
Michael Dickson,P,CLE,-1
Michael Turk,P,CHI,-4
Nathan Dibert,K,TB,-2
Nathan Porter,K,NYG,2
Parker Lewis,K,LV,-7
Paul Robbins,P,PIT,3
Rigoberto Sanchez,P,JAX,2
Riley Rogers,K,PHI,4
Ryan Bujcevski,P,MIA,3
Shane Barker,K,LAC,2
Ted McCoy,K,SF,-4
Tom Hutton,P,WAS,0
Tommy Townsend,P,SF,4
Tory Taylor,P,LAR,-3
Trevor Hardy,P,BAL,2
Tucker Day,P,GB,4
Tyler Bass,K,CHI,-6
Tyler Perkins,P,DAL,0
