FullName,Position,TeamName,SkillPointDef
A.J. Epenesa,RE,BUF,0
A.J. Terrell Jr,CB,NYG,-4
AJ Finley,FS,JAX,-1
AJ Harris,CB,SF,2
Adetokunbo Ogundeji,LOLB,ATL,0
Adisa Isaac,ROLB,NE,-3
Adrian Jackson,ROLB,MIN,-1
Ahmad Gardner,CB,BAL,0
Aiden Hutchinson,LE,CLE,-6
Akeem Davis-Gaither,ROLB,NO,0
Alex Highsmith,ROLB,CAR,0
Alfred Collins,DT,MIN,-2
Alim McNeill,DT,CHI,-7
Alohi Gilman,SS,DEN,3
Amani Hooker,SS,CAR,-1
Amani Oruwariye,CB,CIN,4
Amari Burney,LOLB,KC,-5
Andre Cisco,SS,JAX,-2
Andre Stewart,CB,NE,3
Andrew Booth Jr,CB,SEA,2
Andrew Mukuba,SS,SEA,2
Anotinio Johnson,FS,NE,0
Anthony Adams,FS,KC,-3
Anthony Beavers Jr.,SS,LV,-1
Anthony Hill,MLB,WAS,6
Anthony Lucas,DT,DAL,8
Anthony Nelson,LOLB,ATL,6
Antoine Brooks Jr,SS,ATL,-1
Antoine Sampah,MLB,PIT,-3
Antoine Winfield Jr,FS,TB,0
Antonio Stevens,FS,CAR,-1
Antwaun Powell,LOLB,DAL,-3
Asa Turner,SS,NE,5
Asante Samuel Jr,CB,LAC,2
Ashtyn Davis,FS,HOU,1
Avonte Maddox,CB,TB,-1
Azareyeh Thomas,CB,LV,0
Azeez Ojulari,ROLB,IND,3
B.J. Ojulari,LOLB,NYJ,1
Barrett Carter,LOLB,MIN,1
Bax Anaele,LE,CHI,0
Bilal Nichols,RE,CAR,-1
Billy Bowman,CB,PIT,4
Bobby Brown III,DT,HOU,-4
Bobby Okereke,MLB,LV,4
Bradley Chubb,ROLB,DEN,2
Brady Breeze,FS,TEN,-1
Braiden McGregor,LE,BAL,7
Branden Jennings,LOLB,BUF,1
Brandon Hill,SS,IND,1
Brandon Jennings,LOLB,WAS,-2
Brandon Jones,SS,BAL,1
Brandon Joseph,FS,NYJ,4
Brandon Smith,LOLB,IND,2
Brenan Vernon,LE,KC,13
Brenton Cox,ROLB,HOU,-3
Brian Asamoah,MLB,HOU,0
Briceon Hayes,RE,KC,6
Bryan Bresee,DT,PHI,-2
Bryce Hall,CB,NYJ,-5
Bryce Steele,MLB,DET,-1
Bubba Bolden,SS,SF,0
Budda Baker,SS,ARI,0
Byron Jones,CB,NO,-1
Byron Murphy Jr,CB,ARI,5
C.J. Gardner-Johnson,SS,NO,1
C.J. Henderson,CB,TEN,3
C.J. Hicks,LOLB,DET,11
Cade Denhoff,LE,JAX,9
Cade Hall,LE,DAL,-1
Caden Curry,LE,WAS,-2
Cadron Charles,CB,MIA,2
Caleb Farley,CB,NO,0
Calen Bullcok,FS,DET,0
Cam Gill,LOLB,LAR,-2
Cam'Ron Kelly,FS,NO,2
Cameron Dantzler,CB,GB,4
Cameron McCuthcehon,CB,WAS,0
Cameron McGrone,MLB,NE,-3
Cameron Thomas,RE,CAR,1
Cameron Williams,RE,ARI,0
Carl Lawson,RE,GB,-1
Carlos Basham Jr,LE,BUF,2
Carlton Davis III,CB,IND,-3
Ceyair Wright,CB,CHI,2
Chance Biddle,SS,JAX,-1
Chase Winovich,RE,NE,2
Chase Young,RE,WAS,-1
Chris Braswell,ROLB,PHI,3
Chris Rumph II,ROLB,CHI,0
Christian Barmore,DT,NE,-1
Christian Gonzalez,CB,BAL,2
Christian Harris,MLB,TEN,5
Christian Wilkins,RE,MIA,-1
Christopher Allen,ROLB,NYJ,-1
Clark Phillips III,CB,PIT,-1
Clayton Smith,LE,PHI,0
Clelin Ferrell,RE,ATL,-3
Clinton Burton Jr,CB,ARI,3
Cody Barton,ROLB,ATL,2
Cody Simon,MLB,CAR,0
Cole Holcomb,LOLB,PIT,1
Colin Oliver,ROLB,MIA,-2
Cormani McClain,CB,NYG,0
Courtline Flowers,CB,MIA,0
Curtis Jacobs,ROLB,BAL,0
D.J. Reed Jr,CB,SEA,-2
D.J. Wonnum,RE,NYJ,4
DJ Dale,DT,WAS,-1
Da'Ron Payne,DT,WAS,4
DaRon Bland,CB,LAR,2
Dallas Turner,ROLB,TEN,0
Dalton Brooks,FS,HOU,2
Damarius McGhee,CB,CIN,0
Dameon Williams,CB,MIA,4
Damon Arnette Jr,CB,DAL,2
Damon Clark,MLB,PHI,3
Damon Payne,DT,BAL,1
Dane Jackson,CB,BUF,-2
Danielle Hunter,LE,MIN,-5
Darius Leonard,LOLB,LAR,5
Darnell Savage,FS,GB,-4
Darrell Taylor,LOLB,MIA,1
David Bailey,ROLB,DAL,1
David Long Jr,MLB,GB,1
David Ojabo,RE,PHI,-3
David Vincent-Okoli,CB,IND,1
Davion Taylor,ROLB,PHI,0
Davison Igbinosun,CB,TEN,0
Daylen Everette,CB,MIN,4
Dayo Odeyingbo,RE,IND,2
DeCalon Brooks,LOLB,JAX,-2
DeForest Buckner,DT,IND,-2
DeMarcco Hellams,SS,IND,-1
DeMarvin Leal,DT,SF,-2
DeShon Elliott,FS,BAL,-2
Delarrin Turner-Yell,SS,CLE,-1
Demani Richardson,SS,NYG,0
Demon Clowney,LOLB,NYG,0
Demorie Tate,CB,TB,-1
Denver Harris,CB,CLE,4
Denzel Burke,CB,HOU,0
Denzel Ward,CB,CLE,0
Deon Jones,FS,NYG,-1
Deontae Lawson,MLB,NO,-7
Derek Stingley Jr.,CB,NE,-3
Derek Wingo,ROLB,CAR,0
Derion Kendrick,CB,LAR,3
Derrick Brown,DT,MIA,-4
Derrick Davis Jr,FS,NO,1
Derrick Nnadi,DT,KC,4
Derwin James Jr,SS,LAC,-3
Deshawn Jones,CB,KC,1
Desmond Evans,LOLB,HOU,-1
Devin Bush,MLB,PIT,1
Devin White,MLB,TB,4
Devon Jackson,MLB,CHI,-3
Dexter Lawrence II,LE,NYG,2
Dishon McNary,CB,BUF,3
Domani Jackson,CB,NO,-1
Donell Harris,ROLB,SF,-2
Donovan McMillon,SS,TEN,-2
Dontae Manning,CB,BUF,1
Donte Jackson,CB,PIT,-2
Dre Greenlaw,ROLB,SF,-4
Dre'Mont Jones,LE,TEN,3
Drew Sanders,ROLB,ARI,-1
Duce Chestnut,CB,NYG,0
Dylan Brooks,LE,SF,-4
Earl Little Jr,CB,DEN,-1
Ed Oliver,DT,ATL,4
Eddie Jackson,FS,PHI,4
Edeufan Ulofoshio,MLB,LV,2
Eli Ricks,CB,CAR,1
Elijah Molden,CB,DEN,-1
Elijah Winston,MLB,ATL,-5
Elisha Guidry,FS,WAS,-3
Emmanuel Ogbah,LE,MIA,9
Enai White,ROLB,IND,1
Enzo Jennings,SS,DAL,-1
Eric Gregory,LE,CLE,8
Eric Stokes,CB,ATL,-4
Ethan Calvert,MLB,CIN,7
Evan Tattersall,MLB,CIN,1
Eyabi Anoma,LOLB,MIN,3
Foyesade Oluokun,MLB,DAL,-3
Fred Davis II,CB,GB,1
Fred Warner,MLB,SF,-2
Ga'Quincy McKinstry,CB,NE,3
Gabe Powers,MLB,ATL,3
Gabriel Brownlow-Dindy,DT,JAX,-2
Garret Wallow,LOLB,BAL,-3
Garrett Williams,CB,KC,1
Geno Stone,SS,PIT,1
George Karlaftis,LE,TB,-4
Gervon Dexter,DT,PIT,-1
Grady Jarrett,RE,PHI,-4
Grant Delpit,SS,CHI,2
Grant Stuard,MLB,TB,-7
Greedy Williams,CB,PHI,4
Greg Brooks Jr.,CB,DAL,-1
Greg Newsome II,CB,LAR,-2
Greg Penn III,MLB,SF,0
Greg Rousseau,LE,PHI,-2
Harold Landry III,ROLB,TEN,3
Harold Perkins,LOLB,TB,-6
Haskell Garrett,DT,ARI,-1
Henry To'o To'o,LOLB,CLE,3
Ijavi Brown,MLB,BAL,1
Isaac Taylor-Stuart,CB,HOU,0
Isaiah Crawford,ROLB,NO,0
Isaiah Dunn,CB,PHI,6
Isaiah Johnson,CB,DET,1
Isaiah Oliver,CB,IND,0
Isaiah Simmons,MLB,NYG,-1
Isheem Young,FS,LV,-2
Israel Mukuamu,SS,DAL,1
J.D. Bertland,MLB,DAL,-1
J.T. Tuimoloau,DT,LAC,1
JC Jackson,CB,KC,1
JaHad Carter,SS,BAL,0
JaQurious Conley,FS,SF,-3
Jabrill Peppers,SS,GB,4
Jack Dingle,ROLB,DEN,0
Jack Howell,SS,NYJ,-1
Jack Sanborn,MLB,TEN,-3
Jackson Sirmon,MLB,NYJ,3
Jacoby Mathews,FS,TB,-1
Jadarius Green-McKnight,SS,PIT,0
Jaden Davis,CB,LAC,-1
Jaden Rayford,FS,CIN,-1
Jaelan Phillips,ROLB,HOU,-3
Jaheim Oatis,DT,GB,1
Jaheim Thomas,LOLB,IND,5
Jahfari Harvey,ROLB,BAL,0
Jaiden Ausberry,MLB,HOU,-1
Jaire Alexander,CB,GB,-3
Jaishawn Barham,MLB,CLE,-10
Jakailin Johnson,CB,TEN,-1
Jalen Carter,DT,DEN,-11
Jalen Green,CB,CHI,4
Jalen Kimber,CB,CHI,2
Jalen Ramsey,CB,SF,-4
Jalen Thompson,FS,ARI,2
Jalon Walker,ROLB,GB,0
Jalyn Armour-Davis,CB,SEA,2
Jamal Adams,SS,MIA,5
Jamel Dean,CB,LV,2
James Lynch,DT,NYJ,3
James Sylvester,RE,HOU,-2
James Williams,SS,HOU,0
Jamien Sherwood,MLB,MIN,0
Jaquan Brisker,SS,CLE,-2
Jason Moore,RE,MIA,-1
Javon Kinlaw,DT,DET,4
Jay Tufele,LE,IND,-1
Jaycee Horn,CB,CAR,-1
Jaydon Hood,MLB,BUF,5
Jaylen Sneed,MLB,MIN,-5
Jaylin Simpson,CB,JAX,0
Jaylon Johnson,CB,NYJ,-3
Jaylon Jones,CB,PHI,3
Jayon Brown,MLB,LAR,1
Jeff Okudah,CB,NYG,0
Jeffery Simmons,RE,TEN,0
Jeffrey M'ba,DT,LAR,6
Jeremiah Alexander,LOLB,NYJ,5
Jeremiah Owusu-Koramoah,ROLB,CLE,-11
Jeremiah Trotter Jr,MLB,ARI,-2
Jeremiah Williams,ROLB,DAL,-2
Jermaine Johnson,RE,PIT,-3
Jermaine Waller,CB,ARI,2
Jerome Baker,MLB,MIA,0
Jerrod Clark,DT,BUF,1
Jerry Tillery,RE,NYG,-1
Jesse Luketa,LOLB,ARI,-2
Jessie Bates III,FS,TEN,1
Jevon Holland,FS,MIA,1
Jihaad Campbell,ROLB,JAX,3
Joe Tryon-Shoyinka,ROLB,LAR,5
Joejuan Williams,CB,DAL,1
John Franklin-Myers,LE,NYJ,4
John Johnson III,FS,JAX,-1
Johnny Dixon,CB,IND,0
Jon Rhattigan,LOLB,CLE,-3
Jonathan Horton,LOLB,CIN,7
Jordan Battle,SS,SF,-1
Jordan Davis,DT,NYJ,-1
Jordan Fuller,SS,LAR,-4
Jordan Hancock,CB,KC,4
Jordan Morant,SS,LAC,-1
Jordan Smith,LOLB,TEN,-3
Jordyn Brooks,ROLB,SEA,0
Joseph Charleston,FS,SEA,2
Joseph Ossai,RE,LAR,-4
Josh Allen,ROLB,JAX,1
Josh Calvert,MLB,GB,-1
Josh Jobe,CB,CLE,1
Josh McCarron,LOLB,LV,0
Josh Metellus,SS,TEN,0
Josh Moore,SS,HOU,0
Josh Sweat,RE,DEN,-5
Josh Uche,ROLB,NE,1
Josh White,ROLB,LAC,0
Joshua Burnham,MLB,CAR,-1
Joshua Eaton,CB,LAC,-1
Joshua White,DT,KC,-7
Josiah Silver,LOLB,PIT,-3
Juan Thornhill,FS,KC,0
Julian Blackmon,FS,IND,-1
Julian Love,SS,DET,1
Julien Simon,ROLB,TB,-1
Junior Colson,LOLB,LAC,2
Justice Sullivan,LOLB,SEA,0
Justin Ebogibe,RE,LAC,-2
Justin Flowe,MLB,JAX,2
Justin Madubuike,RE,BAL,-1
Justin Reid,FS,CLE,-2
Justin Simmons,FS,DEN,1
K'Lavon Chaisson,LOLB,JAX,-3
K'Von Wallace,SS,ATL,1
Kaden Johnson,LOLB,DET,-3
Kadofi Wright,MLB,MIA,-4
Kaiir Elam,CB,WAS,5
Kailep Edwards,LOLB,CHI,10
Kalon Barnes,CB,GB,-2
Kalon Gervin,CB,ARI,-2
Kamari Wilson,SS,PHI,7
Kamren Curl,FS,WAS,2
Kayvon Thibodeaux,LE,DET,-2
Keandre Jones,ROLB,LV,-2
Keeshawn Silver,LE,KC,-3
Keith Taylor Jr,CB,SF,-2
Kelee Ringo,CB,DAL,-1
Kelvin Joseph,CB,MIN,-1
Kendal Daniels,SS,NO,-1
Kenneth Murray Jr,MLB,LAC,-2
Kenny Clark,DT,JAX,-5
Keon Sabb,FS,NYJ,-1
Keondre Coburn,DT,SF,-3
Key Lawrence,FS,MIN,1
Khaleke Hudson,MLB,PHI,3
Khalil Anderson,CB,ATL,0
Khalil Mack,LOLB,CHI,0
Khamauri Rogers,CB,TB,-2
Khari Colemna,ROLB,MIN,1
Khris Jackson,CB,SEA,2
Khyree Jackson,CB,CAR,1
Kingsley Enagbare,RE,NO,2
Kitan Crawford,CB,SF,3
Kolby Harvell-Peel,SS,TEN,1
Korey Foreman,LE,NO,-3
Kristian Fulton,CB,TEN,4
Krys Barnes,MLB,NYJ,-3
Kwity Paye,LE,SEA,-2
Kyle Hamilton,FS,ATL,1
Kyler Gordon,CB,NYJ,0
L'Jarius Sneed,CB,HOU,0
Lannden Zanders,SS,TB,1
Lebbeus Overton,RE,CIN,0
Leighton Vander Esch,LOLB,BUF,-5
Leonard Taylor,DT,MIN,2
Levi Onwuzurike,RE,DET,-1
Makari Paige,FS,DAL,0
Malachi Moore,CB,MIA,0
Malaki Starks,SS,ARI,-1
Malcolm Jones,FS,GB,-1
Malcolm Koonce,LE,CHI,-1
Malik Bryant,ROLB,PIT,-3
Malik Harrison,MLB,BAL,0
Malik McDowell,DT,CAR,6
Marcus Hooker,FS,DEN,0
Marcus Maye,SS,NYJ,1
Marlon Humphrey,CB,BAL,-3
Marquise Blair,FS,NE,0
Martin Emerson,CB,HOU,1
Marvin Jones Jr.,ROLB,BAL,-2
Mase Funa,ROLB,CIN,3
Mason Tufaga,MLB,DEN,1
Max Williams,CB,CIN,2
Maxx Crosby,LE,LV,2
McKinnley Jackson,DT,TEN,-2
Mehki Wingo,DT,HOU,-4
Merlin Robertson,LOLB,CAR,7
Micah Parsons,ROLB,DAL,-1
Michael Barrett,LOLB,WAS,-1
Michael Ojemudia,CB,WAS,2
Mike Hall,DT,JAX,-2
Mike Hughes,CB,JAX,2
Mike Jones Jr,ROLB,DET,-6
Miles Jackson,DT,CIN,-2
Minkah Fitzpatrick,FS,PIT,1
Mohamoud Diabate,LOLB,ARI,0
Montez Sweat,LE,PHI,-3
Monty Rice,MLB,ATL,2
Moses Walker,MLB,SEA,6
Myjai Sanders,RE,SEA,-1
Mykael Wright,CB,DEN,-5
Mykel Williams,RE,PIT,-1
Myles Garrett,RE,CLE,2
Myles Jack,MLB,JAX,2
Myles Murphy,LE,NE,-1
Myron Tagovalia-Amosa,DT,LAR,1
Nakobe Dean,MLB,GB,-2
Naquan Brown,ROLB,CIN,-1
Nasir Adderley,FS,LAC,2
Nate Hobbs,CB,LV,-3
Nate Ritchie,SS,BUF,0
Nate Wiggins,CB,LAR,-3
Neville Gallimore,DT,DAL,2
Nick Bolton,MLB,KC,-4
Nick Bosa,RE,SF,1
