FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,NO,4
Adam Williams,P,JAX,1
Aldrick Rosas,K,DEN,0
Alex Bacchetta,P,LAC,-6
Alex McPherson,K,CHI,-7
Alex McPherson,K,LAC,5
Andre Szmyt,K,BUF,-5
Austin McNamara,P,CHI,0
Austin Seibert,K,NYG,-1
Blake Gillikin,P,TB,-2
Blake Mazza,K,NO,-10
Braden Mann,P,DEN,2
Brandon Wright,P,BAL,1
Brett Thorson,P,KC,-7
Bryce McFerson,P,BUF,4
Cade York,K,DAL,-1
Cairo Santos,K,TB,-9
Camden Lewis,K,JAX,-2
Chris Boswell,K,ATL,9
Corey Bojorquez,P,NYG,1
Daniel Carlson,K,PIT,-3
Dom Maggio,P,HOU,1
Ethan Moczulski,K,TEN,2
Gabe Brkic,K,MIN,-2
Harrison Butker,K,GB,-4
Hunter Niswander,P,CAR,0
Jack Fox,P,NE,-4
Jack Podlesny,K,SF,1
Jake Bailey,P,LV,-4
Jake Camarda,P,SEA,-2
James Williams,K,CIN,3
Jamie Gillan,P,GB,1
Jason Sanders,K,MIA,-3
Joey Slye,K,WAS,10
Johnny Hekker,P,CLE,1
Jonathan Lake,P,DET,-3
Josh Lambo,K,ARI,4
Justin Rohrwasser,K,NYJ,4
Justin Tucker,K,CAR,-2
Ka'imi Fairbairn,K,DET,7
Logan Cooke,P,LAR,0
Matt Haack,P,SF,2
Matthew Wright,K,LV,5
Michael Dickson,P,CIN,2
Michael Turk,P,ATL,1
Mitch Wishnowsky,P,IND,3
Nathan Dibert,K,LAR,5
Nick Sciba,K,LV,8
Parker Lewis,K,HOU,-2
Pressley Harvin III,P,DAL,3
Rigoberto Sanchez,P,MIN,1
Ryan Bujcevski,P,ARI,-3
Sam Sloman,K,NE,-8
Sterling Hofrichter,P,PHI,-1
Tom Hutton,P,TEN,3
Tommy Townsend,P,MIA,-5
Tress Way,P,WAS,-5
Trey Wolff,K,IND,-3
Tucker Day,P,NYJ,1
Tyler Bass,K,CLE,5
Tyler Perkins,P,PIT,2
Wil Lutz,K,PHI,3
Will Bettridge,K,KC,1
Younghoe Koo,K,SEA,0
Zane Gonzalez,K,BAL,0
