Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
5,K,Nick,Sciba,Nick Sciba,LV,0,0,0,0,0,0,9,5,0,5,0,False,0,0,4,5,0,0,0,3,1,0,3,1,4,39,3,22,0,0,0,0,3,Nick,Sciba,3645.0,3643.0,22.0,Signed,63.0,0.0,0.0,LV,tier_6,1.0,1.0,,,,,LV,8
307,P,Michael,Dickson,Michael Dickson,CIN,0,2693,2793,0,61,22,62,0,47,5,0,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,15,Michael,Dickson,655.0,653.0,1.0,Signed,79.0,0.0,0.0,CIN,tier_4,,,,0.13636363636363635,45.78688524590164,0.9641962047977085,CIN,2
308,K,James,Williams,James Williams,CIN,0,0,0,0,0,0,167,49,0,5,90,False,0,0,28,48,0,10,7,7,4,0,7,4,26,55,15,1,63,8,7,0,15,James,Williams,2204.0,2202.0,1.0,Signed,80.0,0.0,0.0,CIN,tier_3,0.9285714285714286,0.9795918367346939,0.8823529411764706,,,,CIN,3
309,K,Austin,Seibert,Austin Seibert,NYG,0,0,0,0,0,0,55,37,0,5,0,False,0,0,25,33,0,5,8,6,6,0,6,6,21,55,13,15,0,1,8,0,15,Austin,Seibert,2342.0,2340.0,15.0,Signed,77.0,0.0,0.0,NYG,tier_4,0.84,0.8918918918918919,0.6923076923076923,,,,NYG,-1
310,P,Adam,Williams,Adam Williams,JAX,0,2460,2636,0,61,20,62,0,44,5,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,15,Adam,Williams,3745.0,3743.0,16.0,Signed,71.0,0.0,0.0,JAX,tier_5,,,,0.05,43.21311475409836,0.9332321699544764,JAX,1
311,K,Daniel,Carlson,Daniel Carlson,PIT,0,0,0,0,0,0,147,40,0,5,79,False,0,0,27,35,0,8,8,4,7,0,4,7,22,53,15,28,41,3,8,0,15,Daniel,Carlson,407.0,405.0,28.0,Signed,76.0,0.0,0.0,PIT,tier_4,0.8148148148148148,0.875,0.6875,,,,PIT,-3
312,P,Tyler,Perkins,Tyler Perkins,PIT,0,2512,2870,0,65,24,66,0,46,5,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,0,0,0,1,15,Tyler,Perkins,541.0,539.0,28.0,Signed,74.0,0.0,0.0,PIT,tier_5,,,,0.0,44.15384615384615,0.8752613240418119,PIT,2
313,K,Wil,Lutz,Wil Lutz,PHI,0,0,0,0,0,0,80,35,0,5,73,False,0,0,25,33,0,6,8,7,4,0,5,5,22,54,15,12,47,4,8,0,15,Wil,Lutz,1654.0,1652.0,12.0,Signed,76.0,0.0,0.0,PHI,tier_4,0.88,0.9428571428571428,0.8571428571428571,,,,PHI,3
314,K,Matthew,Wright,Matthew Wright,LV,0,0,0,1,0,0,52,25,0,5,0,False,0,0,27,23,0,7,6,10,4,0,10,4,24,52,12,22,0,4,6,0,12,Matthew,Wright,2949.0,2947.0,22.0,Signed,74.0,0.0,0.0,LV,tier_5,0.8888888888888888,0.92,0.7692307692307693,,,,LV,5
315,P,Jake,Bailey,Jake Bailey,LV,0,3014,3239,0,70,22,154,2,47,5,76,False,0,6,2,2,0,0,1,1,0,0,1,0,2,48,15,22,44,0,1,1,15,Jake,Bailey,113.0,111.0,22.0,Signed,81.0,0.0,0.0,LV,tier_3,1.0,1.0,1.0,0.2727272727272727,46.27142857142857,0.930534115467737,LV,-4
