Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
1,RG,Lionel,Richards,Lionel Richards,SF,15,0,5,1103,False,15,14,0,15,Lionel,Richards,3229.0,3227.0,6.0,14.0,Signed,69.0,0.0,0.0,SF,tier_6,4.533091568449683,SF,-2
17,LT,Jeremiah,Eisen,Jeremiah Eisen,NO,14,0,5,974,False,14,26,0,15,Jeremiah,Eisen,1843.0,1841.0,4.0,26.0,Signed,99.0,0.0,0.0,NO,tier_0,5.133470225872689,NO,3
27,LT,Brenton,Mayes,Brenton Mayes,BUF,15,0,15,970,False,15,2,0,15,Brenton,Mayes,987.0,985.0,7.0,2.0,Signed,77.0,0.0,0.0,BUF,tier_4,15.463917525773196,BUF,-2
28,LG,Donnie,Lucas,Donnie Lucas,WAS,15,0,8,984,False,15,25,0,15,Donnie,Lucas,435.0,433.0,2.0,25.0,Signed,73.0,0.0,0.0,WAS,tier_5,8.130081300813009,WAS,-3
32,RT,Jaren,Moore,Jaren Moore,NYG,15,0,4,946,False,15,15,0,15,Jaren,Moore,2292.0,2290.0,4.0,15.0,Signed,78.0,0.0,0.0,NYG,tier_4,4.2283298097251585,NYG,9
53,LG,Titus,Givens,Titus Givens,TEN,13,0,9,844,False,13,29,0,15,Titus,Givens,1307.0,1305.0,6.0,29.0,Signed,76.0,0.0,0.0,TEN,tier_4,10.66350710900474,TEN,-7
56,RT,Luke,Roth,Luke Roth,DEN,15,0,10,938,False,15,3,0,15,Luke,Roth,2509.0,2507.0,4.0,3.0,Signed,67.0,0.0,0.0,DEN,tier_6,10.660980810234541,DEN,-1
101,RG,Donovan,Jackson,Donovan Jackson,SEA,15,0,5,1018,False,15,27,0,15,Donovan,Jackson,2372.0,2370.0,11.0,27.0,Signed,69.0,0.0,0.0,SEA,tier_6,4.911591355599214,SEA,-2
116,RT,Joe,Tomlinson,Joe Tomlinson,BAL,14,0,6,1014,False,14,24,0,15,Joe,Tomlinson,577.0,575.0,3.0,24.0,Signed,77.0,0.0,0.0,BAL,tier_4,5.9171597633136095,BAL,4
158,RG,Raekwon,Heyward,Raekwon Heyward,PIT,15,0,9,967,False,15,28,0,15,Raekwon,Heyward,187.0,185.0,7.0,28.0,Signed,76.0,0.0,0.0,PIT,tier_4,9.307135470527404,PIT,-7
181,LT,Will,Langford,Will Langford,SEA,14,0,9,941,False,14,27,0,15,Will,Langford,2527.0,2525.0,3.0,27.0,Signed,76.0,0.0,0.0,SEA,tier_4,9.564293304994687,SEA,4
216,RT,Roy,Barrett,Roy Barrett,NE,15,0,18,1094,False,15,21,0,15,Roy,Barrett,495.0,493.0,6.0,21.0,Signed,85.0,0.0,0.0,NE,tier_2,16.453382084095065,NE,-9
220,RG,Troy,Tatum,Troy Tatum,GB,15,0,1,1098,False,15,19,0,15,Troy,Tatum,1043.0,1041.0,7.0,19.0,Signed,70.0,0.0,0.0,GB,tier_5,0.9107468123861566,GB,10
224,LG,DeVante,Stoudemire,DeVante Stoudemire,DEN,12,0,3,818,False,12,3,0,15,DeVante,Stoudemire,3541.0,3539.0,4.0,3.0,Signed,86.0,0.0,0.0,DEN,tier_2,3.667481662591687,DEN,0
230,RT,Chuck,Garfield,Chuck Garfield,HOU,13,0,11,851,False,13,31,0,15,Chuck,Garfield,538.0,536.0,2.0,31.0,Signed,81.0,0.0,0.0,HOU,tier_3,12.925969447708578,HOU,0
236,RG,Sean,McPherson,Sean McPherson,KC,15,0,1,988,False,15,8,0,15,Sean,McPherson,543.0,541.0,2.0,8.0,Signed,66.0,0.0,0.0,KC,tier_6,1.0121457489878543,KC,4
265,RG,Jamie,Holliday,Jamie Holliday,PIT,14,0,2,844,False,14,28,0,15,Jamie,Holliday,1010.0,1008.0,3.0,28.0,Signed,75.0,0.0,0.0,PIT,tier_4,2.3696682464454977,PIT,0
282,LT,Dell,Pickens,Dell Pickens,DAL,14,0,8,881,False,14,10,0,15,Dell,Pickens,1934.0,1932.0,1.0,10.0,Signed,70.0,0.0,0.0,DAL,tier_5,9.080590238365494,DAL,4
291,RG,Larry,Samuel,Larry Samuel,DEN,15,0,5,1011,False,15,3,0,15,Larry,Samuel,1336.0,1334.0,6.0,3.0,Signed,73.0,0.0,0.0,DEN,tier_5,4.945598417408506,DEN,-3
316,LG,Neil,Childress,Neil Childress,HOU,15,0,4,1036,False,15,31,0,15,Neil,Childress,3680.0,3678.0,1.0,31.0,Signed,66.0,0.0,0.0,HOU,tier_6,3.8610038610038613,HOU,1
357,C,Brian,Ruggs,Brian Ruggs,LV,14,0,4,1108,False,14,22,0,15,Brian,Ruggs,1500.0,1498.0,4.0,22.0,Signed,75.0,0.0,0.0,LV,tier_4,3.6101083032490977,LV,-2
360,LT,James,Faulkner,James Faulkner,ARI,15,0,14,1052,False,15,6,0,15,James,Faulkner,2121.0,2119.0,2.0,6.0,Signed,70.0,0.0,0.0,ARI,tier_5,13.307984790874524,ARI,-2
368,LG,Josh,Peralta,Josh Peralta,MIA,14,0,3,980,False,14,11,0,15,Josh,Peralta,2908.0,2906.0,2.0,11.0,Signed,69.0,0.0,0.0,MIA,tier_6,3.061224489795918,MIA,1
410,RT,Luke,Darby,Luke Darby,LV,15,0,6,1132,False,15,22,0,15,Luke,Darby,2177.0,2175.0,6.0,22.0,Signed,94.0,0.0,0.0,LV,tier_1,5.30035335689046,LV,2
429,RG,Noah,Patterson,Noah Patterson,CAR,14,0,5,975,False,14,20,0,15,Noah,Patterson,3249.0,3247.0,4.0,20.0,Signed,71.0,0.0,0.0,CAR,tier_5,5.128205128205129,CAR,-3
435,RT,Stephon,Owens,Stephon Owens,DET,15,0,9,1048,False,15,18,0,15,Stephon,Owens,1980.0,1978.0,2.0,18.0,Signed,85.0,0.0,0.0,DET,tier_2,8.587786259541986,DET,1
463,LT,Tremaine,Knight,Tremaine Knight,PIT,12,0,9,677,False,12,28,0,15,Tremaine,Knight,1503.0,1501.0,1.0,28.0,Signed,73.0,0.0,0.0,PIT,tier_5,13.293943870014772,PIT,-2
472,LG,Daniel,Ellison,Daniel Ellison,GB,12,0,4,874,False,12,19,0,15,Daniel,Ellison,3618.0,3616.0,6.0,19.0,Signed,72.0,0.0,0.0,GB,tier_5,4.576659038901602,GB,1
479,LT,Anthony,Calhoun,Anthony Calhoun,TEN,12,0,16,822,False,12,29,0,15,Anthony,Calhoun,867.0,865.0,2.0,29.0,Signed,74.0,0.0,0.0,TEN,tier_5,19.464720194647203,TEN,-6
481,C,Morris,Thornton,Morris Thornton,NYJ,15,0,1,1042,False,15,17,0,15,Morris,Thornton,1232.0,1230.0,5.0,17.0,Signed,68.0,0.0,0.0,NYJ,tier_6,0.9596928982725528,NYJ,4
486,RT,Phillip,Koerner,Phillip Koerner,ATL,15,0,6,1076,False,15,13,0,15,Phillip,Koerner,2774.0,2772.0,6.0,13.0,Signed,88.0,0.0,0.0,ATL,tier_2,5.5762081784386615,ATL,3
487,RG,Travis,Walker,Travis Walker,BAL,15,0,3,1086,False,15,24,0,15,Travis,Walker,771.0,769.0,6.0,24.0,Signed,69.0,0.0,0.0,BAL,tier_6,2.7624309392265194,BAL,1
519,RG,Keenen,Ballard,Keenen Ballard,DAL,15,0,4,940,False,15,10,0,15,Keenen,Ballard,3060.0,3058.0,0.0,10.0,Signed,73.0,0.0,0.0,DAL,tier_5,4.25531914893617,DAL,-1
525,LT,Matthias,Winters,Matthias Winters,DET,14,0,14,911,False,14,18,0,15,Matthias,Winters,1363.0,1361.0,5.0,18.0,Signed,78.0,0.0,0.0,DET,tier_4,15.367727771679473,DET,-2
541,RG,Tremaine,Green,Tremaine Green,WAS,11,0,4,729,False,11,25,0,15,Tremaine,Green,2601.0,2599.0,2.0,25.0,Signed,78.0,0.0,0.0,WAS,tier_4,5.486968449931412,WAS,-3
546,RT,Colby,Mooney,Colby Mooney,CHI,15,0,3,1022,False,15,0,0,15,Colby,Mooney,3410.0,3408.0,6.0,0.0,Signed,83.0,0.0,0.0,CHI,tier_3,2.935420743639922,CHI,8
552,LT,Terron,Jones,Terron Jones,LAR,12,0,8,799,False,12,23,0,15,Terron,Jones,672.0,670.0,8.0,23.0,Signed,74.0,0.0,0.0,LAR,tier_5,10.012515644555695,LAR,0
562,LT,Anthony,Gibson,Anthony Gibson,DEN,15,0,16,1015,False,15,3,0,15,Anthony,Gibson,223.0,221.0,0.0,3.0,Signed,66.0,0.0,0.0,DEN,tier_6,15.763546798029555,DEN,-1
587,C,Najee,Bethel,Najee Bethel,CAR,15,0,2,915,False,15,20,0,15,Najee,Bethel,1063.0,1061.0,7.0,20.0,Signed,72.0,0.0,0.0,CAR,tier_5,2.185792349726776,CAR,1
599,LT,Carson,MacKenzie,Carson MacKenzie,MIA,15,0,17,1045,False,15,11,0,15,Carson,MacKenzie,588.0,586.0,1.0,11.0,Signed,77.0,0.0,0.0,MIA,tier_4,16.267942583732058,MIA,-4
603,C,Juan,Gresham,Juan Gresham,CLE,14,0,2,959,False,14,4,0,15,Juan,Gresham,2095.0,2093.0,1.0,4.0,Signed,66.0,0.0,0.0,CLE,tier_6,2.0855057351407718,CLE,1
608,LT,Mateo,Camarillo,Mateo Camarillo,PHI,12,0,7,665,False,12,12,0,15,Mateo,Camarillo,2869.0,2867.0,4.0,12.0,Signed,96.0,0.0,0.0,PHI,tier_0,10.526315789473683,PHI,0
636,LG,Dion,McBride,Dion McBride,CAR,15,0,10,1033,False,15,20,0,15,Dion,McBride,2964.0,2962.0,4.0,20.0,Signed,68.0,0.0,0.0,CAR,tier_6,9.68054211035818,CAR,-5
652,LG,Gordon,Parks,Gordon Parks,KC,15,0,2,1015,False,15,8,0,15,Gordon,Parks,3303.0,3301.0,2.0,8.0,Signed,83.0,0.0,0.0,KC,tier_3,1.9704433497536944,KC,4
673,RG,Gregory,Andrews,Gregory Andrews,LAR,15,0,3,1099,False,15,23,0,15,Gregory,Andrews,2836.0,2834.0,2.0,23.0,Signed,71.0,0.0,0.0,LAR,tier_5,2.72975432211101,LAR,1
675,LG,Zac,Peerman,Zac Peerman,ARI,13,0,3,875,False,13,6,0,15,Zac,Peerman,45.0,43.0,4.0,6.0,Signed,78.0,0.0,0.0,ARI,tier_4,3.4285714285714284,ARI,0
686,LG,R.J.,Dawkins,R.J. Dawkins,BAL,13,0,6,991,False,13,24,0,15,R.J.,Dawkins,1827.0,1825.0,1.0,24.0,Signed,75.0,0.0,0.0,BAL,tier_4,6.054490413723511,BAL,-2
733,RT,Keelan,Greene,Keelan Greene,LAC,13,0,8,820,False,13,7,0,15,Keelan,Greene,1064.0,1062.0,0.0,7.0,Signed,70.0,0.0,0.0,LAC,tier_5,9.75609756097561,LAC,-2
745,LT,Travis,McKenzie,Travis McKenzie,GB,11,0,9,771,False,11,19,0,15,Travis,McKenzie,829.0,827.0,5.0,19.0,Signed,67.0,0.0,0.0,GB,tier_6,11.673151750972762,GB,0
774,C,Klay,Donaghy,Klay Donaghy,KC,15,0,4,1085,False,15,8,0,15,Klay,Donaghy,1655.0,1653.0,4.0,8.0,Signed,82.0,0.0,0.0,KC,tier_3,3.686635944700461,KC,-1
795,RG,Marquise,Sherman,Marquise Sherman,NE,15,0,3,1106,False,15,21,0,15,Marquise,Sherman,2093.0,2091.0,3.0,21.0,Signed,68.0,0.0,0.0,NE,tier_6,2.7124773960216997,NE,1
797,RT,Stephen,Poole,Stephen Poole,PHI,13,0,7,744,False,13,12,0,15,Stephen,Poole,1107.0,1105.0,5.0,12.0,Signed,72.0,0.0,0.0,PHI,tier_5,9.408602150537634,PHI,-2
813,LG,Russ,Morrison,Russ Morrison,NO,15,0,4,994,False,15,26,0,15,Russ,Morrison,2637.0,2635.0,0.0,26.0,Signed,69.0,0.0,0.0,NO,tier_6,4.024144869215292,NO,1
820,C,Thad,Barber,Thad Barber,NE,13,0,1,1006,False,13,21,0,15,Thad,Barber,2513.0,2511.0,5.0,21.0,Signed,72.0,0.0,0.0,NE,tier_5,0.9940357852882703,NE,4
851,LT,Elijah,Pritchett,Elijah Pritchett,ATL,15,0,10,1018,False,15,13,0,15,Elijah,Pritchett,2620.0,2618.0,9.0,13.0,Signed,94.0,0.0,0.0,ATL,tier_1,9.823182711198427,ATL,2
853,LT,Mykin,Greenard,Mykin Greenard,CAR,12,0,11,784,False,12,20,0,15,Mykin,Greenard,1828.0,1826.0,0.0,20.0,Signed,77.0,0.0,0.0,CAR,tier_4,14.03061224489796,CAR,-2
859,LG,Eddie,Painter,Eddie Painter,BUF,12,0,3,766,False,12,2,0,15,Eddie,Painter,1474.0,1472.0,0.0,2.0,Signed,65.0,0.0,0.0,BUF,tier_6,3.9164490861618795,BUF,1
