FullName,Position,TeamName,SkillPointOff
A.J. Hurts,WR,ARI,4
Adonis Wilder,HB,SF,-2
Amar'e Thompson,HB,PHI,2
Andrew Bailey,WR,JAX,1
Antoine Terry,WR,CIN,-4
Antonio Parker,TE,NE,-1
Armani Boykin,TE,KC,1
Bam Carnahan,HB,ARI,6
Benji Beachum,TE,LAR,-2
Blake Kinney,TE,CAR,-4
Braelon Allen,HB,LAC,-1
Brayden Llyod Jr,WR,NYG,-2
Braylon James,WR,HOU,0
Brendan LaPierre,WR,TB,-5
Brett Stratton,TE,NE,-2
Brian Leary,HB,BAL,-1
Bryce Hilliard Jr,WR,DET,-4
Bryce Thurston,WR,MIA,4
C.J. Williams,WR,PIT,0
CJ Ivory,WR,NYG,5
Caleb Simpson,WR,TB,2
Calvin Avant,WR,CLE,4
Cameron Seldon,WR,IND,0
Carl Hill,TE,PIT,-2
Cedric Wheeler,WR,MIA,0
Chad Bordelon,TE,CIN,1
Chris Monroe,HB,ARI,5
Chris Olave,WR,MIA,0
Colt Longwell,WR,HOU,-1
Connor McPhee,WR,KC,-5
Connor Weston,TE,PHI,-1
Courtland Hearst,WR,SEA,2
DaWann Logan,HB,IND,5
Dakota Twitty,WR,PIT,-2
Dalton Stockton,TE,PIT,-5
Damarius Strickland,WR,GB,4
Damion Turner,WR,ATL,5
Danny Barber,WR,HOU,1
Darius Kidd,WR,ATL,0
Darnell Reese,WR,DEN,-1
Darrell Adams,WR,LAR,5
Darrius Levingston,WR,LAC,-4
David Teague,WR,PHI,1
DeMarcus Boston Jr,HB,CAR,1
DeMarcus Thomas,WR,JAX,-3
DeShawn Thomas,HB,JAX,0
Deshaun Boothe,WR,NYG,-1
Devin Morrison,TE,CLE,2
Dexter Rich,TE,LAC,5
Dionte Hobson,WR,DET,-2
Donavan Sullivan,TE,HOU,4
Donovan Meriweather,TE,IND,3
Donte Claxton,HB,DET,9
Dudley Tolbert,WR,LV,4
Earl Branson,WR,CHI,-1
Emmett Clayborn,HB,PIT,-1
Emmett Willis,HB,BAL,0
Eric Henley,HB,ATL,10
Forrest Walden,TE,WAS,-2
George McQueen,WR,PHI,0
Glenn Brown,TE,LAC,0
Grant Borden,TE,ARI,-2
Harold Baker,WR,IND,-3
J.R. Cooke,WR,MIN,-1
JJ Moss,WR,NYJ,-4
JaMichael Brackett,TE,MIA,3
Jack Pedersen,TE,NYJ,3
Jacoby Owens,WR,ARI,5
Jacquez Jones,HB,CHI,3
Jaedon Hayes,HB,CLE,4
Jahlil Archer,TE,HOU,7
Jake Johnson,TE,ATL,-2
Jalen Shepherd,TE,KC,2
James Bradley,WR,TEN,-4
Jaquard Woods,WR,CLE,1
Jarrick Patton,WR,CAR,-2
Jay Butler,WR,DAL,6
Jaylen Austin,HB,NE,3
Jayvon Webber,WR,WAS,0
Jelani Brooks,HB,LV,6
Jeremiah Morrison,HB,MIA,-2
Jerod Felder Jr,WR,WAS,-5
Jerome Davidson,HB,SEA,-4
Joel Culliver III,WR,LAC,-1
Joel Moses,HB,BUF,8
Joesph Doaks,WR,BAL,6
Joey O'Neill,TE,GB,-2
John Newsome Jr,HB,JAX,-3
Johnathan Smith,HB,GB,8
Johntay Cook II,WR,CHI,1
Jon Florence,WR,IND,5
Jonathan Goodson,TE,DEN,4
Jonathan Hawkins,WR,NO,-4
Jonathan Trejo,TE,PHI,-4
Jordan Hudson,WR,TB,1
Josh Brown,WR,SF,0
Josh Nolan,WR,BAL,1
Joshua Ware,WR,NO,8
Juan Young,HB,HOU,-1
Julian Hatcher,HB,MIN,-1
Julian Wallace,TE,BUF,1
Justin Graham,TE,LAR,-4
Justin York,WR,LAR,1
Kahlil Beekman,HB,NYG,0
Kareem Owens,HB,TEN,1
Kasey Koerner,TE,BAL,2
Kavonte Edwards,TE,DAL,7
Keegan Walker Jr,WR,DAL,2
Kelvin Stroud,WR,BUF,2
Kemani Matthews Jr,HB,NO,-7
Kendrick Green,WR,CIN,4
Kendrick McIntyre,WR,GB,2
Kentrell Poe,TE,NYG,-3
Kenvall Crowley,HB,DAL,1
Kian Wroten,WR,DEN,0
Kordell Turner,WR,NYJ,5
Koren Blackburn,WR,PIT,2
LaDarius Wilford,HB,CIN,-1
Lamar Noel,HB,ARI,-3
Lance Jones,WR,DET,0
Lloyd Temple,WR,NO,4
Luke Drescher,TE,SEA,-3
Luke McCleod,TE,SF,1
Lyle Beason,HB,CHI,0
Lyle Brown,WR,SEA,2
Malachi Woodson,HB,NO,1
Malik Fleming,WR,TEN,-2
Mark Fletcher,HB,MIA,-3
Marquell Sawyer,WR,LAC,5
Marquese Williams,HB,KC,1
Martin Jackson,WR,SF,1
Matthew Cavanaugh,TE,LV,-1
Matthew Jeffries,WR,BUF,-2
Matthew Pearson,WR,TEN,-2
Mavin Robertson,WR,JAX,7
Melvin Rivers,WR,DAL,-4
Moses Ross,WR,NE,-3
Nasir Favors,WR,NE,-2
Nazir Aaitui,HB,PHI,5
Nicholas Hawley,TE,MIN,-5
Nick Klein,TE,LV,-2
Nick Tull-Parrish,WR,WAS,-2
Noel Lowry Jr,WR,NYJ,2
Nolan Hawkins,TE,TB,-1
Omarion Miller,WR,CIN,-4
Orlando Foote,HB,TB,7
PJ Anderson,WR,GB,1
Quan Odom,WR,DEN,0
Rakim Matias-Smith,TE,ATL,2
Randall Woodson III,HB,SF,-5
Raysean Reed,HB,DET,0
Rayshon Blackshear,HB,BUF,-1
Richard James,WR,DAL,1
Robert Cobbs,WR,MIN,12
Sam Barkley,TE,MIN,1
Samuel Singleton,HB,DEN,0
Sean Crawford,HB,PIT,-3
Shaq Bennett,WR,PHI,-4
Shawn Peters,WR,CAR,-5
Shaydon Carter,WR,IND,4
Skylar Alexander,TE,IND,-1
Spencer McLean,TE,TEN,3
TJ Greenlaw,HB,LV,1
Tahj Hurts,WR,BAL,-1
Tahj Spencer,WR,BUF,-2
Taylor Winslow,TE,GB,-1
Terrance Smith,WR,ATL,2
Terrance Whitehead,TE,DET,-5
Terrell Saunders,WR,LV,2
Tetairoa McMillan,WR,KC,2
Tevin Knighton,HB,HOU,-4
Tevin Scarborough,HB,LAR,-4
Theo Kirkendoll,WR,BAL,7
Thomas Harris,WR,KC,-4
Todd Lewis,TE,NYG,-1
Tony Carmichael,WR,CLE,-2
Travis McClain,TE,CAR,1
Trayvon Thompkins,WR,PIT,-4
Tre'Vante McAllister,TE,NYJ,-6
Trevon Wallace,WR,CAR,-2
Trevor Tomlinson,WR,MIN,-1
Trumaine Collins,WR,SEA,-2
Ty Pointer,HB,GB,-5
Tyler Donnell,TE,JAX,-1
Tyler Hankins,TE,DET,3
Tyler McGrath,TE,CHI,1
Tyler Schilling,WR,NE,-2
Tyquan Dunn,WR,LV,-2
Tyreek Faulk,WR,LAR,-4
Tyrell McFadden,WR,ARI,2
Tyron Price,HB,LAR,-2
Velvario Martin,HB,JAX,-3
Venzell Chambers,HB,KC,2
Warren Edwards,HB,DEN,0
Will Baldwin Jr,HB,HOU,1
Will Brock,HB,NE,-3
Xavi Wharton,WR,BUF,3
Xavier Worthy,WR,CHI,0
