FullName,Position,TeamName,SkillPointKick
Aaron Brackins,K,TEN,3
Alan Brackett,P,WAS,1
Alex Saunders,K,GB,-1
Andrew Jones,P,CIN,2
Andrew Richardson,P,TEN,0
B.J. Polk,P,BUF,-1
Bernard Donaldson,K,SF,-1
Brandon Collins,P,CHI,-1
Brandon Watson,K,JAX,-5
Brian Harris,P,LV,1
Brian Jackson,K,ATL,-4
Bryan Talley,K,TB,6
Bryce McFerson,P,JAX,1
Caleb Zeigler,P,DET,2
Carter Abraham,P,MIN,2
Charles Cunningham,K,BUF,0
Charlie Copeland,K,NO,3
Chase Cook,K,CAR,-3
Chris Edwards,P,NO,0
Chris Ross,K,LAR,1
Colt Stephenson,K,DEN,0
Connor Smith,P,CAR,0
Curtis Monroe,P,PIT,-1
Damon Wilcox,P,CLE,0
Daniel Lee,P,KC,5
Darren McLane,K,DAL,0
David Brown,K,MIN,4
Devin Tanley,K,CHI,-2
Don McGuire,P,DAL,-4
Elijah Barton,K,MIA,-2
Grant Wade,K,NYJ,2
Joe Curtis,K,DET,-1
Joey Hoke,K,KC,4
Johnny Webster,K,PHI,3
Joshua Conwell,P,PHI,-1
Kai Kroeger,P,LAC,1
Kirk Moreland,K,CLE,-6
Kolton Hall,P,NYJ,-2
Lane Decker,P,NYG,-2
Logan Lynch,P,LAR,-1
Luke Reisner,P,BAL,-2
Matt Walker,K,SEA,-3
Matthew Fletcher,P,DEN,4
Michael Perez,K,WAS,-1
Mikal Childress,P,SEA,0
Mitchell Turner,K,CIN,-2
Nathan Dibert,K,HOU,0
Nick Weber,P,ARI,-2
Owen Roth,P,TB,2
Patrick Weaver,K,BAL,-3
Paul Robbins,P,SF,2
Peter Masters,P,IND,3
Preston Gervasi,P,HOU,3
Rhett Bush,P,MIA,3
Ryan Blanchard,K,IND,2
Scott Groves,K,NYG,5
TJ Clifford,K,LAC,1
Toby Mahone,P,NE,0
Tommy Rich,K,ARI,-4
Tommy Townsend,P,ATL,5
Trey Ortiz,K,PIT,3
Ty Dillon,K,NE,-6
Tyler Perkins,P,GB,1
Will Dillard,K,LV,-4
