FullName,Position,TeamName,SkillPointOff
A.J. Brown,WR,TEN,-2
A.J. Dillon,HB,SEA,-4
AJ Barner,TE,NE,8
Aaron Fuller,WR,JAX,3
Adam Trautman,TE,NO,5
Albert Okwuegbunam,TE,CLE,6
Alexander Mattison,HB,GB,5
Allen Lazard,WR,ATL,1
Allen Robinson II,WR,CHI,5
Alvin Kamara,HB,NO,-2
Amari Cooper,WR,WAS,1
Amari Rodgers,WR,GB,0
Anthony Williams Jr.,HB,DEN,-1
Antonio Nunn,WR,DET,-2
Arik Gilbert,TE,ATL,-3
Auden Tate,WR,JAX,-2
Austin Ekeler,HB,ARI,4
Austin Hooper,TE,TEN,-7
Austin Stonger,TE,NYJ,1
Beaux Collins,WR,LAR,4
Bijan Robinson,HB,JAX,-2
Braden Galloway,TE,GB,0
Braelon Allen,HB,ATL,1
Brandon Aiyuk,WR,TEN,0
Breece Hall,HB,HOU,-2
Brenden Rice,WR,LV,0
Brenton Strange,TE,LV,0
Brevyn Spann-Ford,TE,HOU,0
Briley Moore,TE,TEN,3
Bru McCoy,WR,LV,-1
Cade Otton,TE,NYJ,3
Calvin Ridley,WR,CHI,0
Cam Akers,HB,TEN,-7
Camar Wheaton,HB,PHI,8
CeeDee Lamb,WR,DAL,4
Charlie Kolar,TE,DAL,0
Charlie Taumoepeau,TE,MIA,0
Charlie Woerner,TE,NO,-3
Chris Autman-Bell,WR,CHI,0
Chris Godwin,WR,TB,-1
Chris Olave,WR,GB,0
Chris Rodriguez Jr,HB,MIN,6
Chris Tyree,HB,TB,0
Christian Kirk,WR,IND,-2
Christian McCaffrey,HB,CAR,2
Christopher Herndon IV,TE,LAC,0
Chuba Hubbard,HB,CAR,-3
Clyde Edwards-Helaire,HB,KC,0
Cole Kmet,TE,CHI,-1
Cole Turner,TE,SEA,0
Collin Johnson,WR,NYG,-2
Cooper Kupp,WR,NE,-3
Corey Davis,WR,BAL,1
Courtland Sutton,WR,DEN,1
Curtis Samuel,WR,BUF,-4
D'Andre Swift,HB,DET,-2
D'Wayne Eskridge,WR,SEA,-2
