FullName,Position,TeamName,SkillPointDef
A'Shawn Robinson,LE,DAL,-4
A.J. Epenesa,RE,BUF,2
Aaron Brule,LOLB,NE,-1
Aaron Donald,RE,LAR,0
Aaron Robinson,CB,NYG,-1
Adam Anderson,ROLB,ATL,0
Adetokunbo Ogundeji,LOLB,ATL,0
Adisa Isaac,ROLB,NE,0
Adrian Amos,SS,GB,1
Ahmad Gardner,CB,BAL,3
Aiden Hutchinson,LE,CLE,2
Akeem Davis-Gaither,ROLB,NO,3
Alex Highsmith,ROLB,CAR,5
Alex Wright,LE,BUF,-4
Alexander Johnson,MLB,DEN,5
Alfred Collins,DT,MIN,2
Amani Hooker,SS,CAR,-1
Amani Oruwariye,CB,CIN,7
Amari Burney,LOLB,KC,0
Amik Robertson,CB,NYG,-1
Andre Cisco,SS,JAX,0
Andrew Booth Jr,CB,CHI,-4
Andrew Dowell,LOLB,LAR,0
Andrew Van Ginkel,ROLB,ATL,2
Anfernee Jennings,LOLB,NYJ,0
Anthony Adams,FS,GB,0
Anthony Nelson,LOLB,LV,-2
Anthony Walker Jr,MLB,HOU,-5
Antoine Brooks Jr,SS,ATL,1
Antoine Winfield Jr,FS,TB,0
Arik Armstead,LE,PHI,-4
Asa Turner,SS,NE,-2
Asante Samuel Jr,CB,LAC,-6
Ashtyn Davis,FS,JAX,-2
Atanza Vongor,SS,TEN,-1
Avonte Maddox,CB,NYG,0
Azeez Ojulari,ROLB,IND,2
B.J. Hill,DT,LAC,6
B.J. Ojulari,LOLB,NYJ,-1
Baron Browning,MLB,DEN,-7
Barrett Carter,LOLB,MIN,3
Ben Burr-Kirven,ROLB,WAS,-2
Benjamin St-Juste,CB,WAS,-2
Blake Cashman,ROLB,LV,-1
Blessuan Austin,CB,SEA,-1
Bobby Brown III,DT,LAR,6
Bobby Okereke,MLB,LV,-2
Boye Mafe,RE,SF,-1
Bradley Chubb,ROLB,DEN,-5
Brady Breeze,FS,TEN,0
Branden Jennings,LOLB,BUF,1
Brandon Jones,SS,DEN,-3
Brandon Joseph,FS,NYJ,0
Brandon Smith,LOLB,DEN,0
Brenton Cox,ROLB,DEN,1
Briceon Hayes,RE,KC,4
Briton Allen,FS,BUF,-1
Bryan Bresee,DT,PHI,-4
Bryce Hall,CB,NYJ,1
Bryce Huff,RE,HOU,-4
Budda Baker,SS,ARI,-4
Buddy Johnson,MLB,PIT,0
Byron Jones,CB,DEN,-1
Byron Murphy Jr,CB,ARI,4
C.J. Henderson,CB,TEN,2
Cale Garrett,MLB,TB,-2
Caleb Farley,CB,TEN,0
Cameron Dantzler,CB,GB,-3
Cameron McCuthcehon,CB,IND,-3
Cameron Thomas,RE,CAR,-1
Camryn Bynum,FS,MIN,2
Carl Lawson,RE,NYJ,0
Carlos Basham Jr,LE,BUF,0
Carlton Davis III,CB,LV,-3
Carter Coughlin,MLB,DAL,-1
Casey Toohill,LE,MIA,2
Chandler Jones,ROLB,ARI,8
Chandon Sullivan,CB,LAR,2
Charles Omenihu,LE,HOU,-1
Chase Winovich,RE,NE,6
Chase Young,RE,WAS,1
Chris Braswell,LOLB,PHI,0
Chris Garrett,LOLB,LAR,1
Chris Jones,RE,HOU,0
Chris Rumph II,ROLB,LAC,2
Chris Thompson Jr.,FS,ARI,-1
Christian Barmore,DT,NE,1
Christian Gonzalez,CB,BAL,-1
Christian Uphoff,SS,SF,0
Christian Wilkins,RE,MIA,-1
Christopher Allen,ROLB,PIT,1
Christopher Hinton,DT,PHI,-5
Chuck Clark,SS,BAL,-2
Clelin Ferrell,RE,ARI,2
Cody Barton,ROLB,MIN,-2
Cody Simon,MLB,CAR,4
Curtis Jacobs,ROLB,BAL,0
Curtis Ryans,RE,KC,5
D.J. Jones,DT,NYG,-4
D.J. Reader,DT,CLE,0
D.J. Reed Jr,CB,SEA,0
Da'Ron Payne,DT,WAS,1
Da'Shawn Hand,RE,DAL,-3
DaRon Bland,CB,NO,5
DaVon Hamilton,DT,JAX,-4
Daelin Hayes,LOLB,BAL,1
Dallas Turner,ROLB,TEN,-2
Dameon Williams,CB,MIA,4
Damon Clark,MLB,PHI,1
Dane Jackson,CB,BUF,7
Daniel Wright,FS,NYJ,0
Dante Stills,DT,LV,-1
Darius Leonard,LOLB,IND,0
Darius Phillips,CB,SF,-2
Darius Slay Jr,CB,PHI,3
Darnay Holmes,CB,KC,-4
Darnell Savage,FS,GB,2
Darrell Taylor,LOLB,MIA,0
Darrick Forrest,SS,WAS,-1
David Long Jr,CB,PIT,2
David Long Jr,MLB,GB,2
Dawuane Smoot,LE,SEA,6
Daxton Hill,SS,NYJ,-1
Dayo Odeyingbo,RE,IND,4
DeAngelo Malone,LOLB,GB,-1
DeForest Buckner,DT,IND,4
DeMarcco Hellams,SS,IND,4
DeMarcus Lawrence,LE,BAL,3
DeMarvin Leal,DT,DEN,3
DeMarvion Overshown,ROLB,LV,0
DeShon Elliott,FS,BAL,0
Dell Pettus,SS,CIN,-1
Demani Richardson,SS,NYG,5
Demorie Tate,CB,TB,-1
Denzel Ward,CB,CLE,-4
Deommodore Lenoir,CB,CLE,-3
Deon Jones,FS,NO,7
Derek Barnett,RE,DEN,-2
Derek Stingley Jr.,CB,NE,-3
Derrick Barnes,MLB,DET,-1
Derrick Brown,DT,MIA,-6
Derrick Nnadi,DT,KC,5
Derwin James Jr,SS,LAC,-3
Desmond Evans,LOLB,HOU,-1
Desmond King II,CB,MIA,-1
Devin Bush,MLB,PIT,-1
Devin Lloyd,MLB,ATL,0
Devin White,MLB,TB,-3
Dishon McNary,CB,MIA,0
Dontae Manning,CB,BUF,1
Donte Jackson,CB,PIT,0
Dorance Armstrong,RE,PIT,2
Doug Costin,DT,ATL,-5
Drake Jackson,LOLB,DAL,2
Dre Greenlaw,ROLB,SF,1
Dre'Mont Jones,LE,TEN,-2
Drew Sanders,ROLB,ARI,0
Drew White,MLB,BUF,0
Earnest Brown IV,LE,IND,-1
Ed Oliver,DT,ATL,-2
Eddie Goldman,DT,CHI,-3
Eddie Jackson,FS,PHI,3
Eddie Morales III,CB,DAL,2
Edeufan Ulofoshio,MLB,LV,0
Eli Ricks,CB,CAR,1
Elijah Gates,CB,NO,3
Elijah Molden,CB,TEN,1
Elijah Riley,FS,SEA,0
Elisha Guidry,FS,WAS,0
Ellis Brooks,MLB,MIA,3
Emmanuel Moseley,CB,CHI,-1
Eric Burrell,FS,MIA,-1
Eric Gregory,LE,CLE,1
Eric Stokes,CB,GB,-1
Eric Wilson,MLB,LAR,-1
Ernest Jones,MLB,ATL,-3
Ethan Calvert,MLB,CIN,-1
Eyabi Anoma,LOLB,MIN,-1
Folorunso Fatukasi,DT,NYJ,-2
Francis Bernard,ROLB,NO,0
Fred Davis II,CB,GB,1
Fred Warner,MLB,SF,-2
Ga'Quincy McKinstry,CB,NE,0
Garret Wallow,LOLB,HOU,1
Garrett Williams,CB,NYJ,0
Genard Avery,LOLB,SF,3
Geno Stone,SS,PHI,2
Germaine Pratt,MLB,CIN,-1
Gervon Dexter,DT,BUF,2
Gilbert Frierson,SS,SEA,3
Grady Jarrett,RE,ATL,-2
Grant Delpit,SS,CHI,0
Grant Stuard,MLB,TB,5
Greedy Williams,CB,PHI,7
Greg Benton Jr,LOLB,NYG,0
Greg Brooks Jr.,CB,DAL,5
Greg Eisworth II,SS,GB,-1
Greg Gaines,DT,CAR,-2
Greg Rousseau,LE,BUF,-3
Grover Stewart,DT,IND,-7
Haason Reddick,LOLB,CAR,0
Hamsah Nasirildeen,ROLB,NYJ,0
Harold Landry III,ROLB,TEN,3
Harvey Langi,ROLB,CAR,0
Haskell Garrett,DT,ARI,-1
Henry To'o To'o,LOLB,PHI,-5
Isaac Slade-Matautia,MLB,BUF,-1
Isaac Taylor-Stuart,CB,KC,0
Isaac Yiadom,CB,HOU,0
