FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,PHI,-1
Adam Williams,P,TB,0
Aldrick Rosas,K,JAX,1
Alex McPherson,K,IND,-7
Andre Szmyt,K,DET,1
Arryn Siposs,P,BAL,-4
Austin Seibert,K,GB,-1
Blake Gillikin,P,LAC,1
Blake Mazza,K,NYG,-2
Braden Mann,P,CIN,1
Brandon McManus,K,BAL,-2
Brandon Wright,P,ARI,-6
Cade York,K,DAL,1
Cairo Santos,K,SEA,-2
Camden Lewis,K,TB,11
Chris Boswell,K,DEN,-1
Chris Jones,P,SF,1
Corey Bojorquez,P,MIN,3
Daniel Carlson,K,PIT,4
Dom Maggio,P,NE,5
Eddy Pineiro,K,BUF,-1
Ethan Moczulski,K,TEN,0
Gabe Brkic,K,MIN,-1
Harrison Butker,K,SF,1
Hunter Niswander,P,MIA,2
J.K. Scott,P,BUF,-2
Jack Fox,P,GB,0
Jack Podlesny,K,ATL,-4
Jake Bailey,P,LV,2
Jake Camarda,P,KC,0
Jake Elliott,K,NYJ,-3
James Williams,K,CIN,2
Jason Sanders,K,MIA,2
Joey Slye,K,NO,-2
Johnny Hekker,P,CLE,1
Jordan Berry,P,HOU,3
Joseph Charlton,P,IND,2
Josh Lambo,K,LAR,3
Justin Rohrwasser,K,LV,-4
Justin Tucker,K,CAR,-2
Ka'imi Fairbairn,K,NE,-4
Kai Kroeger,P,CHI,0
Logan Cooke,P,TEN,2
Matthew Wright,K,KC,0
Michael Dickson,P,SEA,-1
Michael Palardy,P,NYG,-4
Michael Turk,P,PIT,-2
Mitch Wishnowsky,P,ATL,1
Parker Lewis,K,HOU,-1
Pressley Harvin III,P,DAL,-5
Rigoberto Sanchez,P,DEN,0
Rodrigo Blankenship,K,ARI,-4
Ryan Bujcevski,P,JAX,1
Sam Sloman,K,CHI,-3
Sterling Hofrichter,P,DET,2
Tom Hutton,P,LAR,-3
Tommy Townsend,P,NO,0
Tory Taylor,P,NYJ,0
Tress Way,P,WAS,3
Tucker Day,P,CAR,4
Tyler Bass,K,CLE,1
Wil Lutz,K,PHI,-2
Younghoe Koo,K,WAS,-2
Zane Gonzalez,K,LAC,6
