Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
11,K,Brad,Wilson,Brad Wilson,CLE,2,0,0,0,0,0,181,54,0,9,101,False,0,0,31,51,0,11,5,11,4,0,11,3,27,58,16,4,45,8,5,0,16,Brad,Wilson,BradWilson_3163316,3228.0,3226.0,2.0,25.0,63.0,4.0,Signed,Normal,81.0,0.0,0.0,CLE,tier_3,0.8709677419354839,0.9444444444444444,0.8125,,,,CLE,-5
76,K,Joon,Cho,Joon Cho,IND,0,0,0,0,0,0,101,28,0,9,55,False,0,0,19,28,0,6,6,4,3,0,4,3,16,58,11,9,27,4,5,0,11,Joon,Cho,JoonCho_32711,2439.0,2437.0,1.0,23.0,7.0,9.0,Signed,Normal,74.0,0.0,0.0,IND,tier_5,0.8421052631578947,1.0,0.75,,,,IND,2
79,K,Conor,Talty,Conor Talty,LAR,0,0,0,0,0,0,171,45,0,9,92,False,0,0,33,45,0,9,6,11,7,0,10,7,29,58,16,23,63,6,6,0,16,Conor,Talty,,1893.0,1891.0,5.0,28.0,7.0,23.0,Signed,Superstar,90.0,0.0,0.0,LAR,tier_1,0.8787878787878788,1.0,0.8,,,,LAR,-2
80,K,Pat,Williams,Pat Williams,LV,0,0,0,0,0,0,156,41,0,9,88,False,0,0,29,39,0,8,12,4,5,0,4,4,26,58,16,22,48,7,11,0,16,Pat,Williams,PatWilliams_3163312,1107.0,1105.0,2.0,26.0,63.0,22.0,Signed,Normal,72.0,0.0,0.0,LV,tier_5,0.896551724137931,0.9512195121951219,0.9,,,,LV,3
81,K,Aaron,Rudd,Aaron Rudd,NO,1,0,0,0,0,0,157,36,0,9,80,False,0,0,31,34,0,8,7,9,7,0,9,6,29,58,16,26,41,7,7,0,16,Aaron,Rudd,AaronRudd_30522,647.0,645.0,3.0,25.0,5.0,26.0,Signed,Normal,80.0,0.0,0.0,NO,tier_3,0.9354838709677419,0.9444444444444444,0.9333333333333333,,,,NO,-1
82,K,Andrew,O'Brien,Andrew O'Brien,TB,0,0,0,0,0,0,146,40,0,9,77,False,0,0,25,38,0,7,8,4,6,0,2,6,21,58,16,5,50,6,7,0,16,Andrew,O'Brien,AndrewO'Brien_3342,3240.0,3238.0,0.0,21.0,4.0,5.0,Signed,Star,79.0,0.0,0.0,TB,tier_4,0.84,0.95,0.8666666666666667,,,,TB,-2
86,K,Will,Reichard,Will Reichard,JAX,0,0,0,1,0,0,60,39,0,9,0,False,0,0,21,39,0,9,3,5,4,0,5,1,17,58,16,16,0,8,3,0,16,Will,Reichard,ReichardWill_15004,3445.0,3443.0,9.0,32.0,7.0,16.0,Signed,Star,77.0,0.0,0.0,JAX,tier_4,0.8095238095238095,1.0,0.9166666666666666,,,,JAX,2
154,P,Jamie,Gillan,Jamie Gillan,NYG,0,3667,3954,0,86,33,88,0,53,9,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,16,Jamie,Gillan,GillanJamie_20794,1005.0,1003.0,14.0,36.0,63.0,15.0,Signed,Star,72.0,0.0,0.0,NYG,tier_5,,,,0.030303030303030304,45.97674418604651,0.9274152756702074,NYG,2
198,P,Decam,Duley,Decam Duley,ATL,0,3595,3899,0,83,30,144,0,54,9,61,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,13,42,0,0,0,16,Decam,Duley,,674.0,672.0,5.0,27.0,5.0,13.0,Signed,Star,77.0,0.0,0.0,ATL,tier_4,,,,0.1,46.975903614457835,0.922031290074378,ATL,0
199,K,Brock,Taylor,Brock Taylor,NYJ,0,0,0,1,0,0,141,32,0,9,76,False,0,0,32,32,0,8,9,7,8,0,5,6,27,58,16,17,47,7,9,0,16,Brock,Taylor,,2122.0,2120.0,5.0,28.0,7.0,17.0,Signed,Star,78.0,0.0,0.0,NYJ,tier_4,0.84375,1.0,0.9411764705882353,,,,NYJ,3
