Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
13,C,Justin,Evans-Jenkins,Justin Evans-Jenkins,NYJ,16,76,10,1013,False,16,17,0,9,Justin,Evans-Jenkins,,1475.0,1473.0,6.0,28.0,5.0,17.0,Signed,Normal,68.0,0.0,0.0,NYJ,tier_6,9.871668311944719,NYJ,-5
14,RT,Blake,Jenkins,Blake Jenkins,NYJ,16,20,11,1067,False,16,17,0,9,Blake,Jenkins,BlakeJenkins_33212,272.0,270.0,0.0,23.0,2.0,17.0,Signed,Normal,83.0,0.0,0.0,NYJ,tier_3,10.309278350515465,NYJ,-5
61,RG,Duce,Dowdle,Duce Dowdle,SF,12,9,1,808,False,16,14,0,9,Duce,Dowdle,DuceDowdle_32126,714.0,712.0,1.0,24.0,1.0,14.0,Signed,Normal,71.0,0.0,0.0,SF,tier_5,1.2376237623762376,SF,6
98,LG,Jacob,Krueger,Jacob Krueger,GB,7,7,1,429,False,10,19,0,9,Jacob,Krueger,JacobKrueger_32331,1159.0,1157.0,1.0,23.0,3.0,19.0,Signed,Normal,75.0,0.0,0.0,GB,tier_4,2.331002331002331,GB,2
99,LG,Simione,Pale,Simione Pale,GB,16,42,5,1194,False,16,19,0,9,Simione,Pale,,2005.0,2003.0,5.0,27.0,2.0,19.0,Signed,Normal,80.0,0.0,0.0,GB,tier_3,4.187604690117253,GB,-2
141,C,Curtis,Rivers,Curtis Rivers,ARI,16,118,6,1040,False,16,6,0,9,Curtis,Rivers,CurtisRivers_32130,719.0,717.0,1.0,24.0,1.0,6.0,Signed,Normal,74.0,0.0,0.0,ARI,tier_5,5.769230769230769,ARI,0
142,RT,D.J.,Smith-Morris,D.J. Smith-Morris,ARI,5,6,3,426,False,12,6,0,9,D.J.,Smith-Morris,D.J.Smith-Morris_32522,1543.0,1541.0,1.0,22.0,5.0,6.0,Signed,Normal,62.0,0.0,0.0,ARI,tier_6,7.042253521126761,ARI,1
185,C,Connor,Lew,Connor Lew,NYG,10,100,3,725,False,10,15,0,9,Connor,Lew,,2400.0,2398.0,6.0,28.0,1.0,15.0,Signed,Normal,72.0,0.0,0.0,NYG,tier_5,4.137931034482759,NYG,0
186,LG,Lucas,Pollard,Lucas Pollard,NYG,15,56,6,1059,False,15,15,0,9,Lucas,Pollard,LucasPollard_33129,1357.0,1355.0,0.0,21.0,1.0,15.0,Signed,Normal,74.0,0.0,0.0,NYG,tier_5,5.6657223796034,NYG,0
187,C,Lucas,Mitchell,Lucas Mitchell,IND,7,48,1,433,False,15,9,0,9,Lucas,Mitchell,LucasMitchell_3354,644.0,642.0,0.0,23.0,5.0,9.0,Signed,Normal,68.0,0.0,0.0,IND,tier_6,2.3094688221709005,IND,4
189,LG,Junior,Hines,Junior Hines,TEN,16,49,3,1170,False,16,29,0,9,Junior,Hines,JuniorHines_31129,2205.0,2203.0,2.0,24.0,1.0,29.0,Signed,Normal,74.0,0.0,0.0,TEN,tier_5,2.5641025641025643,TEN,3
190,C,Jackson,Powers-Johnson,Jackson Powers-Johnson,TEN,16,170,3,1221,False,16,29,0,9,Jackson,Powers-Johnson,,884.0,882.0,8.0,31.0,1.0,29.0,Signed,Normal,79.0,0.0,0.0,TEN,tier_4,2.457002457002457,TEN,2
257,LG,Anderson,Kopp,Anderson Kopp,CHI,14,49,6,992,False,14,0,0,9,Anderson,Kopp,AndersonKopp_2961,1828.0,1826.0,4.0,26.0,6.0,0.0,Signed,Normal,68.0,0.0,0.0,CHI,tier_6,6.048387096774193,CHI,-2
259,C,Ryan,Brubaker,Ryan Brubaker,DAL,16,116,2,1183,False,16,10,0,9,Ryan,Brubaker,,2275.0,2273.0,6.0,29.0,3.0,10.0,Signed,Normal,81.0,0.0,0.0,DAL,tier_3,1.6906170752324599,DAL,4
263,RG,Kennyi,Jarrel,Kennyi Jarrel,JAX,14,18,3,966,False,14,16,0,9,Kennyi,Jarrel,KennyiJarrel_30322,1046.0,1044.0,3.0,25.0,3.0,16.0,Signed,Normal,79.0,0.0,0.0,JAX,tier_4,3.105590062111801,JAX,-1
303,C,Morgan,Clemons,Morgan Clemons,BUF,9,51,3,690,False,12,2,0,9,Morgan,Clemons,MorganClemons_3163329,1807.0,1805.0,2.0,25.0,63.0,2.0,Signed,Normal,67.0,0.0,0.0,BUF,tier_6,4.3478260869565215,BUF,1
304,LG,John,Uwaezuoke,John Uwaezuoke,BUF,14,27,8,990,False,14,2,0,9,John,Uwaezuoke,JohnUwaezuoke_31620,3430.0,3428.0,2.0,24.0,6.0,2.0,Signed,Normal,76.0,0.0,0.0,BUF,tier_4,8.080808080808081,BUF,-4
306,RG,Jake,Batson,Jake Batson,BUF,16,23,4,1177,False,16,2,0,9,Jake,Batson,JakeBatson_30325,296.0,294.0,3.0,25.0,3.0,2.0,Signed,Normal,80.0,0.0,0.0,BUF,tier_3,3.3984706881903146,BUF,-2
307,RT,Jack,Lange,Jack Lange,BUF,16,23,5,1153,False,16,2,0,9,Jack,Lange,,2700.0,2698.0,4.0,26.0,2.0,2.0,Signed,Superstar,89.0,0.0,0.0,BUF,tier_2,4.336513443191674,BUF,-1
334,RT,Delmar,Glaze,Delmar Glaze,LAC,15,31,8,989,False,15,7,0,9,Delmar,Glaze,,2286.0,2284.0,8.0,30.0,1.0,7.0,Signed,Normal,90.0,0.0,0.0,LAC,tier_1,8.088978766430738,LAC,-4
335,RG,Jaylen,Early,Jaylen Early,LAC,16,14,5,1161,False,16,7,0,9,Jaylen,Early,,958.0,956.0,6.0,29.0,4.0,7.0,Signed,Normal,80.0,0.0,0.0,LAC,tier_3,4.3066322136089585,LAC,-2
336,LG,Harris,Sewell,Harris Sewell,LAC,12,30,2,819,False,12,7,0,9,Harris,Sewell,,2322.0,2320.0,6.0,28.0,1.0,7.0,Signed,Superstar,78.0,0.0,0.0,LAC,tier_4,2.442002442002442,LAC,2
337,LT,Hunter,Nagel,Hunter Nagel,CLE,5,27,2,425,False,16,4,0,9,Hunter,Nagel,HunterNagel_3263391,2756.0,2754.0,1.0,23.0,63.0,4.0,Signed,Normal,65.0,0.0,0.0,CLE,tier_6,4.705882352941176,CLE,7
