FullName,Position,TeamName,SkillPointOff
A'Shawn Boyce,TE,NYG,3
Aaron Anderson,WR,CLE,-8
Aaron Redding,TE,CLE,1
Addison Sullivan,HB,NYJ,-1
Adonai Mitchell,WR,JAX,3
Aeeron LeCounte,WR,SF,-1
Aidan Chambers,WR,NO,0
Akylin Dear,HB,SEA,8
Alex Stephenson,HB,PIT,-2
Alton Adkins,WR,KC,-2
Alvin Henderson,HB,ARI,2
Amare Thomas,WR,CLE,7
Amarion Johnson,HB,BUF,-1
Amon-Ra St. Brown,WR,DAL,0
Andrew Williamson,HB,CIN,-1
Andrew Wright,WR,KC,2
Angelo Valentine,TE,ARI,-2
Anthony Evans III,WR,CIN,-2
Anthony Hillhouse,HB,NE,-4
Anthony Lynch,WR,LAC,-2
Anthony Rogers,HB,MIA,-2
Antonio Williams,WR,CHI,9
Antonio Yancey Jr,HB,CAR,7
Barion Brown,WR,IND,-4
Benjamin Brahmer,TE,BAL,-5
Bishop Wallace Jr,WR,JAX,2
Bo Jackson,HB,HOU,1
Brandon Billingsley,HB,TB,1
Brandon Inniss,WR,TB,0
Brandon Polk,TE,NYJ,-1
Brayden Winslow,TE,PHI,1
Breece Hall,HB,NYJ,0
Brett Norfleet,TE,CHI,8
Brian Bonner,HB,MIN,4
Brian Thomas Jr,WR,ATL,1
Brice Rutledge,TE,CIN,1
Brock Bowers,TE,LAC,2
Brock Harris,TE,CAR,0
Broderick Culliver,HB,JAX,-3
Bryant Wesco,WR,DEN,2
Caden Prieskorn,TE,MIA,1
Caleb Cunningham,WR,PIT,6
Caleb Williams,WR,BUF,-5
Calvin Russell,WR,NYG,6
Calvin Taylor,WR,BAL,1
Cam Driscoll,WR,NYG,-1
Cam McCoy,HB,NYG,-1
Camden Jennings,WR,TEN,-2
Cameron Hayes,WR,CAR,-3
Cassius Parrish,WR,PIT,15
Cecil Price,TE,JAX,-3
Cederian Morgan,WR,CHI,-7
Cedric Baxter,HB,DEN,0
CeeDee Lamb,WR,ATL,6
Cha'ce McKnight,WR,MIN,-1
Chris Henry Jr,WR,NYJ,-5
Collin Fowler,TE,MIN,-3
Cordale Russell,WR,NE,-3
Da'Saahn Brame,TE,NE,1
Dakorien Moore,WR,NO,1
Damarius Yates,HB,DAL,8
Darien Williams,WR,NYJ,-8
Darren Barker,WR,CLE,1
Darren Freeman,HB,PHI,4
Dashaun Carter Jr,HB,NYG,2
Davian Groce,HB,TB,6
David Washington Jr,WR,DET,-4
De'Angelo Booker,WR,MIA,2
DeAngelo McKee,WR,DEN,-6
Dee Wallace,WR,DET,0
Dell Virgil,WR,CAR,8
Derek Meadows,WR,SEA,-4
Deshay McNeil,WR,TEN,-6
Deshonne Redeaux,HB,LAC,1
Dierre Hill,HB,LAC,-1
Dion Wilder,TE,BAL,1
Dwayne Davis Jr,HB,SEA,0
Eddie Alexander,TE,WAS,0
Elic Ayomanor,WR,ARI,4
Elijah Carruthers,HB,SF,4
Elyiss Williams,TE,NO,-6
Emmett Lincoln,HB,BAL,0
Ezekiel Burton,WR,PHI,-10
Fluff Thomas,HB,HOU,-2
Gabe Woods,HB,KC,-3
Gatlin Bair,WR,LV,-2
