FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,KC,-3
Aaron Rudd,K,NO,-1
Aeeron Burrell,K,PHI,2
Aidan Flintoft,P,TB,-1
Aleksi Pulkkinen,P,SF,-3
Andres Borregales,K,PIT,-3
Andrew O'Brien,K,TB,-2
Anthony Harris,P,LAR,1
Anthony Whittaker,P,CLE,-4
Blake Grupe,K,NYG,1
Brad Wilson,K,CLE,-5
Bradley Green,P,IND,-2
Bret Kovacs,K,DET,-3
Brett Thorson,P,JAX,0
Brock Taylor,K,NYJ,3
Cameron Dicker,K,LAC,-3
Conor Talty,K,LAR,-2
Daniel Colvin,K,CAR,3
Danny Donnell,P,DEN,-2
Decam Duley,P,ATL,0
Dwight Walker,P,MIA,-5
Dylan Joyce,P,GB,-3
Eddie Czaplicki,P,WAS,3
Ezra Feldman,P,LV,-1
Garrett Jackson,P,PIT,-7
Ian Schwartz,P,NO,-3
Jack Browning,K,DEN,1
Jai Patel,K,BUF,-5
Jake Brackett,K,MIA,-10
Jamie Gillan,P,NYG,2
Jared Zirkel,K,CIN,0
Joey Matthews,K,SEA,-5
Joon Cho,K,IND,2
Joshua Karty,K,MIN,9
Ka'imi Fairbairn,K,NE,2
Kyle Parker,P,HOU,0
Laith Vaughan,K,TEN,-7
Lukas Halvorsen,K,GB,4
Mac Rudd,K,ATL,2
Mason Fletcher,P,BUF,1
Mason Shipley,K,HOU,-4
Mateo Galindo,K,SF,0
Matthew Weaver,P,LAC,0
Michael Kern,P,DAL,0
Mitchell Lake,P,ARI,0
Palmer Williams,P,MIN,1
Pat Williams,K,LV,3
Peyton Woodring,K,KC,2
Pressley Harvin III,P,CIN,0
Riley Norton,P,NE,1
Riley Thompson,P,NYJ,-2
Ryland Lyles,P,PHI,-1
Ryland Stromberg,K,BAL,1
Tommy Doman,P,CHI,2
Tommy Townsend,P,BAL,-2
Tory Taylor,P,CAR,-2
Travis Svendsen,P,SEA,1
Trent Carmichael,K,CHI,5
Trevor Lawrence,P,DET,4
Tristan Alvano,K,DAL,-2
Tyler Kinsman,P,TEN,-2
Victor Bennett,K,WAS,-9
Will Ferrin,K,ARI,4
Will Reichard,K,JAX,2
