Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
10,HB,Nate,Frazier,Nate Frazier,PIT,408,0,2,175,268,36,524,252,True,0,122,0,0,29,0,0,9,19,0,30,0,0,0,0,1,16,16,1,28,8,Nate,Frazier,,2525.0,2523.0,5.0,28.0,3.0,28.0,Signed,Star,78.0,0.0,0.0,PIT,tier_4,1290.0763358778627,1066.1721854304635,0.5625,17.17557251908397,0.06467181467181467,PIT,-2.0
87,WR,Antonio,Williams,Antonio Williams,CHI,0,0,2,1,664,70,410,258,True,0,1,0,0,42,0,0,9,0,0,1,0,0,0,0,2,10,10,0,0,0,Antonio,Williams,,383.0,381.0,8.0,29.0,7.0,0.0,Signed,Normal,71.0,0.0,0.0,CHI,tier_5,1619.5121951219514,2223.627906976744,0.2,4.878048780487805,0.2634920634920635,CHI,9.0
88,QB,Nico,Iamaleava,Nico Iamaleava,TEN,288,3567,0,152,0,0,1073,0,True,331,58,505,9,0,0,4,9,35,75,11,0,0,31,20,0,16,16,4,29,2,Nico,Iamaleava,,3030.0,3028.0,7.0,29.0,1.0,29.0,Signed,Superstar,85.0,0.0,0.0,TEN,tier_2,268.4063373718546,1489.6551724137933,0.125,1.863932898415657,0.0,,
89,TE,Pearce,Spurlin III,Pearce Spurlin III,TEN,0,0,4,0,667,40,998,260,True,0,0,0,0,53,0,0,9,0,0,1,0,0,0,0,4,14,14,0,29,0,Pearce,Spurlin III,,2333.0,2331.0,6.0,27.0,1.0,29.0,Signed,XFactor,92.0,0.0,0.0,TEN,tier_1,668.3366733466934,1812.2264150943392,0.2857142857142857,4.008016032064128,0.2120405324855951,TEN,-1.0
94,QB,Michael,Penix Jr.,Michael Penix Jr.,DAL,0,0,0,0,0,0,16,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,10,0,Michael,Penix Jr.,,3234.0,3232.0,9.0,33.0,2.0,10.0,Signed,Normal,64.0,0.0,0.0,DAL,tier_6,0.0,,0.0,0.0,0.0,,
96,QB,Kyrie,Griffith,Kyrie Griffith,MIN,0,0,0,0,0,0,52,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,30,0,Kyrie,Griffith,KyrieGriffith_30732,3410.0,3408.0,3.0,25.0,7.0,30.0,Signed,Normal,61.0,0.0,0.0,MIN,tier_6,0.0,,0.0,0.0,0.0,,
98,QB,Maalik,Murphy,Maalik Murphy,DEN,0,0,0,0,0,0,4,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,3,0,Maalik,Murphy,,2375.0,2373.0,6.0,29.0,3.0,3.0,Signed,Normal,64.0,0.0,0.0,DEN,tier_6,0.0,,0.0,0.0,0.0,,
124,QB,Davis,Stark,Davis Stark,GB,0,0,0,0,0,0,5,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,19,0,Davis,Stark,DavisStark_3363233,2112.0,2110.0,0.0,22.0,63.0,19.0,Signed,Normal,59.0,0.0,0.0,GB,tier_6,0.0,,0.0,0.0,0.0,,
145,TE,Micah,Jones,Micah Jones,LV,0,0,3,0,494,57,1019,207,True,0,0,0,0,44,0,0,9,0,0,2,0,0,0,0,2,15,15,0,22,0,Micah,Jones,MicahJones_29527,3168.0,3166.0,4.0,26.0,5.0,22.0,Signed,Star,79.0,0.0,0.0,LV,tier_4,484.7890088321884,1616.727272727273,0.13333333333333333,1.9627085377821392,0.12618135376756065,LV,-4.0
146,WR,Gatlin,Bair,Gatlin Bair,LV,6,0,3,0,621,67,729,157,True,0,2,0,0,47,0,0,9,3,0,1,0,0,0,0,3,16,16,0,22,0,Gatlin,Bair,,2594.0,2592.0,6.0,27.0,3.0,22.0,Signed,Star,79.0,0.0,0.0,LV,tier_4,860.0823045267489,1861.7142857142856,0.1875,4.11522633744856,0.14870689655172414,LV,-2.0
148,QB,Jason,Simmons,Jason Simmons,NO,0,0,0,0,0,0,28,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,26,0,Jason,Simmons,JasonSimmons_3163226,3586.0,3584.0,2.0,24.0,63.0,26.0,Signed,Normal,63.0,0.0,0.0,NO,tier_6,0.0,,0.0,0.0,0.0,,
151,QB,David,Looker,David Looker,TB,0,0,0,0,0,0,9,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,5,0,David,Looker,DavidLooker_33643,2452.0,2450.0,0.0,22.0,6.0,5.0,Signed,Normal,64.0,0.0,0.0,TB,tier_6,0.0,,0.0,0.0,0.0,,
152,QB,Noah,Hopkins,Noah Hopkins,JAX,135,2994,0,59,0,0,620,0,True,289,25,448,5,0,0,2,9,33,93,4,0,0,30,23,0,16,9,2,16,0,Noah,Hopkins,NoahHopkins_3162,1890.0,1888.0,2.0,24.0,4.0,16.0,Signed,Normal,69.0,0.0,0.0,JAX,tier_6,217.74193548387098,1620.0,0.0,0.0,0.0,,
159,QB,Jourdan,Boone,Jourdan Boone,CAR,256,3646,0,160,0,0,1154,0,True,325,43,493,15,0,0,5,9,45,50,12,0,0,29,25,0,16,16,7,20,3,Jourdan,Boone,JourdanBoone_3118,3216.0,3214.0,2.0,25.0,1.0,20.0,Signed,Normal,76.0,0.0,0.0,CAR,tier_4,221.83708838821488,1786.046511627907,0.1875,2.5996533795493937,0.0,,
160,WR,Pofele,Ashlock,Pofele Ashlock,CAR,0,0,0,0,647,26,985,105,True,0,0,0,0,57,0,0,9,0,0,0,0,0,0,0,5,14,14,0,20,0,Pofele,Ashlock,,1983.0,1981.0,6.0,28.0,63.0,20.0,Signed,Normal,81.0,0.0,0.0,CAR,tier_3,656.8527918781726,1634.5263157894738,0.35714285714285715,5.076142131979695,0.20280542277250999,CAR,-5.0
178,QB,J.J.,McCarthy,J.J. McCarthy,MIA,0,0,0,0,0,0,95,0,True,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,1,0,11,0,J.J.,McCarthy,McCarthyJJ_14610,3206.0,3204.0,9.0,30.0,1.0,11.0,Signed,Star,68.0,0.0,0.0,MIA,tier_6,0.0,,0.0,0.0,0.0,,
184,QB,Faizon,Brandon,Faizon Brandon,TB,10,473,0,0,0,0,186,0,True,36,6,60,1,0,0,0,9,3,82,0,0,0,8,4,0,16,2,0,5,0,Faizon,Brandon,FaizonBrandon_2914,3454.0,3452.0,4.0,25.0,1.0,5.0,Signed,Normal,67.0,0.0,0.0,TB,tier_6,53.763440860215056,500.0,0.0,0.0,0.0,,
