Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
18,QB,Malachi,Nelson,Malachi Nelson,SEA,386,3881,0,143,0,0,985,0,True,355,75,537,13,0,0,4,16,40,26,7,0,0,34,18,0,15,15,5,27,3,Malachi,Nelson,3587.0,3585.0,11.0,27.0,Signed,86.0,0.0,0.0,SEA,tier_2,391.8781725888325,1544.0,0.2,3.045685279187817,,
32,TE,Shevon,Wiggins,Shevon Wiggins,NYJ,0,0,3,0,616,24,1148,341,True,0,0,0,0,66,0,0,16,0,0,3,0,0,0,0,2,15,15,0,17,0,Shevon,Wiggins,2420.0,2418.0,0.0,17.0,Signed,76.0,0.0,0.0,NYJ,tier_4,536.5853658536586,1344.0000000000002,0.13333333333333333,1.7421602787456445,NYJ,-4.0
35,HB,DaWann,Logan,DaWann Logan,IND,1037,0,1,432,323,27,784,236,True,0,232,0,0,48,0,11,16,61,0,16,0,0,0,0,4,14,14,8,9,4,DaWann,Logan,2839.0,2837.0,3.0,9.0,Signed,75.0,0.0,0.0,IND,tier_4,1734.6938775510203,1277.1857142857143,0.5714285714285714,10.204081632653061,IND,1.0
36,TE,Travis,McClain,Travis McClain,CAR,0,0,0,0,650,28,1081,295,True,0,0,0,0,59,0,0,16,0,0,0,0,0,0,0,3,15,15,1,20,0,Travis,McClain,1079.0,1077.0,9.0,20.0,Signed,79.0,0.0,0.0,CAR,tier_4,601.2950971322849,1586.4406779661017,0.2,2.7752081406105455,CAR,-2.0
51,WR,Courtland,Hearst,Courtland Hearst,SEA,0,0,0,0,640,24,492,245,True,0,0,0,0,51,0,0,16,0,0,0,0,0,0,0,4,11,11,2,27,0,Courtland,Hearst,1794.0,1792.0,7.0,27.0,Signed,76.0,0.0,0.0,SEA,tier_4,1300.8130081300812,1807.0588235294117,0.36363636363636365,8.130081300813009,SEA,5.0
61,HB,Will,Brock,Will Brock,NE,103,0,0,36,25,16,331,18,True,0,21,0,0,3,0,1,16,36,0,1,0,0,0,0,0,15,1,0,21,1,Will,Brock,357.0,355.0,6.0,21.0,Signed,74.0,0.0,0.0,NE,tier_5,386.7069486404834,1437.5,0.06666666666666667,3.0211480362537766,NE,4.0
62,WR,David,Teague,David Teague,ARI,13,0,3,0,767,26,796,309,True,0,8,0,0,66,0,0,16,4,0,0,0,0,0,0,3,13,13,0,6,0,David,Teague,652.0,650.0,4.0,6.0,Signed,80.0,0.0,0.0,ARI,tier_3,979.8994974874372,1545.2432432432431,0.23076923076923078,3.7688442211055273,ARI,-2.0
65,WR,Brayden,Llyod Jr,Brayden Llyod Jr,NYG,5,0,2,0,853,75,826,322,True,0,3,0,0,62,0,0,16,4,0,0,0,0,0,0,9,15,15,0,15,0,Brayden,Llyod Jr,1684.0,1682.0,3.0,15.0,Signed,80.0,0.0,0.0,NYG,tier_3,1038.7409200968523,1912.8000000000002,0.6,10.895883777239709,NYG,4.0
76,WR,Jamaal,Jones,Jamaal Jones,PHI,0,0,12,0,682,50,847,140,True,0,0,0,0,38,0,0,16,0,0,1,0,0,0,0,2,15,15,0,12,0,Jamaal,Jones,3216.0,3214.0,0.0,12.0,Signed,83.0,0.0,0.0,PHI,tier_3,805.1948051948052,2584.421052631579,0.13333333333333333,2.3612750885478158,PHI,-5.0
138,HB,Warren,Edwards,Warren Edwards,DEN,1152,0,1,580,500,44,696,366,True,0,212,0,0,44,0,11,16,75,0,24,0,0,0,0,1,13,13,4,3,9,Warren,Edwards,885.0,883.0,2.0,3.0,Signed,94.0,0.0,0.0,DEN,tier_1,2373.563218390804,1631.25,0.7692307692307693,14.367816091954023,DEN,0.0
150,TE,Justin,Graham,Justin Graham,LAR,6,0,1,0,143,17,812,98,True,0,3,0,0,22,0,0,16,4,0,1,0,0,0,0,0,15,3,0,23,0,Justin,Graham,2912.0,2910.0,7.0,23.0,Signed,69.0,0.0,0.0,LAR,tier_6,183.4975369458128,895.68,0.0,0.0,LAR,-3.0
156,TE,Jonathan,Goodson,Jonathan Goodson,DEN,3,0,0,0,130,19,515,51,True,0,1,1,0,15,0,0,16,3,0,1,0,0,0,0,0,15,1,0,3,0,Jonathan,Goodson,3333.0,3331.0,3.0,3.0,Signed,71.0,0.0,0.0,DEN,tier_5,258.252427184466,1226.25,0.0,0.0,DEN,-4.0
161,TE,Dexter,Rich,Dexter Rich,LAC,18,0,0,0,97,23,486,58,True,0,6,0,0,14,0,0,16,6,0,0,0,0,0,0,2,15,1,1,7,0,Dexter,Rich,3586.0,3584.0,1.0,7.0,Signed,71.0,0.0,0.0,LAC,tier_5,236.6255144032922,968.4000000000001,0.13333333333333333,4.11522633744856,LAC,-2.0
