FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,HOU,2
Aaron Brackins,K,BAL,-3
Adam Williams,P,ATL,-3
Alan Brackett,P,MIA,3
Alec McPherson,K,WAS,5
Alex McPherson,K,LAR,-6
Alex Saunders,K,IND,-3
Andrew Richardson,P,LAC,1
Bernard Donaldson,K,MIN,2
Blake Gillikin,P,DEN,-2
Braden Mann,P,CIN,2
Braxton King,P,NYG,0
Brett Wittman,P,ARI,1
Bryan Talley,K,TEN,4
Bryce McFerson,P,WAS,1
Cade York,K,NO,-1
Caleb Zeigler,P,NYJ,2
Carter Abraham,P,BAL,2
Charlie Copeland,K,CAR,-5
Chase Cook,K,DEN,-1
Chris Edwards,P,BUF,0
Chris Ross,K,TB,4
Clyde Darby,P,SEA,2
Colin Hartman,K,CLE,0
Connor Smith,P,MIN,1
Curtis Monroe,P,JAX,0
Damon Wilcox,P,KC,0
Daniel Lee,P,DET,1
David Foster,P,NE,-2
Dennis Abraham,K,JAX,1
Devin Tanley,K,GB,4
Ethan Moczulski,K,LAC,3
Evan McPherson,K,CIN,-2
Gabe Brkic,K,BUF,-5
Gary Paulson,P,IND,1
Grant Wade,K,NE,4
Isaiah Hamilton,K,CHI,-3
Jack Fox,P,CLE,-1
Jack Podlesny,K,PIT,-2
James Williams,K,ATL,-3
Johnny Webster,K,PHI,1
Joshua Conwell,P,PHI,-3
Kai Kroeger,P,TB,1
Kolton Hall,P,PIT,-2
Lane Decker,P,LAR,-3
Matt Walker,K,DAL,4
Michael Perez,K,SEA,-1
Michael Smith,K,ARI,-1
Michael Turk,P,TEN,3
Mikal Childress,P,DAL,0
Nathan Dibert,K,MIA,-2
Nathan Porter,K,LV,-8
Paul Robbins,P,NO,0
Peter Williams,P,LV,1
Rhett Bush,P,SF,1
Scott Groves,K,HOU,2
Shane Barker,K,NYG,-5
TJ Clifford,K,SF,6
Ted McCoy,K,KC,-7
Tommy Rich,K,NYJ,-2
Tommy Townsend,P,GB,3
Trevor Hardy,P,CHI,-2
Ty Dillon,K,DET,0
Tyler Perkins,P,CAR,1
