FullName,Position,TeamName,SkillPointOL
Aaryn Parks,LG,CHI,-1
Amir Herring,LG,ATL,9
Anthony Calhoun,LT,TEN,0
Austin Keiser,RT,TB,0
Beaux Limmer,LG,NO,-3
Benjamin Eppard,C,BUF,4
Bill Barnes,LT,LAC,-1
Blaine Madden,LT,DEN,1
Braydon Hall,RT,PIT,-2
Brenton Mayes,LT,BUF,-4
Brian Downs,LT,WAS,-2
Brian Ruggs,C,LV,1
Cade McConnell,LT,CAR,-4
Caleb Holloway,LT,SF,1
Cameron Jurgens,C,JAX,9
Carson Edmonds,LT,MIA,4
Charlie Dodson,C,NO,-2
Chris Boss,LG,ATL,4
Chris Spencer,LT,TEN,0
Chris Winslow,RG,WAS,-2
Chuck Garfield,RT,HOU,4
Cody Lovell,C,ARI,3
Craig McQueen,RT,JAX,1
D.J. Rogers,RG,LAC,1
Dakota McCain,LG,SF,-1
Dalton Russell,RT,IND,-2
Damon Alexander,RG,IND,1
Daniel Ellison,LG,GB,-1
Danny Townsend,LG,LAR,-5
Darrius Davis,RT,DAL,-1
DeVante Harris,LT,CLE,-2
DeVante Stoudemire,LG,KC,1
Deandre Mitchell,RG,CLE,0
Devin Middleton,C,SEA,0
Devon Campbell,RG,CAR,-1
Dominique Metcalf,LG,PHI,4
Donovan Jackson,RG,NE,0
Earnest Greene,RG,BUF,-6
Elijah Pritchett,LT,ATL,3
Emil Ekiyor Jr.,RG,MIA,9
Enrique Reyes,RT,LAR,0
Eric Roseman,C,NYG,-4
Ethan Chamberlain,C,DET,-3
Ezra Dotson-Oyetade,C,CAR,1
Francis Mauigoa,LT,NYJ,-3
Gabe Ford,C,PHI,-6
Grant Wallner,RG,MIN,12
Greg Crippen,RG,CIN,12
Gregory Andrews,RG,LAR,-2
Hunter Mullen,RT,DEN,12
Isendre Ahfua,LG,BUF,0
JC Latham,LT,MIN,0
Jaheim Franklin,LT,JAX,-2
Jamaal Jarrett,RT,SF,4
James Brockermeyer,C,TEN,1
Jamie Holliday,RG,PIT,4
Jamison Burgess,RT,MIA,-1
Jaren Moore,RT,NYG,-8
Jay Scott,RG,TEN,-6
Jeff Brooks,LG,CIN,1
Jeremiah Cobbs,LT,BAL,-4
Jeremiah Eisen,LT,NO,2
Jeremiah Mason,C,TB,1
Joe Bayer,C,HOU,-2
Joe Brunner,RT,CAR,9
Joey Wallace,RG,PHI,-7
Josh Bronner,RT,KC,1
Josh Fisher,RG,CHI,4
Justin Foster,RG,NO,-2
Kadyn Proctor,RT,WAS,1
Kam Dewberry,RG,BAL,1
Kelvin Banks,RT,SEA,0
Kenyon Green,RG,LV,-1
Kevin Douglas,LG,BAL,-2
Khalon Davis,LT,NYG,1
Kinglsey Suamataia,LT,LAR,-6
Kiyaunta Goodwin,RT,NYJ,-2
Klay Donaghy,C,KC,12
LaDarius Combs,RT,PHI,4
Larry Gaines,LG,MIA,-3
Larry Samuel,RG,DEN,-5
Lionel Richards,RG,SF,4
Logan Parr,RG,TB,9
Logan Reichert,LT,SEA,-4
Logan Starkey,RG,NYJ,1
Luke Darby,RT,LV,-2
Luke Matthews,C,PIT,4
Luke Roth,RT,NO,-3
Marcus Ferrell,LT,TB,0
Marcus Kendricks,RG,DET,-1
Mark Finney,C,CLE,-2
Mark McLaughlin,LG,MIN,-3
Mark Welch,C,SF,4
Marquise Goddard,C,ATL,-3
Mateo Camarillo,LT,PHI,6
Matt Kendricks,C,IND,1
Matthew Middleton,C,MIN,-6
Matthew Weston,LG,NYG,-1
Morris Thornton,C,NYJ,0
Najee Bethel,C,WAS,-3
Noah Patterson,RG,JAX,4
Oscar Kramer,LG,HOU,4
Owen Holliday,RT,CLE,10
Pat Nowak,C,MIA,4
Penei Sewell,RT,DET,-7
Peter Steele,LG,LAC,-5
Phillip Koerner,RT,ATL,3
Quandre Brooks,LG,DET,-1
Raekwon Heyward,RG,PIT,-4
Randy Berry,RG,DAL,4
Reuben Fatheree II,LT,HOU,1
Ricky Manning,LG,DAL,1
Ricky McKinney,RT,LAC,1
Roy Barrett,RT,NE,-12
Ryan Stevens,LT,IND,-2
Sal Rowe,C,CIN,0
Scott Owens,RG,ARI,0
Sean McCormick,RG,CAR,-6
Seth Windham,LT,CIN,0
Sheridan Wilson,LG,SEA,1
Sioape Vatikani,LG,CLE,10
Skylar Baker,C,DEN,4
Spencer Erickson,C,BAL,-2
Stephen Poole,RT,BAL,0
Stephon Owens,RT,DET,-2
Steven Douglas,LG,JAX,2
T.J. Gibson,LT,CIN,4
Terron Jones,LT,CHI,4
Thad Barber,C,NE,-6
Tim Becton,RT,ARI,-3
Titus Givens,LG,TEN,0
Tom Pace,LG,LV,-1
Travis Walker,RG,HOU,-3
Tremaine Green,RG,WAS,1
Treyvon Yarborough,LT,GB,-4
Troy Stearn,C,DAL,-3
Troy Tatum,RG,GB,0
Tyler Gonzalez,RT,GB,0
Tyler Linderbaum,C,LAR,4
Tyron Callahan,LG,TB,-1
Von Jefferson,C,GB,-2
Walter Lewis,LG,IND,0
Will Campbell,RT,BUF,-2
Will Langford,LT,DAL,-2
Zac Peerman,LG,ARI,-2
Zach Ferguson,RG,NYG,-3
Zhaire Guyton,C,LAC,-2
