Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
4,LG,LaDarius,Henderson,LaDarius Henderson,MIA,16,0,2,1137,False,16,11,0,3,LaDarius,Henderson,3463.0,3465.0,2.0,24.0,11.0,Signed,Normal,70.0,0.0,0.0,MIA,tier_5,1.759014951627089,MIA,6
15,LT,Taylor,Decker,Taylor Decker,CAR,16,4,16,1108,False,16,20,0,3,Taylor,Decker,685.0,687.0,10.0,32.0,20.0,Signed,Star,75.0,0.0,0.0,CAR,tier_4,14.44043321299639,CAR,-3
19,C,Connor,Williams,Connor Williams,MIA,12,0,5,874,False,12,11,0,3,Connor,Williams,3033.0,3035.0,8.0,29.0,11.0,Signed,Normal,84.0,0.0,0.0,MIA,tier_3,5.720823798627002,MIA,-1
29,C,Ryan,Jensen,Ryan Jensen,TB,16,2,8,1102,False,16,5,0,3,Ryan,Jensen,1444.0,1446.0,13.0,35.0,5.0,Signed,Star,62.0,0.0,0.0,TB,tier_6,7.259528130671506,TB,-2
32,RT,Emery,Jones Jr,Emery Jones Jr,NO,16,2,10,1109,False,16,26,0,3,Emery,Jones Jr,1627.0,1629.0,0.0,22.0,26.0,Signed,Normal,71.0,0.0,0.0,NO,tier_5,9.017132551848512,NO,0
36,LT,Wyatt,Milum,Wyatt Milum,PIT,14,1,6,644,False,14,28,0,3,Wyatt,Milum,1513.0,1515.0,1.0,24.0,28.0,Signed,Normal,67.0,0.0,0.0,PIT,tier_6,9.316770186335404,PIT,4
44,RT,Braden,Smith,Braden Smith,HOU,13,2,6,931,False,13,31,0,3,Braden,Smith,2582.0,2584.0,8.0,30.0,31.0,Signed,Star,82.0,0.0,0.0,HOU,tier_3,6.44468313641246,HOU,1
50,LT,Jared,Penning,Jared Penning,DEN,8,0,8,554,False,13,3,0,3,Jared,Penning,404.0,406.0,1.0,24.0,3.0,Signed,Normal,68.0,0.0,0.0,DEN,tier_6,14.44043321299639,DEN,-2
82,RG,Lance,Heard,Lance Heard,HOU,15,1,2,1086,False,15,31,0,3,Lance,Heard,1404.0,1406.0,0.0,22.0,31.0,Signed,Normal,71.0,0.0,0.0,HOU,tier_5,1.8416206261510129,HOU,0
83,LG,Jonah,Jackson,Jonah Jackson,TB,15,4,10,1057,False,16,5,0,3,Jonah,Jackson,1400.0,1402.0,6.0,29.0,5.0,Signed,Star,70.0,0.0,0.0,TB,tier_5,9.460737937559129,TB,-6
