Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
24,HB,Kenneth,Walker III,Kenneth Walker III,SEA,996,0,5,270,386,38,721,285,True,0,257,0,0,38,0,8,3,52,0,20,0,0,0,0,3,15,15,1,27,11,Kenneth,Walker III,2922.0,2924.0,4.0,25.0,27.0,Signed,XFactor,91.0,0.0,0.0,SEA,tier_1,1916.7822468793343,1201.3016949152543,0.9333333333333333,19.41747572815534,SEA,0.0
31,WR,DeVonta,Smith,DeVonta Smith,PHI,6,0,0,0,1047,64,1026,387,True,0,1,0,0,80,0,0,3,6,0,0,0,0,0,0,9,16,16,0,12,0,DeVonta,Smith,2587.0,2589.0,5.0,27.0,12.0,Signed,XFactor,92.0,0.0,0.0,PHI,tier_1,1026.3157894736844,1883.5555555555557,0.5625,8.771929824561402,PHI,0.0
43,WR,Mavin,Anderson,Mavin Anderson,MIA,0,0,0,0,229,19,399,103,True,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,1,11,7,0,11,0,Mavin,Anderson,2784.0,2786.0,0.0,23.0,11.0,Signed,Normal,74.0,0.0,0.0,MIA,tier_5,573.9348370927319,1433.7391304347825,0.09090909090909091,2.506265664160401,MIA,-5.0
50,TE,Luke,Hasz,Luke Hasz,CAR,0,0,3,0,274,37,927,146,True,0,0,0,0,31,0,0,3,0,0,4,0,0,0,0,0,14,13,1,20,0,Luke,Hasz,1923.0,1925.0,0.0,22.0,20.0,Signed,Normal,72.0,0.0,0.0,CAR,tier_5,295.57713052858685,1272.774193548387,0.0,0.0,CAR,-6.0
61,WR,Noah,Thomas,Noah Thomas,TB,0,0,1,0,450,74,547,150,True,0,0,0,0,29,0,0,3,0,0,0,0,0,0,0,2,16,11,0,5,0,Noah,Thomas,942.0,944.0,0.0,22.0,5.0,Signed,Normal,74.0,0.0,0.0,TB,tier_5,822.6691042047532,2234.4827586206898,0.125,3.656307129798903,TB,-1.0
89,HB,Javonte,Williams,Javonte Williams,DEN,358,0,0,103,84,16,425,75,True,0,91,0,0,10,0,3,3,47,0,3,0,0,0,0,0,12,0,0,3,4,Javonte,Williams,3047.0,3049.0,5.0,26.0,3.0,Signed,Star,80.0,0.0,0.0,DEN,tier_3,1040.0,1183.128712871287,0.3333333333333333,9.411764705882351,DEN,-3.0
100,WR,Jaylen,Waddle,Jaylen Waddle,MIA,6,0,0,0,889,68,746,296,True,0,1,0,0,60,0,0,3,6,0,4,0,0,0,0,7,12,12,0,11,0,Jaylen,Waddle,2916.0,2918.0,5.0,27.0,11.0,Signed,Superstar,90.0,0.0,0.0,MIA,tier_1,1199.7319034852546,2128.1311475409834,0.5833333333333334,9.383378016085791,MIA,2.0
102,TE,Dalton,Schultz,Dalton Schultz,HOU,0,0,5,0,705,52,1172,278,True,0,0,0,0,63,0,0,3,0,0,0,0,0,0,0,7,16,16,0,31,0,Dalton,Schultz,2488.0,2490.0,8.0,30.0,31.0,Signed,Superstar,77.0,0.0,0.0,HOU,tier_4,601.5358361774744,1611.4285714285713,0.4375,5.972696245733789,HOU,3.0
103,HB,James,Cook,James Cook,PIT,713,0,2,236,210,31,493,218,True,0,170,0,0,37,0,4,3,60,0,11,0,0,0,0,0,11,11,2,28,3,James,Cook,565.0,567.0,4.0,26.0,28.0,Signed,Star,79.0,0.0,0.0,PIT,tier_4,1872.210953346856,1179.4202898550723,0.2727272727272727,6.085192697768763,PIT,-4.0
123,WR,A.T.,Perry,A.T. Perry,NO,0,0,1,0,954,68,783,311,True,0,0,0,0,67,0,0,3,0,0,1,0,0,0,0,5,14,14,0,26,0,A.T.,Perry,2213.0,2215.0,3.0,26.0,26.0,Signed,Normal,78.0,0.0,0.0,NO,tier_4,1218.3908045977012,2050.3880597014922,0.35714285714285715,6.385696040868455,NO,5.0
132,FB,Jaheim,Bell,Jaheim Bell,HOU,116,0,3,41,63,13,400,66,True,0,23,0,0,8,0,1,3,43,0,1,0,0,0,0,1,16,9,0,31,0,Jaheim,Bell,3308.0,3310.0,2.0,25.0,31.0,Signed,Normal,81.0,0.0,0.0,HOU,tier_3,447.5,1415.225806451613,0.0625,2.5,,
146,HB,Nicholas,Singleton,Nicholas Singleton,NYJ,311,0,3,56,77,23,368,72,True,0,81,0,0,9,0,2,3,29,0,3,0,0,0,0,1,16,0,1,17,3,Nicholas,Singleton,3021.0,3023.0,1.0,22.0,17.0,Signed,Normal,78.0,0.0,0.0,NYJ,tier_4,1054.3478260869565,1159.8666666666666,0.25,10.869565217391305,NYJ,-3.0
