Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
12,SS,Calen,Bullock,Calen Bullock,PIT,True,0,0,949,1,27,0,73,0,3,0,0,0,0,0,0,4,0,28,16,1,1,0,16,16,Calen,Bullock,3250.0,3252.0,2.0,23.0,28.0,Signed,Star,85.0,0.0,0.0,PIT,tier_2,18.70389884088514,19.17808219178082,2.107481559536354,22.12855637513172,105.3740779768177,4.214963119072708,0.0,-0.25,PIT,5
17,FS,Hunter,Washington,Hunter Washington,HOU,True,0,13,1097,0,30,33,56,0,3,27,13,0,1,0,0,7,0,31,1,0,0,0,16,16,Hunter,Washington,1753.0,1755.0,0.0,23.0,31.0,Signed,Star,72.0,0.0,0.0,HOU,tier_5,0.9115770282588879,0.9115770282588879,0.9115770282588879,7.292616226071103,78.39562443026436,6.381039197812215,2.461257976298997,1.25,HOU,2
18,RE,Justice,Finkley,Justice Finkley,HOU,True,0,0,554,0,8,15,24,0,3,1,0,0,0,0,0,0,0,31,10,0,4,0,16,8,Justice,Finkley,1035.0,1037.0,0.0,22.0,31.0,Signed,Normal,76.0,0.0,0.0,HOU,tier_4,30.685920577617328,33.93501805054152,0.0,25.27075812274368,57.76173285198556,0.0,0.18050541516245489,0.0625,HOU,-2
23,CB,Kenyatta,Watson II,Kenyatta Watson II,HOU,True,0,0,1015,0,14,22,29,0,3,22,0,0,1,0,0,3,0,31,1,0,0,0,15,15,Kenyatta,Watson II,495.0,497.0,1.0,25.0,31.0,Signed,Star,80.0,0.0,0.0,HOU,tier_3,0.9852216748768472,0.9852216748768472,0.9852216748768472,3.940886699507389,42.364532019704434,2.9556650246305423,2.167487684729064,1.2666666666666666,HOU,-6
45,ROLB,Jacoby,Windmon,Jacoby Windmon,BUF,True,0,0,391,0,2,2,4,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,14,0,Jacoby,Windmon,3595.0,3597.0,2.0,25.0,2.0,Signed,Normal,66.0,0.0,0.0,BUF,tier_6,0.0,0.0,2.557544757033248,0.0,15.34526854219949,0.0,0.2557544757033248,0.07142857142857142,BUF,-4
48,RE,Joseph,Ossai,Joseph Ossai,CAR,True,0,0,488,0,16,14,21,1,3,0,0,0,0,0,0,1,0,20,7,0,2,0,12,0,Joseph,Ossai,2144.0,2146.0,5.0,26.0,20.0,Signed,Normal,68.0,0.0,0.0,CAR,tier_6,21.51639344262295,23.36065573770492,0.0,20.491803278688522,75.81967213114754,2.0491803278688527,0.0,-0.08333333333333333,CAR,-1
82,MLB,Zaire,Franklin,Zaire Franklin,CAR,True,22,0,929,1,36,40,71,1,3,29,0,0,0,0,0,6,0,20,2,1,0,0,16,16,Zaire,Franklin,928.0,930.0,8.0,30.0,20.0,Signed,Star,79.0,0.0,0.0,CAR,tier_4,2.1528525296017222,2.1528525296017222,2.1528525296017222,8.611410118406889,115.17761033369214,6.458557588805167,3.1216361679224973,1.4375,CAR,4
90,LE,Darren,Agu,Darren Agu,HOU,True,0,0,596,0,9,13,20,0,3,0,0,0,0,0,0,1,0,31,2,0,1,0,16,2,Darren,Agu,827.0,829.0,1.0,23.0,31.0,Signed,Normal,71.0,0.0,0.0,HOU,tier_5,6.291946308724832,7.046979865771812,0.0,6.7114093959731544,48.65771812080537,1.6778523489932886,0.0,-0.0625,HOU,-7
91,FS,Durante,Jones,Durante Jones,PHI,True,0,0,719,0,12,20,25,0,3,14,0,0,0,0,0,2,0,12,0,0,0,0,10,10,Durante,Jones,1413.0,1415.0,1.0,24.0,12.0,Signed,Star,72.0,0.0,0.0,PHI,tier_5,0.0,0.0,0.0,2.7816411682892905,51.46036161335188,2.7816411682892905,1.9471488178025034,1.2,PHI,-5
105,LE,Haason,Reddick,Haason Reddick,DEN,True,46,0,812,2,16,32,47,0,3,0,0,0,0,0,0,0,0,3,13,2,5,0,15,15,Haason,Reddick,2327.0,2329.0,9.0,31.0,3.0,Signed,Star,78.0,0.0,0.0,DEN,tier_4,26.785714285714285,29.556650246305416,4.926108374384237,22.167487684729064,77.58620689655173,0.0,0.0,0.0,DEN,0
