FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,0
Andres Borregales,K,PIT,1
Austin McNamara,P,NO,0
Blake Gillikin,P,GB,-5
Blake Grupe,K,NO,5
Brandon Aubrey,K,DAL,-3
Brett Thorson,P,JAX,-2
Bryan Anger,P,DAL,-3
Cade York,K,NYG,-4
Cam Little,K,MIA,-2
Camden Lewis,K,CLE,-6
Cameron Dicker,K,LAC,0
Chad Ryland,K,NE,-3
Chase McLaughlin,K,HOU,1
Dean Janikowski,K,DET,1
Dominic Zvada,K,CHI,2
Drew Stevens,K,MIN,3
Dustin Hopkins,K,GB,5
Eddie Czaplicki,P,WAS,-2
Eddy Pineiro,K,CAR,2
Ethan Evans,P,LAR,0
Evan McPherson,K,CIN,2
Greg Zuerlein,K,NYJ,3
Griffin Kell,K,TB,2
Harrison Butker,K,KC,3
J.K. Scott,P,LAC,1
Jack Browning,K,LAR,7
Jack Fox,P,DET,-3
Jake Bailey,P,CAR,0
Jake Elliott,K,PHI,-1
Jake Moody,K,SF,-2
James Burnip,P,MIA,3
James Ferguson-Reynolds,P,NYJ,-2
Jamie Gillan,P,NYG,1
Jason Myers,K,SEA,0
Jeremy Crawshaw,P,PHI,-3
Jesse Mirco,P,BAL,0
John Hoyland,K,TEN,-4
Johnny Hekker,P,CIN,2
Joshua Karty,K,DEN,3
Justin Tucker,K,BAL,-6
Ka'imi Fairbairn,K,WAS,-1
Kai Kroeger,P,HOU,-4
Lachlan Wilson,P,ARI,1
Laine Wilkins,P,CHI,-1
Logan Cooke,P,TEN,-2
Mark Vassett,P,TB,1
Mason Fletcher,P,BUF,4
Matt Gay,K,IND,-1
Mitch Wishnowsky,P,SF,4
Nathanial Vakos,K,LV,1
Pressley Harvin III,P,PIT,-3
Rigoberto Sanchez,P,SEA,-1
Riley Dixon,P,DEN,-5
Riley Thompson,P,ATL,0
Ryan Rehkow,P,NE,-3
Ryan Wright,P,MIN,3
Stephen Kotsanlee,P,CLE,1
Tommy Townsend,P,KC,-2
Tory Taylor,P,IND,0
Tyler Bass,K,BUF,-7
Will Ferrin,K,ARI,3
Will Reichard,K,JAX,-1
Younghoe Koo,K,ATL,0
