FullName,Position,TeamName,SkillPointOff
A.J. Brown,WR,LV,5
A.J. Hurts,WR,GB,-4
AJ Barner,TE,NE,0
Agiye Hall,WR,LAC,-3
Ahmad Williams,WR,CAR,-5
Amant'e Moore,WR,NO,-4
Amar'e Thompson,HB,PHI,0
Andre Greene Jr,WR,IND,-1
Anthony Rutherford,HB,LAC,2
Antoine Terry,WR,HOU,-1
Antonio Charleston,HB,NYJ,0
Antwan Rushing,HB,HOU,0
Arik Gilbert,TE,ARI,-1
Ayden Williams,WR,NO,7
Beaux Collins,WR,LAR,-4
Ben McCann,TE,BAL,-1
Benji Beachum,TE,LAR,-4
Benji Gosnell,TE,DEN,1
Bernie Cooper,WR,GB,1
Blake Kinney,TE,NO,1
Braden Galloway,TE,GB,-1
Brandon Inniss,WR,HOU,-4
Braylon James,WR,NYG,-4
Bryce Bennett,WR,LAC,-2
Bryce Thurston,WR,CHI,-4
C.J. Blackburn,HB,MIN,0
C.J. Williams,WR,ATL,-1
Caleb Burton,WR,ARI,0
Camar Wheaton,HB,ARI,0
Cameron Seldon,WR,LAR,3
Casey Gibson,TE,DET,-1
Cecil Carmichael,TE,CIN,-2
Chase Lane,WR,MIA,-3
Chris Knott,HB,HOU,-1
Chris Olave,WR,DEN,0
Colston Loveland,TE,LV,-1
Connor McPhee,WR,DAL,-5
Connor Weston,TE,PHI,10
Courtland Hearst,WR,KC,3
D.J. Peters,HB,IND,4
D.K. Metcalf,WR,SEA,-2
Dakota Twitty,WR,LAR,-1
Dalton Stockton,TE,PIT,-6
Dalvin Dailey,HB,PIT,-6
Daniel Kennard,WR,ATL,0
Darnell Washington,TE,CIN,-2
Darrell Rolle,WR,MIA,-4
Darryl Bayless,HB,CIN,0
Daryl Thorne,TE,SEA,3
David Washington,WR,DET,8
David Winslow,WR,NYG,-2
De'Veon Scott,HB,MIA,-1
DeAndre Jennings,WR,SF,0
DeMarcus Thomas,WR,JAX,-7
DeVonta Smith,WR,MIN,-3
Deion Smith,WR,NYG,-9
Devin Sharper,HB,DET,-1
Drake London,WR,LAC,-6
Duce Robinson,TE,LAR,2
Emeka Egubka,WR,SF,-2
Emmett Golden,HB,DAL,4
Emmett Willis,HB,JAX,-1
Gage Wilcox,TE,DET,6
Garrett Wilson,WR,PHI,-3
Garris Leonard,TE,PHI,-1
Grant Borden,TE,ARI,-2
Hudson Henry,TE,KC,-1
Hykeem Williams,WR,MIA,-1
J.R. Cooke,WR,CLE,1
Ja'Marr Chase,WR,CIN,-7
Jack Pedersen,TE,NYJ,0
Jacoby Owens,WR,ARI,6
Jadan Blue,WR,WAS,-2
Jadon Haselwood,WR,CLE,-3
Jaedon Hayes,HB,KC,-3
Jake Briningstol,TE,TB,-2
Jake Johnson,TE,MIA,-5
Jaleel Skinner,TE,CHI,-4
Jalen Brown,WR,CLE,-5
Jalen King,HB,ARI,-3
Jalen McMillian,WR,ARI,-1
Jalen Shepherd,TE,IND,-1
Jalen Wydermyer,TE,WAS,3
James Bradley,WR,TEN,1
James McLane,TE,DAL,-2
Jamille Cumberland,TE,CAR,5
Jaquaize Pettaway,WR,NE,-4
Jason Gore,WR,NYJ,-1
Javonte Williams,HB,BUF,-3
Jaxson Smith-Njikba,WR,NYJ,1
Jaydon Blue,HB,NO,0
Jerry Manning,HB,TB,-3
Joel Culliver III,WR,TB,-4
John MacQueen,WR,TEN,0
John Metchie III,WR,MIA,-1
Jonathan Sims,HB,NYG,2
Jonathan Taylor,HB,LV,-7
Jordan Addison,WR,PHI,5
Jordan Hudson,WR,GB,-2
Jordan Whittington,WR,LV,-1
Josh Brown,WR,NO,-5
Jovantae Barnes,HB,DAL,10
Julian Fleming,WR,DAL,-1
Julian Wallace,TE,BUF,12
Justin Graham,TE,SF,-3
K.C. Matthews,WR,JAX,-3
Kaden Helms,TE,NYG,-4
Kaleb Brown,WR,TB,-2
Kasey Koerner,TE,BAL,1
Kavaughn Clark,HB,ATL,6
Kavonte Edwards,TE,WAS,2
Kayshon Boutte,WR,BUF,5
Kentrell Poe,TE,PIT,2
Kevin Coleman,WR,MIN,-4
Kordell Turner,WR,NYJ,-3
Kyle Pitts,TE,ATL,1
Kyle Sullivan,WR,PIT,5
LJ Johnson,HB,LV,0
LaRon Lindley,HB,PIT,6
Lawrence Brookins,WR,CHI,8
Le'Veon Moss,HB,DEN,1
Lloyd Bone,WR,SEA,-4
Luke Fryar,WR,NE,5
Luke Hasz,TE,TEN,1
Mar'Keise Irving,HB,CIN,-1
Mario Williams,WR,NO,-3
Mark Barnett,TE,TB,0
Mark Fletcher,HB,GB,2
Markell Hammond,HB,LV,-5
Marlon Hawkins,TE,MIN,2
Marshall Smith,HB,NYJ,-7
Marvin Middleton,WR,SF,-3
Matt Sullivan,WR,TB,-1
Matthew Jeffries,WR,BUF,1
Mavin Anderson,WR,DET,0
Mekhi Collins,WR,BAL,-2
Micah Parks,WR,PHI,2
Mike Gattis,WR,KC,-1
Mike Meredith,TE,TEN,3
Moliki Matavao,TE,CAR,-1
Myke Gales Jr,HB,IND,-5
Myles Montgomery,HB,BAL,2
Nate Castonzo,WR,PIT,-3
Nick Meerce,WR,BUF,-1
Nick Tull-Parrish,WR,WAS,-5
Nolan Hawkins,TE,LAC,7
Omarion Miller,WR,JAX,2
Paul Picard,WR,CAR,0
Quannel Hobbs,HB,JAX,-5
Quincey Oakley,WR,IND,-1
Rakim Jarrett,WR,DEN,1
Richard James,WR,DAL,4
Richard Young,HB,JAX,-3
Roderick Robinson II,HB,TEN,-5
Ross Dayne,HB,BAL,-3
Ryan Otton,TE,LAC,1
Ryan Wingo,WR,CHI,0
Sam Martin Jr.,HB,CLE,3
Samuel Singleton,HB,DEN,2
Sedirck Irvin Jr,HB,LAR,1
Shawn Peters,WR,CIN,6
Shazz Preston,WR,PIT,-5
Shelton Sampson Jr,WR,IND,-1
Shelvin Ellison,WR,BAL,-1
Stephen Davis,HB,NYG,0
Talyn Shettron,WR,SEA,0
Taylor Bright,HB,LAR,-3
Teddy Knox,WR,CHI,-4
Terrence Cofield,WR,PIT,1
Tetairoa McMillan,WR,KC,-1
Tony Carmichael,WR,DEN,-1
Travis McClain,TE,DAL,1
Trevor Capps,TE,MIN,3
Treyaun Webb,HB,HOU,-1
Treylon Burks,WR,TEN,-3
Treyvon Stamper,HB,LAC,3
Trumaine Collins,WR,MIN,2
Ty Pointer,HB,SEA,8
Tyler Donnell,TE,JAX,6
Tyler McGrath,TE,CLE,1
Tyler Morris,WR,ATL,5
Tyler Schilling,WR,HOU,0
Tyquan Dunn,WR,LV,-3
Tyquell Thomas,HB,NE,7
Tyreek Faulk,WR,DET,-1
Tyrus Washington,TE,HOU,0
Will Brock,HB,SF,2
Will Crockett,HB,CAR,-5
Will Shipley,HB,TEN,0
Xavier Worthy,WR,CAR,2
Zach Kirkpatrick,HB,SEA,2
Zachariah Branch,WR,CIN,-1
Zycarl Lewis,WR,WAS,6
