Position,RatingTier,StatCheck,StatValue,StatTier,SkillPoint,StatHigh,StatLow
HB,tier_0,RBScrimmageYardsPer300Touches,1600-7500,tier_0,1,7501,1600
HB,tier_0,RBScrimmageYardsPer300Touches,1400-1599,tier_1,0,1600,1400
HB,tier_0,RBScrimmageYardsPer300Touches,1200-1399,tier_2,-1,1400,1200
HB,tier_0,RBScrimmageYardsPer300Touches,1000-1199,tier_3,-5,1200,1000
HB,tier_0,RBScrimmageYardsPer300Touches,800-999,tier_4,-10,1000,800
HB,tier_0,RBScrimmageYardsPer300Touches,0-799,tier_5,-15,800,0
HB,tier_0,RBScrimmageTDsPerGame,0.90-5,tier_0,1,5.01,0.90
HB,tier_0,RBScrimmageTDsPerGame,0.65-0.89,tier_1,0,0.9,0.65
HB,tier_0,RBScrimmageTDsPerGame,0.55-0.64,tier_2,-1,0.65,0.55
HB,tier_0,RBScrimmageTDsPerGame,0.40-0.54,tier_3,-2,0.55,0.40
HB,tier_0,RBScrimmageTDsPerGame,0.20-0.39,tier_4,-4,0.4,0.20
HB,tier_0,RBScrimmageTDsPerGame,0.00-0.19,tier_5,-8,0.2,0.00
HB,tier_0,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_0,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_0,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_0,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_0,RUSHFUMBLES,4,tier_4,-3,4,4
HB,tier_0,RUSHFUMBLES,5-25,tier_5,-4,26,5
HB,tier_1,RBScrimmageYardsPer300Touches,1600-7500,tier_0,2,7501,1600
HB,tier_1,RBScrimmageYardsPer300Touches,1400-1599,tier_1,1,1600,1400
HB,tier_1,RBScrimmageYardsPer300Touches,1200-1399,tier_2,-1,1400,1200
HB,tier_1,RBScrimmageYardsPer300Touches,1000-1199,tier_3,-4,1200,1000
HB,tier_1,RBScrimmageYardsPer300Touches,800-999,tier_4,-8,1000,800
HB,tier_1,RBScrimmageYardsPer300Touches,0-799,tier_5,-10,800,0
HB,tier_1,RBScrimmageTDsPerGame,0.90-5,tier_0,2,5.01,0.90
HB,tier_1,RBScrimmageTDsPerGame,0.65-0.89,tier_1,1,0.9,0.65
HB,tier_1,RBScrimmageTDsPerGame,0.55-0.64,tier_2,0,0.65,0.55
HB,tier_1,RBScrimmageTDsPerGame,0.40-0.54,tier_3,-1,0.55,0.40
HB,tier_1,RBScrimmageTDsPerGame,0.20-0.39,tier_4,-3,0.4,0.20
HB,tier_1,RBScrimmageTDsPerGame,0.00-0.19,tier_5,-6,0.2,0.00
HB,tier_1,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_1,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_1,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_1,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_1,RUSHFUMBLES,4,tier_4,-3,4,4
HB,tier_1,RUSHFUMBLES,5-25,tier_5,-4,26,5
HB,tier_2,RBScrimmageYardsPer300Touches,1600-7500,tier_0,4,7501,1600
HB,tier_2,RBScrimmageYardsPer300Touches,1400-1599,tier_1,2,1600,1400
HB,tier_2,RBScrimmageYardsPer300Touches,1200-1399,tier_2,0,1400,1200
HB,tier_2,RBScrimmageYardsPer300Touches,1000-1199,tier_3,-3,1200,1000
HB,tier_2,RBScrimmageYardsPer300Touches,800-999,tier_4,-5,1000,800
HB,tier_2,RBScrimmageYardsPer300Touches,0-799,tier_5,-8,800,0
HB,tier_2,RBScrimmageTDsPerGame,0.90-5,tier_0,4,5.01,0.90
HB,tier_2,RBScrimmageTDsPerGame,0.65-0.89,tier_1,2,0.9,0.65
HB,tier_2,RBScrimmageTDsPerGame,0.55-0.64,tier_2,1,0.65,0.55
HB,tier_2,RBScrimmageTDsPerGame,0.40-0.54,tier_3,0,0.55,0.40
HB,tier_2,RBScrimmageTDsPerGame,0.20-0.39,tier_4,-2,0.4,0.20
HB,tier_2,RBScrimmageTDsPerGame,0.00-0.19,tier_5,-4,0.2,0.00
HB,tier_2,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_2,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_2,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_2,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_2,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_2,RUSHFUMBLES,5-25,tier_5,-4,26,5
HB,tier_3,RBScrimmageYardsPer300Touches,1600-7500,tier_0,5,7501,1600
HB,tier_3,RBScrimmageYardsPer300Touches,1400-1599,tier_1,3,1600,1400
HB,tier_3,RBScrimmageYardsPer300Touches,1200-1399,tier_2,0,1400,1200
HB,tier_3,RBScrimmageYardsPer300Touches,1000-1199,tier_3,-2,1200,1000
HB,tier_3,RBScrimmageYardsPer300Touches,800-999,tier_4,-4,1000,800
HB,tier_3,RBScrimmageYardsPer300Touches,0-799,tier_5,-6,800,0
HB,tier_3,RBScrimmageTDsPerGame,0.90-5,tier_0,5,5.01,0.90
HB,tier_3,RBScrimmageTDsPerGame,0.65-0.89,tier_1,3,0.9,0.65
HB,tier_3,RBScrimmageTDsPerGame,0.55-0.64,tier_2,2,0.65,0.55
HB,tier_3,RBScrimmageTDsPerGame,0.40-0.54,tier_3,0,0.55,0.40
HB,tier_3,RBScrimmageTDsPerGame,0.20-0.39,tier_4,-1,0.4,0.20
HB,tier_3,RBScrimmageTDsPerGame,0.00-0.19,tier_5,-3,0.2,0.00
HB,tier_3,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_3,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_3,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_3,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_3,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_3,RUSHFUMBLES,5-25,tier_5,-3,26,5
HB,tier_4,RBScrimmageYardsPer300Touches,1600-7500,tier_0,7,7501,1600
HB,tier_4,RBScrimmageYardsPer300Touches,1400-1599,tier_1,4,1600,1400
HB,tier_4,RBScrimmageYardsPer300Touches,1200-1399,tier_2,1,1400,1200
HB,tier_4,RBScrimmageYardsPer300Touches,1000-1199,tier_3,-1,1200,1000
HB,tier_4,RBScrimmageYardsPer300Touches,800-999,tier_4,-3,1000,800
HB,tier_4,RBScrimmageYardsPer300Touches,0-799,tier_5,-5,800,0
HB,tier_4,RBScrimmageTDsPerGame,0.90-5,tier_0,7,5.01,0.90
HB,tier_4,RBScrimmageTDsPerGame,0.65-0.89,tier_1,4,0.9,0.65
HB,tier_4,RBScrimmageTDsPerGame,0.55-0.64,tier_2,3,0.65,0.55
HB,tier_4,RBScrimmageTDsPerGame,0.40-0.54,tier_3,1,0.55,0.40
HB,tier_4,RBScrimmageTDsPerGame,0.20-0.39,tier_4,0,0.4,0.20
HB,tier_4,RBScrimmageTDsPerGame,0.00-0.19,tier_5,-2,0.2,0.00
HB,tier_4,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_4,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_4,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_4,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_4,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_4,RUSHFUMBLES,5-25,tier_5,-3,26,5
HB,tier_5,RBScrimmageYardsPer300Touches,1600-7500,tier_0,8,7501,1600
HB,tier_5,RBScrimmageYardsPer300Touches,1400-1599,tier_1,5,1600,1400
HB,tier_5,RBScrimmageYardsPer300Touches,1200-1399,tier_2,2,1400,1200
