FullName,Position,TeamName,SkillPointOL
Aaryn Parks,LG,ATL,0
Alec Meyers,RT,DEN,-3
Amarius Mims,RT,PIT,-4
Amir Herring,LG,BAL,-1
Andrew Gentry,RT,NYG,-5
Andrew Kristofic,RT,IND,4
Asim Richards,RG,ARI,-5
Austin Jackson,LG,HOU,-6
Beaux Limmer,LG,CAR,-1
Ben Bartch,LG,CIN,-2
Benjamin Eppard,C,BUF,0
Blake Fisher,RT,PHI,-3
Brady Latham,RG,DET,-2
Braeden Daniels,RG,CHI,-1
Brenton Mayes,LT,BUF,-4
Broderick Jones,LT,JAX,4
Bryce Foster,C,NYG,-3
Cade McConnell,LT,DEN,4
Cameron Jurgens,C,JAX,2
Carson Edmonds,LT,DET,4
Carson Hinzman,RG,SF,0
Cesar Ruiz,RG,TB,-1
Chad Mackey,RG,ATL,-2
Chauncey Kamakea,C,ATL,-1
Cody Ince,LG,NYJ,-7
Cody Lovell,C,ARI,2
Colby Mooney,RT,CHI,-1
Cory Hendrix,RG,CIN,12
Creed Humphrey,C,LV,-1
Curtis Dunlap Jr.,LG,BUF,-1
D.J. Rogers,RG,LAC,-1
Damon Alexander,RG,IND,-2
Daniel Ellison,LG,GB,1
Darrius Davis,RT,DAL,-1
David Edwards,LG,LAR,-1
Deandre Mitchell,RG,CLE,-1
Denaris DeRosa,C,BAL,0
Derrell Johnson,RG,MIA,12
Devin Middleton,C,SEA,4
Devon Campbell,RG,CAR,-3
Dextrell Irving,LT,LV,-2
Donovan Jackson,RG,NE,-12
Drake Metcalf,C,NYJ,1
Drew Kendall,LG,DAL,-3
Elijah Pritchett,LT,ATL,-2
Emil Ekiyor Jr.,RG,NYJ,4
Erik McCoy,C,NO,2
Ezra Dotson-Oyetade,C,MIA,0
Francis Mauigoa,LT,NE,0
Frank Ragnow,C,DET,4
Gabe Blair,LG,ARI,4
Grant Wallner,RG,MIN,-2
Greg Crippen,RG,BAL,-1
Harris Sewell,C,CHI,-3
Ikem Ekwonu,LG,SF,1
Isendre Ahfua,LG,WAS,-1
J.B. Nelson,LT,KC,-2
JC Latham,LT,PIT,3
Jack Nelson,LG,MIN,-1
Jamaal Jarrett,RT,SF,-2
James Brockermeyer,C,TEN,-2
James Levy,RT,TEN,0
Jarrett Patterson,C,PIT,4
Javion Cohen,LG,NO,0
Jawaan Taylor,RT,JAX,0
Jay Scott,RG,TEN,0
Jedrick Wills Jr,LT,NYG,1
Jimothy Lewis,RT,LAR,0
Joe Brunner,RT,KC,1
John Kerr,LT,NYJ,-3
Jonah Miller,LG,CLE,0
Jonah Williams,LT,CIN,1
Josh Howard,LG,KC,4
Justin Foster,RT,NO,0
Kadyn Proctor,RT,WAS,-4
Kam Dewberry,RG,PHI,-3
Kamron Scott,LG,DEN,-3
Kelvin Banks,RT,SEA,3
Kenyon Green,RG,LV,1
Kevin Crowley,LG,PIT,1
Khalon Davis,LT,NO,1
Kinglsey Suamataia,LT,LAR,0
Kiyaunta Goodwin,RT,NYJ,-4
Landon Dickerson,LG,CHI,0
Larry Samuel,RG,DEN,0
Lionel Richards,RG,NE,1
Lloyd Foster,RT,CAR,-6
Logan Brown,LT,BAL,0
Logan Parr,RG,HOU,0
Logan Reichert,LT,SEA,-2
Luke Darby,RT,LV,9
Luke Matthews,C,CAR,4
Marcus Ferrell,LT,TB,4
Marcus Kendricks,RG,LAR,-3
Marcus Tate,LG,LAC,1
Mark Finney,C,CLE,1
Mark Welch,C,SF,-3
Matt Hennessy,C,HOU,-3
Matt Kendricks,C,IND,9
Matt McDonald,LT,CHI,-1
Matt Nickerson,LG,MIA,-5
Matthew Middleton,C,GB,1
Matthew Weston,LG,NYG,0
Maurice Smith,C,DAL,-5
Michael Mokofisi,RG,BUF,-2
Najee Bethel,C,WAS,-7
Nate Anderson,C,TB,1
Nolan Rucci,LT,WAS,1
Orlando Brown,LT,PHI,-2
Paris Johnson Jr.,LT,HOU,0
Parker Brailsford,C,KC,-5
Pat Nowak,C,PHI,0
Penei Sewell,RT,DET,6
Peter Coker,C,MIN,-1
Peter Skoronski,RG,NYG,9
Phillip Koerner,RT,ATL,10
Quandre Brooks,LG,DET,0
Quenton Nelson,LG,IND,8
Quinn Meinerz,RG,SEA,-3
Raekwon Heyward,RG,PIT,10
Rashawn Slater,LT,ARI,-2
Rasheed Walker,RT,ARI,0
Reuben Fatheree II,LT,DAL,-2
Reuben Unije,RT,HOU,-3
Roy Barrett,RT,NE,9
Ryan Hayes,LT,MIA,1
Ryan Stevens,LT,IND,4
Sal Rowe,C,CIN,4
Sioape Vatikani,LG,JAX,12
Skylar Baker,C,DEN,-1
Stephen Poole,RT,BAL,-2
Steven Douglas,LG,JAX,9
Terron Jones,LT,GB,-3
Thad Barber,C,NE,1
Theo Henson,RG,WAS,-2
Titus Givens,LG,TEN,-1
Tommy Brockermeyer,LT,TEN,-4
Travis McKenzie,LT,MIN,-4
Trey Smith,RG,KC,-1
Treyvon Yarborough,LT,GB,10
Tristan Wirfs,RT,TB,2
Troy Tatum,RG,NO,-1
Ty'kieast Crawford,RG,DAL,-3
Tyler Linderbaum,C,LAR,0
Tyler Vrabel,RT,CIN,9
Warren McClendon,RT,MIA,4
Will Campbell,RT,BUF,1
Yousef Mugharbil,LG,TB,-1
Zhaire Guyton,C,LAC,3
