FullName,Position,TeamName,SkillPointOff
A'Shawn Boyce,TE,NYG,-2
Aaron Anderson,WR,TEN,-9
Aaron Redding,TE,CLE,2
Abu Sama III,HB,BAL,-3
Addison Sullivan,HB,NYJ,4
Adonai Mitchell,WR,SF,-3
Aeeron LeCounte,WR,SF,-1
Akylin Dear,HB,DAL,5
Alex Stephenson,HB,PIT,0
Alvin Henderson,HB,JAX,2
Amare Thomas,WR,CLE,5
Amon-Ra St. Brown,WR,DAL,5
Andrew Wright,WR,KC,-1
Anthony Lynch,WR,LAC,0
Anthony Rogers,HB,JAX,4
Antonio Williams,WR,DAL,0
Antonio Yancey Jr,HB,CAR,-2
Barion Brown,WR,LAR,3
Benjamin Brahmer,TE,BAL,6
Bijan Robinson,HB,NYJ,-6
Bo Jackson,HB,HOU,-3
Brady Lloyd,WR,IND,-4
Brandon Billingsley,HB,TB,5
Brandon Inniss,WR,TB,1
Brayden Winslow,TE,PHI,2
Braylen Russell,HB,MIN,2
Braylen Scott,WR,NO,-8
Breece Hall,HB,PHI,-4
Brett Norfleet,TE,CAR,3
Brian Bonner,HB,MIN,-1
Brian Thomas Jr,WR,MIA,0
Brice Rutledge,TE,CIN,1
Brock Bowers,TE,LAC,3
Brock Harris,TE,NE,-7
Bryant Wesco,WR,DEN,1
Bryce Colbert,HB,LV,0
Caden Durham,HB,ATL,4
Caden Prieskorn,TE,MIA,-5
Caleb Cunningham,WR,PIT,-3
Caleb Williams,WR,BUF,4
Cam Driscoll,WR,NYG,-1
Cecil Price,TE,JAX,-7
Cederian Morgan,WR,CHI,-1
Cedric Baxter,HB,DEN,6
CeeDee Lamb,WR,ARI,-7
Cha'ce McKnight,WR,MIN,2
Chris Henry Jr,WR,NYJ,-1
Chris Olave,WR,NO,6
Chris Ryans,HB,LAR,0
Cobey Borden,HB,NO,5
Collin Fowler,TE,MIN,-1
Cordale Russell,WR,NE,-1
Dakorien Moore,WR,LV,-5
Dalton Kincaid,TE,SEA,-2
Damarius Yates,HB,DAL,-9
Dante Dowdell,HB,NE,0
Darien Williams,WR,NYJ,9
Darren Barker,WR,CLE,-5
Darren Harris,HB,WAS,0
Davian Groce,HB,TB,6
David Washington Jr,WR,DET,-3
Daylon Singleton,WR,ATL,-2
De'Angelo Booker,WR,MIA,2
DeAngelo McKee,WR,DEN,-3
DeVonta Smith,WR,CHI,8
Delroy Crocker III,TE,CHI,-4
Delvin Moore,WR,ATL,-7
Derek Meadows,WR,NE,-2
Deshay McNeil,WR,TEN,2
Deshonne Redeaux,HB,LAC,3
Dierre Hill,HB,ARI,5
Durell Robinson,HB,CAR,3
Dwayne Davis Jr,HB,SEA,-3
Ed Small,WR,HOU,-3
Elic Ayomanor,WR,WAS,2
Elijah Arroyo,TE,PHI,1
Elyiss Williams,TE,NO,-1
Emmett Lincoln,HB,BAL,4
Ezekiel Burton,WR,PHI,9
Gabe Woods,HB,KC,-1
Gatlin Bair,WR,WAS,6
Gerald Booth-Vales,WR,GB,-3
Gerrad Butler,WR,CIN,6
Harlem Berry,HB,CIN,10
Harper Stevenson,WR,DET,-2
Hykeem Williams,WR,CIN,-2
Isaiah Likely,TE,TB,-2
Iverson Howard,HB,PHI,0
J.D. Bishop,TE,LV,-6
J.J. McMichael,TE,NYJ,-3
J.Michael Sturdivant,WR,PHI,-4
JT Lindsey,HB,GB,3
Ja'Marr Chase,WR,NO,3
Jabari Brady,WR,ARI,-3
Jabree Wallace-Coleman,HB,CLE,1
Jack Velling,TE,IND,-3
Jackson Lacy,WR,HOU,3
Jaden Hamm,TE,PIT,2
Jadon Stephens,HB,ARI,-6
Jaeden Skeete,WR,BUF,-3
Jahmyr Gibbs,HB,LAC,3
Jaime Ffrench,WR,NE,7
Jaleel Odenigbo,HB,KC,-2
Jalen McMillian,WR,WAS,-2
Jalin Conyers,TE,NYG,-4
Jamari Thrash,WR,BUF,-3
Jaxon Smith-Njigba,WR,KC,4
Jeff Parks,WR,GB,-1
Jeremiah Smith,WR,NYJ,-2
Jeremiyah Love,HB,DEN,3
Jerome Myles,WR,CHI,1
Jerrick Gibson,HB,LV,4
Jett Wallace,HB,CHI,-1
Jimmy Horn Jr.,WR,NO,-4
Joe Kennard,WR,BUF,3
Joel Dugans,WR,LV,10
Johntay Cook II,WR,BAL,-1
JonAnthony Hall,WR,GB,7
Jonathan Hatton Jr,HB,BAL,3
Jordan Addison,WR,CAR,-6
Jordin Pettis,WR,ATL,1
Jordin Thomas,HB,BUF,-3
Josh Crawford,HB,ATL,-4
Josh Cuevas,TE,WAS,0
Josh Gilmore,WR,LAC,-5
Josh McKenzie,WR,LAR,-2
Junior Clayborn,WR,CHI,-3
Justin Jefferson,WR,DEN,7
K'Lavon Stanley,HB,MIA,-5
K'Vonte Donnell,WR,IND,-6
Kaliq Lockett,WR,MIA,2
Kameron Davis,HB,SF,-7
Kamron Mikell,WR,IND,0
Kareem Nelson Jr,WR,MIN,5
Karmello English,WR,SEA,2
Katell Jenkins,WR,JAX,2
Kendre Harrison,TE,KC,-1
Keon Newberry,WR,CAR,-1
Kevon Matlock,WR,BAL,-7
Keyan Burnett,TE,DET,1
Kiandrea Barker,HB,IND,-4
LaMandre Miller,HB,BUF,-6
LaMarcus Clinton,HB,NYG,-5
Ladainnian Martin,HB,NYG,-4
Linkon Cure,TE,SF,-1
Logan Daniels,HB,DET,3
Lucky Aldridge,HB,IND,-1
Luther Burden III,WR,NYG,-2
Malik Nabers,WR,TB,6
Marquez Pearman,HB,LAR,-2
Martin Leyva,WR,ARI,8
Marvin Harrison Jr,WR,ATL,3
Matrell Carter,HB,DET,0
Micah Jones,TE,HOU,-1
Michael Wilson,WR,TB,0
Montrell Holt,HB,CIN,8
Mylan Graham,WR,NYG,3
Nate Frazier,HB,PIT,-2
NiTareon Tuggle,WR,CIN,3
Noah Thomas,WR,HOU,5
Nolan Kershaw,HB,ARI,-4
Nyck Harbor,WR,CLE,-3
Omarion Hampton,HB,MIA,2
Omarion Miller,WR,LAC,3
Orlando Flynn,WR,PIT,3
Parker Livingstone,WR,LAR,-4
Pearce Spurlin III,TE,TEN,8
Pofele Ashlock,WR,CAR,2
Quindarius Hawthorne,WR,BAL,-4
Quinnen Winslow,WR,PIT,0
Quinshon Judkins,HB,PHI,-1
Quinten Joyner,HB,NO,0
Reggie Munyer,WR,DAL,-9
Richard Feliciano,WR,DEN,-2
Riley Williams,TE,ARI,5
Rome Odunze,WR,TEN,2
Rueben Owens,HB,TEN,-2
Ryan Mooney,WR,KC,-5
Ryan Williams,WR,JAX,2
Sam LaPorta,TE,BUF,9
Shareef Beal-Conley,TE,ATL,3
Shareef Mabry,TE,LAR,5
Shaydon Turner,WR,LV,-2
Shonn Bartell Jr,WR,PHI,-3
Talyn Taylor,WR,CAR,1
Tarquin Sheldon,HB,CHI,0
Tavarres Kazee,HB,TEN,-1
Taylor Tatum,HB,KC,1
Tetairoa McMillan,WR,MIN,-1
Tobias Mack,HB,CLE,3
Tony Livingston,TE,DEN,2
Torey Boyce,WR,BAL,-1
Tracy Anderson,WR,JAX,-6
Tradarian Ball,HB,SEA,0
Trey Benson,HB,NE,-2
Treyaun Webb,HB,GB,-4
