FullName,Position,TeamName,SkillPointDef
A'Zion Buckley,CB,LAR,-6
A.J. Harris,CB,HOU,-2
A.J. Schwartz,FS,NO,-1
AJ Rice,LOLB,ARI,-2
Aaron Flowers,FS,SF,-4
Aaron Lawrence,RE,DEN,12
Aaron McCauley,DT,KC,-4
Aaron Olsen,LE,ARI,7
Abduall Sanders Jr,ROLB,JAX,-5
Abdul Carter,LOLB,MIN,-1
Abe Willekes,SS,SEA,-1
Abu Tarawallie,DT,PHI,-2
Addison Claiborne,DT,IND,3
Adepoju Adebawore,RE,DAL,-4
Adonis Woodson,LE,NE,-2
Adonyss Currie,CB,TB,2
Adrian Walsh,RE,ATL,-6
Adrien Martin,DT,DAL,-2
Adwenpa Owusu-Gbeho,RE,LAR,1
Aidan Hutchinson,RE,DET,1
Akeem Odighizuwa,LE,CHI,-1
Alec Wynn,DT,JAX,-1
Alex Clemons,MLB,ARI,-3
Alex Lowry,ROLB,LAC,-3
Alex Underwood,FS,WAS,-2
Alhassan Iddrissu,LE,NYJ,-5
Allen Monroe,SS,CLE,-6
Amari Malone,RE,MIA,-2
Amari Wallace,FS,NYJ,-1
Amaris Williams,LE,ATL,-5
Amir Dupree,CB,JAX,1
Amorion Walker,CB,CHI,0
Andre Cisco,FS,DAL,3
Andrew Elliott,CB,CIN,4
Andrew Hankins,FS,PHI,4
Andrew Morton,DT,SF,0
Andrew Richards,LE,LV,-3
Andrew Zimmerman,DT,IND,2
Anquon Fegans,FS,KC,-2
Anthony Jones,LE,NE,-4
Antonio Coleman,DT,CAR,-4
Antwane Newsome,LE,DET,-2
Antwaun Davis,RE,TB,-7
Asaad Slayton,DT,HOU,1
Ashton Herrien,LE,IND,9
Austin Frye,LE,DAL,4
Austin Romaine,MLB,DET,0
B.J. Gallery,ROLB,TB,0
Barrett Carter,MLB,LAC,-6
Bashaud Elston,CB,SEA,2
Bear Alexander,DT,CHI,6
Beau Atkinson,RE,CIN,6
Ben Clavijo,MLB,LAC,6
Ben Cutter,MLB,PHI,-4
Ben Madigan,LOLB,MIA,-1
Benjamin Bryant,DT,TB,1
Benji Huntington,LE,SEA,0
Beval Massey,CB,DEN,-3
Blaine Bradford,SS,MIN,-4
Blake Brewer,FS,LV,10
Brad Fitzgibbon,DT,MIN,10
Brandon Duncan,RE,TEN,-4
Brandon Johnson,CB,DAL,0
Brandon Lockhart,CB,BAL,1
Brandon Wright,MLB,KC,-3
Brayden Cooper,CB,IND,-1
Brayden Platt,MLB,KC,5
Braylen Fields,DT,ATL,-6
Brayln Sheldon,SS,IND,2
Brendan Cunningham,CB,BUF,-1
Brendan Pryce,LE,DET,-3
Brian Branch,SS,ARI,-4
Bryan Harrington,DT,NE,0
C.J. Clifford,ROLB,LAR,-5
C.J. Hicks,LOLB,NYG,-1
CJ May,RE,HOU,-2
CJ Meyers,ROLB,MIA,8
CJ Nickson,RE,GB,6
Cade Denhoff,LE,PHI,-1
Cade Uluave,MLB,IND,-2
Caden VerMaas,FS,IND,-5
Cal Haladay,ROLB,ARI,2
Caleb Downs,FS,GB,0
Calijah Kancey,DT,GB,-2
Calvin Bolden,ROLB,DET,-9
Calvin McPhee,CB,LV,4
Calvin Reed,SS,TEN,-2
Cam Aldridge,LE,NYG,12
Cam Taylor-Britt,CB,NO,1
Camani Cobbs,CB,LAC,4
Cameron Frazier,CB,GB,-2
Cameron Lowery,FS,BUF,-2
Carlos Brown,FS,CAR,-4
Carlos Knight,CB,SEA,-1
Cassh Schroeder,MLB,ARI,-3
Cedric Gray,MLB,SEA,0
Chace Biddle,FS,NE,4
Chace Sims,DT,DET,3
Chandavian Bradley,LOLB,LAC,4
Chauncey Rice,RE,CLE,-5
Chauncey Tolbert,CB,NE,0
Chibuzo Ekwerekwu,CB,CLE,2
Chop Robinson,RE,SF,5
Chris Ancrum,DT,MIN,1
Chris Durant,LOLB,NO,-3
Chris Pittman,MLB,JAX,-9
Christen Miller,DT,PIT,-2
Christian Gray,CB,JAX,2
Christian Harris,LOLB,DAL,5
Christian Jones,LOLB,CHI,3
Christopher Spence,CB,TEN,4
Clayton Roosevelt,LOLB,SEA,4
Cole Robinson,FS,BAL,-4
Cooper Catalano,LOLB,DET,2
Cooper Silver,LE,ATL,6
Corey McAlister,MLB,NE,-2
Cormani McClain,CB,LV,1
Croix Stewart,CB,WAS,-2
D'Angelo Ponds,CB,NYJ,1
D.J. Hanna,ROLB,SF,-3
D.J. Rushing,DT,CLE,-1
D.J. Shepard,CB,HOU,0
DJ Hicks,LE,DAL,2
DJ Pickett,CB,ARI,-1
DQ Smith,SS,IND,-1
DaVonte Colbert,RE,MIN,-2
DaWann Huff Jr,ROLB,CHI,-3
Daeh McCullough,FS,LAR,7
Daiyan Henley,ROLB,MIN,11
Dalton Franklin,LOLB,NYJ,7
Dalton Howard,FS,KC,-5
Damarious Langford,DT,TB,3
Damarious Williams III,FS,ARI,-8
Damian Turner,CB,ARI,5
Damien Shanklin,LE,KC,-3
Damion Ward,LE,TEN,2
Damon Payne Jr,DT,JAX,-4
Dani Dennis-Sutton,LE,MIN,1
Daniel Trapp,MLB,ATL,4
Dante McClellan,MLB,TB,6
Dante Snead,ROLB,PHI,5
Darren Ikinnagbon,RE,NYJ,1
Darrius Searcy,RE,KC,-3
Dasan Brown,RE,NE,14
Dasan McCullough,ROLB,BUF,-7
Dashawn McBryde,FS,TB,2
Dashawn Womack,RE,CLE,-2
David Lampman,DT,NYJ,3
Davon Benjamin,FS,MIA,-5
Daxton Hill,FS,CIN,2
Daylen Austin,CB,IND,1
Daylen Everette,CB,PIT,6
De'Veon Leslie,ROLB,IND,0
De'zie Russell,CB,NE,1
DeAngelo Newman,CB,PHI,-3
DeMarcus Orchard,FS,DEN,-6
DeSean Brooks,LOLB,PIT,-1
DeSean Cooper,MLB,LV,2
DeVonte Newton,RE,JAX,-5
Dee Bigsby,MLB,CAR,2
Delarrin Aguayo,MLB,LAR,0
Demarcus Riddick,LOLB,DET,-5
Demello Jones,FS,NYJ,1
Deone Walker,DT,WAS,-5
Deontae Brewer,LE,GB,7
Derek Grubbs,LOLB,LAR,1
Derek Reece,CB,BAL,-1
Derek Stingley Jr,CB,PHI,1
Derek Williams Jr,SS,TB,-1
Deron Johnson,RE,MIN,0
Derrick Caver,RE,LV,-7
Derrick Faulk,LE,DET,0
Derrick Moore,LE,ARI,-1
Deuce Spurlock II,LOLB,CIN,-3
Devan Houstan,DT,BAL,3
Devin Sanchez,CB,MIA,3
Devin Williams,CB,BAL,3
Devon Witherspoon,CB,BUF,-1
Dewayne Ward,ROLB,ATL,-4
Deyjhon Pettaway,SS,TB,0
Dezjhon Malone,CB,DET,0
Di'Mari Malone,ROLB,LV,0
Dijon Lee,CB,BAL,-1
Dilante Patterson,RE,WAS,-2
Dillon Wheeler,DT,DET,8
Dishawn Misa,MLB,NYG,-2
Domani Jackson,CB,CIN,4
Dominick McKinley,DT,CLE,-1
Dominique Jackson,CB,MIA,-5
Dontae Whittington,CB,NYJ,-6
Dontari Young,CB,TB,4
Drayk Bowen,ROLB,KC,1
Drew Sanders,ROLB,BAL,4
Duron Borden,LE,LAC,4
Duron McClain,RE,CIN,-1
Dwayne Byrd,SS,MIN,-1
Dylan Harrison,MLB,CIN,-7
Dylan Stewart,RE,SEA,3
Eddrick Houston,LE,GB,1
Ekene Shelton,RE,PIT,5
Elbert Hill,CB,DAL,4
Elijah Barnes,MLB,NE,-3
Elijah Dotson,SS,WAS,2
Elijah Gardiner,LOLB,HOU,3
Elijah Jackson,CB,DET,-2
Ellis Robinson IV,CB,CLE,8
Enai White,RE,CLE,-4
Ephesians Prysock,CB,TB,-2
Eric Winters,SS,SEA,-5
Fabian Spence,CB,NO,5
Fentrell Cypress II,CB,BAL,-3
Fred Gaskin III,SS,LV,-3
George Samuels,LOLB,ATL,-2
Gerad Walker III,RE,SF,-5
Gilbert Carney Jr,CB,MIN,-2
Grant Gatewood,RE,IND,-5
Grant Pierce,ROLB,PHI,-6
Greg Byars,LOLB,NO,-1
Greg Denney,MLB,TB,5
Greg Sheffield,LOLB,MIA,-3
Hakeem Calhoun,RE,BUF,1
Harold Perkins,LE,TB,2
Helaman Ofahengaue,LOLB,LV,1
Henry Bird,DT,ARI,-3
Hezekiah Harris,LE,MIN,4
Hudson Clark,FS,CLE,7
Hunter Washington,FS,LV,0
Ichmael Joseph,FS,CHI,1
Ify Obidegwu,CB,SF,2
Immanuel Reece,ROLB,IND,5
Iose Epenesa,RE,PIT,-5
Isaac Smith,SS,BUF,0
Isaia Faga,DT,KC,-4
Isaiah Bryson Sr,RE,LAC,-1
Isaiah Deloatch,LOLB,DAL,-2
Isaiah Dunson,CB,ARI,-2
Isaiah Gibson,LE,NO,-6
Ivan Taylor,FS,LAR,-2
J'Vari Flowers,CB,NYG,4
J'Vari Myers,DT,HOU,4
J.T. Knighton,CB,SF,-1
Ja'Keem Jackson,CB,WAS,-3
JaReylan Clark,DT,DAL,2
Jack Campbell,MLB,DAL,6
Jacobe Johnson,CB,PHI,2
Jacoby Mathews,SS,HOU,-2
Jacoby Nwachukwu,LE,JAX,-1
Jaden Hicks,SS,PHI,-1
Jadyn Hudson,SS,PIT,-2
Jaedon Harmon,MLB,JAX,2
Jaelen Waters,CB,IND,0
Jah Booker,FS,PHI,-3
Jahkeem Stewart,DT,LV,4
Jahlar Beckham,DT,LAR,-2
Jahlil Florence,CB,DEN,-3
Jahmari DeLoatch,CB,LAR,-1
Jakaleb Faulk,RE,BUF,-4
Jalen Allen Jr,RE,JAX,-2
Jalen Carter,DT,BAL,1
Jalen Holliday,SS,NO,4
Jalen Selvie,LOLB,TB,4
Jalen Woods,ROLB,DEN,4
Jalon Kilgore,SS,CAR,7
Jalon Walker,MLB,BAL,3
Jamal Lincoln-Pettis,RE,CHI,-5
James Castillo,LE,KC,2
James Orton,MLB,GB,-2
James Pettis,DT,SEA,0
Jamon Foote,CB,KC,-3
Jared Smith,LE,BAL,3
Jarius Hayes,LE,PHI,-5
Jason Dowell,DT,LAC,-4
Jason Henderson,LOLB,LAR,-3
Javien Toviano,CB,NO,3
Jayce Strong,CB,NE,-3
Jaycee Horn,CB,KC,3
Jayden Harrison,SS,WAS,7
Jayden Montgomery,MLB,CHI,-2
Jaylan Ford,MLB,CLE,0
Jaylen Kinney,ROLB,DET,-4
Jaylen Mbakwe,CB,BUF,3
Jaylin Davies,CB,NE,1
Jaylin Simpson,FS,SEA,4
Jaylon Guilbeau,CB,ATL,2
Jayshawn Ross,RE,DEN,-5
Jeffrey Bassa,MLB,CHI,-3
Jeffrey Dawkins,LE,HOU,-5
Jeffrey M'ba,DT,NO,4
Jelani McDonald,SS,NO,2
Jelani Zuniga,LOLB,TB,0
Jer'Vohn St. Clair,FS,LAC,0
Jer'Zhan Newton,DT,NYG,4
Jeremiah Cooper,FS,ARI,5
Jeremiah Jones,SS,DAL,0
Jeremiah Owusu-Koramoah,LOLB,SF,0
Jeremiah Trotter Jr.,LOLB,DEN,-3
Jeremiah Williams,ROLB,BAL,-3
Jeremiyah Harris,LOLB,KC,-3
Jermaine Harris,LOLB,PHI,-2
Jesse Ford,RE,SF,-4
Jesse Hendricks,RE,HOU,-6
Jett White,CB,NYG,2
Jevon Holland,FS,TEN,2
Joe Duckworth,LOLB,DEN,-10
Joe Hall III,SS,DAL,2
Joenel Aguero,SS,ATL,-2
John Goodwin,CB,HOU,4
John Morales,MLB,SEA,-1
John Ortiz,DT,LAC,-3
John Pettis,RE,ATL,1
Jojo Amos,LE,MIA,4
Jonathan Barber,DT,MIA,0
Jonathan Woodard,SS,MIA,-3
Jontae Gilbert,CB,JAX,-1
Jontavius Wyman,CB,MIA,0
Jordan Campbell,MLB,LAR,-5
Jordan Carter,LE,CIN,2
Jordan Lovett,FS,MIN,-1
Jordan Wyatt,ROLB,DAL,-4
Jose Williams,DT,NYG,8
Josh Kincade,RE,WAS,-1
Josh Nestor,SS,NYG,3
Josh Sherman,DT,HOU,-4
Joshua Gibson,CB,CAR,-2
Joshua Penn III,CB,SF,-3
Joshua Peterson,CB,ATL,-2
Josiah Sharma,DT,NE,0
Jourdin Crawford,DT,DEN,-3
Juan Ramsay,RE,LAR,-6
Julius Taylor Jr,MLB,SF,-3
Junior Carroll,LE,SEA,-8
Justus Terry,DT,PHI,4
Juwan Wood,LE,CIN,-5
K.C. Willis,CB,TEN,0
KB Webber,LE,GB,1
KJ Bolden,FS,CAR,-2
Kai Searcy,CB,DET,-1
Kainoa Winston,FS,PIT,3
Kaleb Beasley,CB,CHI,0
Kaleb Elarms-Orr,ROLB,NO,2
Kamarion Franklin,DT,CIN,10
Kameron Beavers,DT,TB,-1
Kamran James,RE,IND,0
Kareem Burnett,DT,GB,-1
Kaseem Calloway,DT,SEA,5
Kasey Irwin,CB,MIN,3
Kaylib Singleton,CB,KC,0
Keelan Atkinson,DT,CIN,3
Keelan Clayton,ROLB,KC,-6
Keenan Arnaud,FS,HOU,3
Keilan Roberts,RE,SF,4
Keionte Scott,CB,CIN,-1
Keith Brown,LOLB,ARI,0
Kelon Godwin,MLB,IND,-5
Kelvin Womack,RE,BUF,4
Ken Moore Jr,CB,LAR,-1
Kendarius Reddick,FS,MIN,1
Kennedy McDowell,ROLB,LAR,2
Keon Keeley,RE,NE,-1
Keon Kemna,LOLB,TEN,-5
Keon Young,SS,CHI,7
Keona Woodyard,DT,NO,-6
Keshawn Yarborough,CB,LV,1
Kevin Fowler,CB,TEN,0
Kevin Wynn,DT,TEN,-2
Khalil Barnes,SS,DEN,-4
Khyree Jackson,CB,CHI,3
Klay Cooks,RE,CAR,3
Ko'o Kia,ROLB,TEN,-6
Koi Perich,SS,LAC,-1
Kool-Aid McKinstry,CB,TEN,1
Kordell Darden-Holiday,DT,MIN,-2
Kurtis Stoutmire,FS,NYG,-1
Kurtis Townsend,LE,CHI,-3
Kyngstonn Viliamu-Asa,ROLB,IND,-5
Kyren Condoll,CB,KC,4
Kyrie Wallace,CB,ATL,-3
L'Dell Hambrick,SS,DET,0
LT Overton,LE,JAX,-2
LaMarion Slater,RE,CLE,10
LaMichael Flowers,CB,DAL,0
Lagonza Hayward,SS,PIT,2
Lander Barton,MLB,CAR,-5
Landon Hoskins,LE,DAL,-3
Landon Rink,DT,MIA,-1
LeBron McKee,DT,PIT,4
LeVar Thornton Jr,CB,PIT,2
Leon Griffin III,SS,NYG,5
Liona Lefau,LOLB,CAR,-2
Lloyd Neal,DT,DET,5
Logan Mahon,RE,NYG,-8
Lonnie McAllister,CB,GB,3
Lukas Van Ness,LE,NYG,-5
M'lyke McCree,RE,GB,1
Ma'khi Jones,FS,BUF,9
Maclin Newman,ROLB,SEA,-7
Madden Faraimo,MLB,PHI,4
Madison Martin,ROLB,GB,7
Maison Dunn,CB,DET,2
Malachi Hood,ROLB,WAS,-1
Malaki Starks,FS,WAS,-4
Malik Autry,DT,BUF,1
Malik Bryant,MLB,MIA,6
Malik Hartford,FS,DET,-5
Malik Wright,SS,NYJ,-4
Manny Lewis,MLB,CHI,-5
Mantrez Walker,LOLB,WAS,-1
Marc Clark,LE,BUF,8
Marcelis Foster,LE,WAS,-1
Marcus Allen,CB,GB,5
