FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,KC,-1
Aaron Rudd,K,NO,0
Aeeron Burrell,K,PHI,-3
Aidan Flintoft,P,MIA,1
Andres Borregales,K,PIT,1
Anthony Harris,P,LAR,4
Anthony Whittaker,P,CLE,-3
Blake Grupe,K,NYG,-1
Brad Wilson,K,CLE,7
Bradley Green,P,IND,-1
Bret Kovacs,K,DET,2
Brett Thorson,P,JAX,-1
Brock Taylor,K,NYJ,-5
Bryce McFerson,P,GB,-4
CJ Cole,P,NYG,-2
Cam Little,K,MIA,2
Cameron Dicker,K,LAC,1
Conor Talty,K,LAR,2
Daniel Colvin,K,CAR,-4
Danny Donnell,P,DEN,0
Dean Janikowski,K,NE,-2
Decam Duley,P,ATL,-2
Dylan Joyce,P,SF,1
Eddie Czaplicki,P,WAS,-1
Ezra Feldman,P,LV,1
Garrett Jackson,P,PIT,1
Jack Browning,K,DEN,2
Jai Patel,K,BUF,0
Jamie Gillan,P,LAC,-1
Jared Zirkel,K,CIN,-1
Joey Matthews,K,SEA,4
Joon Cho,K,TB,-2
Joshua Karty,K,MIN,2
Ka'imi Fairbairn,K,SF,0
Kyle Lemmermann,K,CHI,-2
Levy McNally,K,TEN,-10
Lucas Parrish,K,IND,-6
Lukas Halvorsen,K,GB,0
Mason Fletcher,P,BUF,1
Mason Shipley,K,HOU,-5
Michael Kern,P,TB,0
Mitchell Lake,P,ARI,1
Palmer Williams,P,DAL,1
Pat Williams,K,LV,2
Peyton Woodring,K,KC,0
Pressley Harvin III,P,CIN,-1
Riley Norton,P,NE,2
Riley Thompson,P,NYJ,-1
Ryan Lynn,P,MIN,-4
Ryan Wright,P,NO,2
Ryland Lyles,P,PHI,2
Ryland Stromberg,K,BAL,4
Tommy Doman,P,CHI,1
Tommy Townsend,P,BAL,1
Tory Taylor,P,CAR,-2
Travis Svendsen,P,SEA,1
Trevor Lawrence,P,DET,0
Tristan Alvano,K,DAL,-6
Tyler Kinsman,P,TEN,0
Victor Bennett,K,WAS,7
Will Ferrin,K,ARI,0
Will Reichard,K,JAX,2
Will Stein,P,HOU,-3
