Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
0,QB,Air,Noland,Air Noland,LV,550,3769,0,298,0,0,1043,0,True,340,86,494,17,0,0,9,8,49,67,24,0,0,39,26,0,16,16,7,22,5,Air,Noland,,3427.0,3425.0,4.0,26.0,22.0,Signed,Star,77.0,0.0,0.0,LV,tier_4,527.3250239693192,1918.6046511627906,0.3125,4.793863854266539,0.0,,
3,HB,Bryce,Colbert,Bryce Colbert,LV,455,0,0,194,168,29,456,153,True,0,123,0,0,19,0,3,8,32,0,22,0,0,0,0,0,14,2,1,22,8,Bryce,Colbert,BryceColbert_30214,1491.0,1489.0,2.0,23.0,22.0,Signed,Normal,75.0,0.0,0.0,LV,tier_4,1366.2280701754385,1131.6338028169014,0.5714285714285714,17.543859649122805,0.050941894401698065,LV,0.0
10,QB,Adam,Schobel,Adam Schobel,GB,0,0,0,0,0,0,21,0,True,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,19,0,Adam,Schobel,AdamSchobel_29718,2697.0,2695.0,3.0,25.0,19.0,Signed,Normal,60.0,0.0,0.0,GB,tier_6,0.0,,0.0,0.0,0.0,,
12,QB,Kayin,Gardener,Kayin Gardener,GB,0,0,0,0,0,0,101,0,True,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,19,0,Kayin,Gardener,KayinGardener_32428,1342.0,1340.0,0.0,23.0,19.0,Signed,Normal,66.0,0.0,0.0,GB,tier_6,0.0,,0.0,0.0,0.0,,
14,QB,Jayden,Daniels,Jayden Daniels,DAL,662,3863,0,382,0,0,1018,0,True,344,113,557,12,0,0,10,8,45,83,31,0,0,39,32,0,16,16,3,10,6,Jayden,Daniels,DanielsJayden_14579,3385.0,3383.0,8.0,31.0,10.0,Signed,Star,79.0,0.0,0.0,DAL,tier_4,650.294695481336,1757.5221238938052,0.375,5.893909626719057,0.0,,
71,QB,Ronald,Tracey,Ronald Tracey,IND,12,73,0,0,0,0,67,0,True,5,4,12,2,0,0,0,8,3,25,0,0,0,0,0,0,13,0,0,9,0,Ronald,Tracey,,466.0,464.0,2.0,24.0,9.0,Signed,Normal,60.0,0.0,0.0,IND,tier_6,179.1044776119403,900.0,0.0,0.0,0.0,,
72,TE,Jack,Velling,Jack Velling,IND,0,0,7,0,372,36,1152,125,True,0,0,0,0,50,0,0,8,0,0,0,0,0,0,0,4,16,16,0,9,0,Jack,Velling,,113.0,111.0,6.0,29.0,9.0,Signed,Star,77.0,0.0,0.0,IND,tier_4,322.9166666666667,1071.3600000000001,0.25,3.472222222222222,0.12550607287449392,IND,-3.0
73,QB,Chase,Stockton,Chase Stockton,IND,113,1643,0,36,0,0,610,0,True,165,35,286,6,0,0,1,8,30,47,6,0,0,28,9,0,10,10,1,9,1,Chase,Stockton,ChaseStockton_3211,3620.0,3618.0,0.0,23.0,9.0,Signed,Normal,71.0,0.0,0.0,IND,tier_5,185.24590163934425,968.5714285714286,0.1,1.639344262295082,0.0,,
130,WR,DeVonta,Smith,DeVonta Smith,CHI,9,0,9,0,938,45,863,342,True,0,3,0,0,75,0,0,8,3,0,0,0,0,0,0,15,14,14,0,0,0,DeVonta,Smith,SmithDeVonta_21761,2589.0,2587.0,11.0,33.0,0.0,Signed,Star,78.0,0.0,0.0,CHI,tier_4,1097.334878331402,1766.3076923076924,1.0714285714285714,17.38122827346466,0.2752953261427838,CHI,8.0
131,TE,Delroy,Crocker III,Delroy Crocker III,CHI,0,0,9,0,385,30,1014,122,True,0,0,0,0,40,0,0,8,0,0,0,0,0,0,0,1,14,14,1,0,0,Delroy,Crocker III,DelroyCrocker III_31328,1417.0,1415.0,1.0,23.0,0.0,Signed,Normal,73.0,0.0,0.0,CHI,tier_5,379.6844181459566,1385.9999999999998,0.07142857142857142,0.9861932938856016,0.11299435028248588,CHI,-4.0
