Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
22,K,Conor,Talty,Conor Talty,LAR,0,0,0,0,0,0,141,38,0,8,79,False,0,0,23,38,0,6,6,4,7,0,4,6,22,58,16,23,55,6,6,0,16,Conor,Talty,,1893.0,1891.0,4.0,27.0,23.0,Signed,Superstar,89.0,0.0,0.0,LAR,tier_2,0.9565217391304348,1.0,1.0,,,,LAR,2
23,P,Michael,Kern,Michael Kern,TB,0,3563,3761,0,80,29,92,0,54,8,0,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,1,16,Michael,Kern,MichaelKern_29713,1881.0,1879.0,3.0,26.0,5.0,Signed,Normal,73.0,0.0,0.0,TB,tier_5,,,,0.1724137931034483,47.0125,0.947354427014092,TB,0
39,K,Brad,Wilson,Brad Wilson,CLE,0,0,0,0,0,0,166,57,0,8,92,False,0,0,20,54,0,6,4,4,6,0,4,6,20,58,16,4,42,6,4,0,16,Brad,Wilson,BradWilson_3163316,3228.0,3226.0,1.0,24.0,4.0,Signed,Normal,74.0,0.0,0.0,CLE,tier_5,1.0,0.9473684210526315,1.0,,,,CLE,7
85,P,Ryan,Wright,Ryan Wright,NO,0,1860,2045,0,46,8,50,0,51,8,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,9,Ryan,Wright,WrightRyan_22538,3160.0,3158.0,10.0,32.0,26.0,Signed,Normal,66.0,0.0,0.0,NO,tier_6,,,,0.0,44.45652173913044,0.9095354523227384,NO,2
159,K,Cameron,Dicker,Cameron Dicker,LAC,0,0,0,0,0,0,151,36,0,8,79,False,0,0,33,36,0,10,10,7,6,0,6,4,29,61,16,7,54,10,9,0,16,Cameron,Dicker,DickerCameron_22392,702.0,700.0,10.0,32.0,7.0,Signed,Normal,81.0,0.0,0.0,LAC,tier_3,0.8787878787878788,1.0,0.95,,,,LAC,1
160,K,Brock,Taylor,Brock Taylor,NYJ,0,0,0,0,0,0,148,41,0,8,81,False,0,0,26,40,0,10,5,5,6,0,4,5,21,58,16,17,45,9,3,0,16,Brock,Taylor,,2122.0,2120.0,4.0,27.0,17.0,Signed,Superstar,83.0,0.0,0.0,NYJ,tier_3,0.8076923076923077,0.975609756097561,0.8,,,,NYJ,-5
161,P,Riley,Thompson,Riley Thompson,NYJ,0,3306,3625,0,76,28,77,0,56,8,0,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,1,16,Riley,Thompson,,3615.0,3613.0,8.0,32.0,17.0,Signed,Normal,76.0,0.0,0.0,NYJ,tier_4,,,,0.21428571428571427,47.69736842105263,0.912,NYJ,-1
162,P,Mason,Fletcher,Mason Fletcher,BUF,0,3927,4116,0,85,38,169,0,54,8,83,False,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,2,51,0,0,1,16,Mason,Fletcher,,3480.0,3478.0,8.0,32.0,2.0,Signed,Star,81.0,0.0,0.0,BUF,tier_3,,,,0.23684210526315788,48.423529411764704,0.9540816326530612,BUF,1
163,K,Jai,Patel,Jai Patel,BUF,1,0,0,2,0,0,67,42,0,8,0,False,0,0,25,41,0,13,2,5,5,0,5,4,22,59,16,2,0,12,1,0,16,Jai,Patel,,894.0,892.0,5.0,27.0,2.0,Signed,Star,79.0,0.0,0.0,BUF,tier_4,0.88,0.9761904761904762,0.8666666666666667,,,,BUF,0
164,K,Ka'imi,Fairbairn,Ka'imi Fairbairn,SF,0,0,0,2,0,0,124,24,0,8,66,False,0,0,32,24,0,14,6,8,4,0,8,3,27,57,16,14,36,10,6,0,16,Ka'imi,Fairbairn,FairbairnKaimi_17759,848.0,846.0,16.0,38.0,14.0,Signed,Normal,75.0,0.0,0.0,SF,tier_4,0.84375,1.0,0.8,,,,SF,0
